account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending
ACCT0001,2024-01-05 03:04:56,17.97,BeerBarn #3,1144,mobile,Food & Drink/Bars & Pubs,False
ACCT0001,2024-01-15 03:56:16,79.57,StreamingMusic #2,1085,in-store,Entertainment/Streaming Services,False
ACCT0001,2024-01-20 03:38:27,53.82,PayUtilities #2,1068,in-store,Bills & Utilities/Utilities,False
ACCT0001,2024-01-21 11:13:43,9.8,BeerBarn #2,1094,in-store,Food & Drink/Bars & Pubs,False
ACCT0001,2024-02-03 06:58:36,36.41,InsuranceCo #2,1069,contactless,Financial/Insurance Premiums,False
ACCT0001,2024-02-04 01:55:21,32.9,FreshBites #2,1059,in-store,Food & Drink/Fast Food,False
ACCT0001,2024-02-04 21:55:15,58.84,ElectroHub #4,1153,online,Retail/Electronics,False
ACCT0001,2024-02-07 00:29:39,16.88,ParkingLot Inc #2,1081,atm_withdrawal,Transport/Parking,False
ACCT0001,2024-02-10 07:55:06,30.8,OfficeSupply Co #2,1075,online,Retail/Office Supplies,False
ACCT0001,2024-02-10 17:18:53,69.0,eBookStore #2,1097,online,Retail/Digital Books,False
ACCT0001,2024-02-13 23:31:52,27.65,ToyHouse #1,1021,in-store,Retail/Toys & Games,False
ACCT0001,2024-02-17 06:14:32,23.01,StreamFlix #1,1008,online,Entertainment/Streaming Services,False
ACCT0001,2024-02-20 01:41:34,51.27,LuxuryBoutique #3,1141,contactless,Retail/Luxury Goods,False
ACCT0001,2024-02-23 04:16:07,15.07,CharityHelp #4,1170,contactless,Other/Donations,False
ACCT0001,2024-02-26 04:40:10,144.39,HomeGoods Store #1,1013,mobile,Retail/Home & Garden,False
ACCT0001,2024-02-27 00:47:17,75.05,PetWorld #4,1164,in-store,Retail/Pet Supplies,False
ACCT0001,2024-03-05 04:42:30,35.4,eBookStore #4,1197,contactless,Retail/Digital Books,False
ACCT0001,2024-03-18 07:24:44,46.67,MedicalCenter #1,1036,in-store,Health/Medical Services,False
ACCT0001,2024-03-22 22:27:21,158.12,CityMall Clothing #1,1002,in-store,Retail/Clothing,False
ACCT0001,2024-03-22 23:55:30,53.41,CityTransit #3,1115,online,Transport/Public Transit,False
ACCT0001,2024-03-24 11:22:13,23.22,BeerBarn #2,1094,mobile,Food & Drink/Bars & Pubs,False
ACCT0001,2024-03-25 12:00:24,21.96,RideShareCo #1,1016,in-store,Transport/Rideshare,False
ACCT0001,2024-03-31 13:01:11,132.29,DiscountOutlets #1,1042,mobile,Retail/Discount Stores,False
ACCT0001,2024-04-08 12:21:17,42.18,InsuranceCo #4,1169,contactless,Financial/Insurance Premiums,False
ACCT0001,2024-04-08 13:42:24,28.91,CloudStorage #1,1033,mobile,Entertainment/Cloud Services,False
ACCT0001,2024-04-19 16:30:50,34.81,BeautySalon #4,1173,contactless,Services/Personal Care,False
ACCT0001,2024-04-27 18:14:00,19.18,DiscountOutlets #3,1142,in-store,Retail/Discount Stores,False
ACCT0001,2024-04-30 21:19:14,18.86,CinemaWorld #1,1024,contactless,Entertainment/Movie Theaters,False
ACCT0001,2024-05-01 05:26:31,25.0,MovieRentals #4,1193,online,Entertainment/On-demand Rentals,False
ACCT0001,2024-05-02 08:25:08,20.71,ParkingLot Inc #2,1081,mobile,Transport/Parking,False
ACCT0001,2024-05-05 11:18:10,82.47,PayUtilities #1,1018,online,Bills & Utilities/Utilities,False
ACCT0001,2024-05-05 15:39:54,15.4,AutoServ #1,1012,mobile,Services/Auto Repair,False
ACCT0001,2024-05-06 18:38:02,7.89,LegalAid #3,1146,online,Services/Legal Services,False
ACCT0001,2024-05-06 23:35:34,37.97,MedicalCenter #1,1036,in-store,Health/Medical Services,False
