transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-791b7952-977a-45da-8879-05c930538679,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-05-13,1358.8884813999452,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-12c45b7d-4cfb-48db-9473-b560ea1263e5,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-05-14,1770.9581149712901,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-5bae386a-71b0-496b-85d7-4ea2574761db,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-05-19,1699.8915524948425,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-12a78511-23f6-47e4-9486-741c9f07eae0,acct-25d3e13d-a099-4a74-a1d7-42218dce48a5,2025-05-19,140.34271949623803,FurnitureCo #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-b99a2a96-f625-4ede-b1ed-fbbda493d62e,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-05-23,155.26990214679324,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-169e5050-3d61-407b-a451-68f9e41291e7,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-05-24,-6167.807336266444,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-76c630ed-c727-40c8-95d5-83b17e4ab54d,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-05-24,148.43579083001782,eBookStore #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-63f419dd-9376-4583-928f-27a081c9f980,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-05-27,-5541.903235385569,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-2cd20774-dce2-46e3-9b98-ee397f5be24f,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-05-27,514.4936711755496,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-b194763b-425e-408e-af76-98830e9dba18,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-05-28,1119.0710569166322,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-cc3fbc5d-77ac-4b08-8fd9-4fef2dea5d64,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-05-29,1539.449993534695,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-5b6ae660-4acd-48fb-9aa1-fb13ade5857d,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-05-29,121.60031999153348,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-e031b401-c6f2-498f-8eb7-82bc6c5117bb,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-05-30,989.0814648087144,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-cd739041-898b-4db0-bef7-11f06ef273b9,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-06-03,-5145.029324226195,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-b7f5f8af-5ad7-4be3-a49c-f0ed5c321117,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-06-11,160.00526076951152,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-67ac8add-adfe-42b6-b275-5f8b43b73fb0,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-06-12,1262.1536889624444,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-a6c77a4b-15cb-490d-ab73-49768eb4f3c3,acct-25d3e13d-a099-4a74-a1d7-42218dce48a5,2025-06-12,114.18372668556765,BikeShop #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-d0b09141-4573-4e74-a2d0-be78ff6f1e27,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-06-13,195.27031086729744,OfficeSupply Co #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-9e79537f-ae97-41fd-8bf4-32e35239e791,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-06-21,56.83854268799408,GardenCenter #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-82e3576e-10db-4851-88e6-f50d635c518f,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-06-22,1058.5387644372563,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-2593edd4-7398-46f7-ab5c-54a5e8f8d89f,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-06-22,58.007328372591815,eBookStore #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-2a7142f9-a77b-456a-a729-b1ab1ac259e9,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-06-22,128.15496370847,LuxuryBoutique #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-033afdf6-36d1-48a1-8667-a1c78ddb7ed3,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-06-23,1277.8543602346776,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-906096a8-3103-4efe-bbc1-217a4834087a,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-06-25,1933.387293237549,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-6a0806fd-77a5-440c-af82-af84e644e176,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-06-26,78.38228276126927,eBookStore #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-d97e42f1-fa27-4ef5-ac4f-ff1aa68ab64f,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-06-26,140.23212293180933,DiscountOutlets #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-9230b551-b2f6-4f76-b386-41aab351a0f2,acct-25d3e13d-a099-4a74-a1d7-42218dce48a5,2025-06-28,73.97720590641637,CityMall Clothing #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-4c567209-a4ec-43cf-b465-ab15e625fba1,acct-25d3e13d-a099-4a74-a1d7-42218dce48a5,2025-06-29,123.34775268276718,HardwarePro #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-716003e0-010c-40ba-8775-2bb08c945526,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-07-01,52.1935496230943,ElectroHub #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-98c36a08-7fa2-45b3-aa62-d530297c7e5f,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-07-02,50.43280292329983,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-091a7c3f-58be-4c41-b6dc-87978f7e80c5,acct-25d3e13d-a099-4a74-a1d7-42218dce48a5,2025-07-06,78.86189609973326,SubscriptionBox #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-ad6e5686-7a4d-4ba2-888b-2781618e1f90,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-07-15,83.2512023902822,eBookStore #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-39a34f12-1ffc-42d9-8ee4-509016cd40af,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-07-17,70.40866608386398,OfficeSupply Co #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-2aabd3b3-084e-41b5-bd40-cd8590a7d5ea,acct-25d3e13d-a099-4a74-a1d7-42218dce48a5,2025-07-24,63.22309435849596,HomeGoods Store #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-dbf845bf-b546-462c-961c-9823e35fda53,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-07-25,76.34158032748144,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-bf91913f-1ab6-4e1b-b3a0-54ef7ee8d542,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-07-28,-7985.515462114416,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-e2401b87-1a9d-487b-b8fa-03d7d3f5f655,acct-25d3e13d-a099-4a74-a1d7-42218dce48a5,2025-07-30,83.32759688232262,OnlineMart #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-a513723a-a89e-410e-93be-3b4eeedbb9f7,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-08-01,1475.8069102626077,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-c34e3a67-7abf-4f34-90db-a7318062500c,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-08-04,58.29136132807502,OfficeSupply Co #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-6c70578f-cb05-4be3-9638-964d0b25f7f6,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-08-07,123.3626800072194,PetWorld #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-377fc49c-6db5-4c06-8a20-1651e824129e,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-08-08,166.76061773977528,OnlineMart #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-8a154e58-9712-4016-b33b-f5aa931092ff,acct-25d3e13d-a099-4a74-a1d7-42218dce48a5,2025-08-11,99.71332270483853,LuxuryBoutique #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-5a62e47f-8e82-4a92-9cc2-f6dd6596ed94,acct-25d3e13d-a099-4a74-a1d7-42218dce48a5,2025-08-12,188.95567161519125,HardwarePro #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-6b11efe4-4cb3-490d-94e3-7e1b3a85e9cf,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-08-15,-6671.939918283126,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-8a2a45f2-488c-47bc-a753-a7bfc23f1ba4,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-08-16,-5544.325339534193,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-63e9707f-c900-4d64-90db-3761ba640d60,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-08-17,94.86632382241233,eBookStore #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-886a449c-a36e-40ee-9de6-9363249c73c7,acct-25d3e13d-a099-4a74-a1d7-42218dce48a5,2025-08-19,165.87420633701055,CityMall Clothing #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-24d84014-a062-45c7-a981-f89244c7199e,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-08-20,1390.6428668920312,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-765535f0-4aff-463d-8ecf-9d483595acf2,acct-25d3e13d-a099-4a74-a1d7-42218dce48a5,2025-08-21,76.63070079235321,ElectroHub #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-d1ae2096-5cb8-414c-b020-216025225e69,acct-25d3e13d-a099-4a74-a1d7-42218dce48a5,2025-08-24,115.20750876580627,HardwarePro #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-795b2b8c-7ce9-4782-a6d1-a2a010328062,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-08-28,1921.0830439272834,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-9d8d0a83-84af-478d-8313-5c277a51e6fe,acct-25d3e13d-a099-4a74-a1d7-42218dce48a5,2025-08-28,72.12186839918009,HardwarePro #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-0d58ce8a-bd0c-4e96-b3ff-2900a228822f,acct-25d3e13d-a099-4a74-a1d7-42218dce48a5,2025-09-07,90.81276108133272,LuxuryBoutique #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-7f0c42c7-0fb7-45ee-977b-df541dd139f8,acct-25d3e13d-a099-4a74-a1d7-42218dce48a5,2025-09-16,52.376123020531125,CityMall Clothing #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-a676f2e7-a64b-43a9-8994-01bd4d9728a5,acct-25d3e13d-a099-4a74-a1d7-42218dce48a5,2025-09-19,158.7256846611295,FurnitureCo #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-6cdac1fa-b2cd-41aa-867e-823fec696c9f,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-09-21,106.4567321882869,CityMall Clothing #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-1ee71d2d-c3bf-4244-ba3e-7682d0ad8317,acct-25d3e13d-a099-4a74-a1d7-42218dce48a5,2025-09-23,165.90813717216406,PetWorld #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-23e205a5-f0e1-4317-aaa1-0b27491ef732,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-09-25,119.56318367885184,OfficeSupply Co #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-e352ca97-8bc3-49c2-9214-d31dbd549c60,acct-25d3e13d-a099-4a74-a1d7-42218dce48a5,2025-09-26,80.97290921687767,LuxuryBoutique #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-7585d316-0b76-4384-bce2-44839bfd1e6a,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-09-27,115.02803814836973,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-488d8732-49ba-45b8-af9f-231e20a368e3,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-09-28,136.60912620844044,OnlineMart #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-f1d300d6-102c-4f34-9971-0fc7e66ce20d,acct-25d3e13d-a099-4a74-a1d7-42218dce48a5,2025-10-08,88.80295406873802,DiscountOutlets #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-a7c62794-74f0-43ed-999c-1de3064afa1e,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-10-13,67.29474710082113,GardenCenter #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-dca53484-6e2f-4de3-9b55-ac89a0b6dffc,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-10-25,-5049.356653326894,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-8698f9f7-03a8-459f-bd13-80a9c340dbc2,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-10-31,-6194.94138902015,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-6cf65545-7993-44df-b455-b41e8910dd2e,acct-fec4649c-db6d-41bd-a88f-5cff562b5a90,2025-11-02,-7659.967715532062,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-834a08d3-cc0f-468c-a104-30dddcfb2a19,acct-25d3e13d-a099-4a74-a1d7-42218dce48a5,2025-11-02,82.76497913972861,HomeGoods Store #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
