transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-4cff2e1d-0ffa-45d7-b28e-d28f2a214959,acct-9e5ec7f2-1156-4d6f-a95a-3006b0a5bfab,2025-05-07,172.19486642607015,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-db916fe8-9040-4127-abca-04141c77471e,acct-9e5ec7f2-1156-4d6f-a95a-3006b0a5bfab,2025-05-13,-3534.398117874764,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-326c1c13-573e-42ba-b433-9c15cc96b990,acct-481fbf5b-ce6e-4c52-9b42-1a02484e5fd4,2025-05-15,130.6586530132173,PayUtilities #3,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-5cd4db41-7f60-436e-8329-e15e1322b69b,acct-481fbf5b-ce6e-4c52-9b42-1a02484e5fd4,2025-05-16,34.61972966162689,QuickFuel #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-4b071322-d557-4b84-bfce-157be6a22bdd,acct-9e5ec7f2-1156-4d6f-a95a-3006b0a5bfab,2025-05-17,59.9723878977971,MobileCarrier #2,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-05e401af-1715-454d-8fff-0624c331f3ab,acct-481fbf5b-ce6e-4c52-9b42-1a02484e5fd4,2025-05-18,77.43902258755134,QuickFuel #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-a4dcb56e-b3cc-4c97-aaa8-6c2c71318be4,acct-481fbf5b-ce6e-4c52-9b42-1a02484e5fd4,2025-05-21,94.17527601831182,RideShareCo #1,,other,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-dc553f05-1671-4372-978a-ef1e513d1beb,acct-9e5ec7f2-1156-4d6f-a95a-3006b0a5bfab,2025-05-24,136.72918389069355,CityTransit #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-5c592546-31aa-46de-baa6-f3a85510bac1,acct-481fbf5b-ce6e-4c52-9b42-1a02484e5fd4,2025-05-27,23.17805388466985,ParkingLot Inc #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-ce32ff5f-3bbd-48a3-a495-ff58075a2a22,acct-481fbf5b-ce6e-4c52-9b42-1a02484e5fd4,2025-05-28,304.79727999300906,MobileCarrier #3,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-59fd5262-6cac-45ed-b41b-73f907627542,acct-481fbf5b-ce6e-4c52-9b42-1a02484e5fd4,2025-05-29,135.61996071344535,QuickFuel #4,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-f437c583-b16d-4080-a4ba-aa6b523922cf,acct-481fbf5b-ce6e-4c52-9b42-1a02484e5fd4,2025-05-29,112.42716951654731,QuickFuel #4,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-37a34f63-ca29-47a9-95d2-0c4ca56a1452,acct-481fbf5b-ce6e-4c52-9b42-1a02484e5fd4,2025-05-31,269.67954322497195,MobileCarrier #2,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-121ec10c-cbe9-41d9-af1e-9153ada44908,acct-9e5ec7f2-1156-4d6f-a95a-3006b0a5bfab,2025-06-07,113.89804697884142,QuickFuel #3,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-e84d5962-297b-4a0a-a2d2-4cc34a2c5f70,acct-9e5ec7f2-1156-4d6f-a95a-3006b0a5bfab,2025-06-09,35.24361076030523,CityTransit #4,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-fd120391-d044-4ced-8f27-dd5f72b0f387,acct-481fbf5b-ce6e-4c52-9b42-1a02484e5fd4,2025-06-10,132.35670609293976,RideShareCo #1,,other,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-405b5b6f-3da0-4375-b7eb-4eadec8104d0,acct-9e5ec7f2-1156-4d6f-a95a-3006b0a5bfab,2025-06-11,154.9079380209027,PayUtilities #1,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-cbe55aff-5cb4-48ea-9d83-fd713bb413af,acct-481fbf5b-ce6e-4c52-9b42-1a02484e5fd4,2025-06-12,356.51483294915744,PayUtilities #4,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-65a3207a-a7fd-4660-b9af-fe09c3f50671,acct-9e5ec7f2-1156-4d6f-a95a-3006b0a5bfab,2025-06-18,39.98693663354759,QuickFuel #4,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-5920ad50-7fe4-41ea-b7b5-0058810e886f,acct-9e5ec7f2-1156-4d6f-a95a-3006b0a5bfab,2025-06-18,38.95095801555921,QuickFuel #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-bbc54818-f17d-450c-9ec3-495b552732cb,acct-9e5ec7f2-1156-4d6f-a95a-3006b0a5bfab,2025-06-20,191.26941619178916,PayUtilities #4,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-7c46cb90-04dd-46c5-be3c-eff3e3fe49f1,acct-481fbf5b-ce6e-4c52-9b42-1a02484e5fd4,2025-06-21,52.15714368598087,CityTransit #3,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-d4be6418-f6e6-4cd5-a05e-7dfed55c84de,acct-9e5ec7f2-1156-4d6f-a95a-3006b0a5bfab,2025-06-22,66.68895189860737,MobileCarrier #3,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-42a41b70-5def-4b12-800e-c4eb7561d2b5,acct-481fbf5b-ce6e-4c52-9b42-1a02484e5fd4,2025-06-22,149.2434593369078,MobileCarrier #2,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-8c0a5880-abdc-4df0-921e-3a396ec365f9,acct-9e5ec7f2-1156-4d6f-a95a-3006b0a5bfab,2025-06-24,60.65880469949862,RideShareCo #3,,other,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-22545655-a5ff-4c56-a9bc-27893b06a527,acct-481fbf5b-ce6e-4c52-9b42-1a02484e5fd4,2025-06-25,26.921147580441513,QuickFuel #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-f2fd51ec-0c4f-4b14-a8c5-269604e9f4b5,acct-9e5ec7f2-1156-4d6f-a95a-3006b0a5bfab,2025-06-26,384.54706844205623,PayUtilities #3,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-7607b66a-f0ad-498a-8711-e17ade7b3b17,acct-481fbf5b-ce6e-4c52-9b42-1a02484e5fd4,2025-07-01,142.74136028670299,QuickFuel #1,,other,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-60d05abc-1e92-45e1-8c73-33cdc83cb1b8,acct-481fbf5b-ce6e-4c52-9b42-1a02484e5fd4,2025-07-01,149.23791805665235,ParkingLot Inc #3,,other,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
