transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-c774be5d-40ce-4c6b-a1f0-750581065a59,acct-8942fc8e-6358-4acf-b02b-f9d427e293a1,2025-05-13,109.95942093559557,CityTransit #4,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-e6e1d583-54d3-4142-903b-57b6c0cb9f36,acct-8942fc8e-6358-4acf-b02b-f9d427e293a1,2025-05-15,225.6194927203279,MobileCarrier #3,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-fd75996c-9b33-4f5f-b316-cbb6b4d4c26c,acct-8942fc8e-6358-4acf-b02b-f9d427e293a1,2025-05-18,328.6136765756716,PayUtilities #2,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-046b735b-325f-44aa-9b3d-b098d7a72a82,acct-8942fc8e-6358-4acf-b02b-f9d427e293a1,2025-05-19,65.43485507174611,RideShareCo #3,,other,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-1016bd0b-8884-48bb-82a7-546cb011d96b,acct-30cf8074-8e99-4899-b4ac-ddb967d414b1,2025-05-20,-3401.9989181839665,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-21e0e259-71cc-4a94-aba6-11b6e9840a06,acct-30cf8074-8e99-4899-b4ac-ddb967d414b1,2025-05-20,-983.0696301781579,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-57417aa5-764e-40a0-80da-234407bd9838,acct-30cf8074-8e99-4899-b4ac-ddb967d414b1,2025-05-23,-3915.1896299384684,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-4c5b2835-637b-4350-b6c4-c1b4334fcce8,acct-8942fc8e-6358-4acf-b02b-f9d427e293a1,2025-05-25,80.00752488181539,CityTransit #4,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-0c846e5d-5e8c-4289-a707-9444291ec115,acct-30cf8074-8e99-4899-b4ac-ddb967d414b1,2025-05-26,284.63061296569776,PayUtilities #2,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-de1485bb-4d79-47d5-a241-9251b0466efc,acct-30cf8074-8e99-4899-b4ac-ddb967d414b1,2025-05-28,92.20629226595196,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-e0c5e8a5-df09-49e7-ac65-5740f1327956,acct-30cf8074-8e99-4899-b4ac-ddb967d414b1,2025-06-08,79.12141984938576,RideShareCo #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-697fc668-5035-4aec-968d-08c429434706,acct-30cf8074-8e99-4899-b4ac-ddb967d414b1,2025-06-08,75.79988059388086,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-701f61ed-873b-4ac3-8272-2b857837add5,acct-30cf8074-8e99-4899-b4ac-ddb967d414b1,2025-06-09,108.51518987371793,PayUtilities #1,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-de069a1c-6cc7-4566-9353-0fd01b0490e6,acct-30cf8074-8e99-4899-b4ac-ddb967d414b1,2025-06-11,-3235.8110539015192,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-7c889157-0a6b-4c44-8bfe-afa7e5a29ad9,acct-8942fc8e-6358-4acf-b02b-f9d427e293a1,2025-06-11,66.69850247831491,ParkingLot Inc #4,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-409e4927-0594-4334-8a1f-68f7671580a6,acct-30cf8074-8e99-4899-b4ac-ddb967d414b1,2025-06-15,-528.0179214114895,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-6f711a1e-c685-41bb-9cdd-e8382b65d56a,acct-30cf8074-8e99-4899-b4ac-ddb967d414b1,2025-06-16,79.40863217376652,QuickFuel #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-ba2bde56-83e6-44f1-beb7-bb50a09e279f,acct-8942fc8e-6358-4acf-b02b-f9d427e293a1,2025-06-17,351.35211172620893,PayUtilities #1,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
