transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-fa3cbac5-5b3c-41be-a9cd-19b6083368b5,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-05-07,35.34050930630883,RideShareCo #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-c6286be9-5889-469b-b963-fda62548c837,acct-3dc3b609-d8d5-4d47-8ce5-59e25518e7ef,2025-05-10,110.16726441836205,ParkingLot Inc #3,,online,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-8f62f735-2ced-4457-bf56-e8f482187528,acct-3dc3b609-d8d5-4d47-8ce5-59e25518e7ef,2025-05-20,284.9876879060183,MobileCarrier #1,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-693815f9-2be6-43b0-b15c-f5429ca331ba,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-05-22,113.50662295264648,QuickFuel #4,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-99f9bf00-c052-41d4-90dc-84827bc4fa8b,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-05-24,-870.9041995719979,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-d3872ada-38cf-4a89-80ff-deb81c7e4aca,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-05-26,299.57226748728385,MobileCarrier #2,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-cc38e6ff-bd31-45a1-8e9a-79d6d151e201,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-05-27,-2614.687749841442,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-7cce2969-1331-4908-bb5a-4b1d1f560885,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-05-28,-1427.792754182126,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-8edb791b-e0d0-4559-b2b7-2ca0ad00d67a,acct-3dc3b609-d8d5-4d47-8ce5-59e25518e7ef,2025-05-29,42.093612845162426,RideShareCo #4,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-7a54771e-95a6-4e5f-b6b0-4a6269162119,acct-3dc3b609-d8d5-4d47-8ce5-59e25518e7ef,2025-06-02,382.58211244162084,MobileCarrier #1,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-b972069b-b6d3-4c88-bf79-9fff0093368f,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-06-02,95.02383083297427,MobileCarrier #1,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-8d0da443-1ab4-4d73-9fd0-5c1c0ea00545,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-06-03,106.54608635483467,CityTransit #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-c29ce4e5-1826-47ec-a6c0-5f850a969c61,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-06-05,72.57339412799988,RideShareCo #2,,online,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-00b93eb8-3aa9-42e1-b1b9-a53d6f25a387,acct-3dc3b609-d8d5-4d47-8ce5-59e25518e7ef,2025-06-05,113.81128024154485,CityTransit #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-518d8e60-6865-4ba2-90a1-dabbe335b483,acct-3dc3b609-d8d5-4d47-8ce5-59e25518e7ef,2025-06-08,284.8456146184873,PayUtilities #4,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-66bd2a09-400d-46da-ab55-15727f0cce67,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-06-09,-1873.5325340169125,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-da09e6e8-bb52-4ec0-8894-f4cefdde69df,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-06-09,283.3321330395143,MobileCarrier #2,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-07dce265-d3ed-4b77-a84d-bf764c978422,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-06-10,115.64948117562696,QuickFuel #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-1a123b88-1eeb-4f4f-98ae-f22a09573502,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-06-12,102.2057055416983,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-f39b33dd-9dc1-44b1-a254-e1e3edbd7cf0,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-06-15,116.42652020644937,ParkingLot Inc #3,,other,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-d25fe85c-4734-4017-be36-d77ee1f80602,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-06-15,148.94094033852994,CityTransit #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-df76d3a4-1de8-4317-8ca0-df8b5b0d6550,acct-3dc3b609-d8d5-4d47-8ce5-59e25518e7ef,2025-06-16,78.23878638696544,CityTransit #1,,other,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-951c6670-c0f8-446a-85f4-79d94553f11e,acct-3dc3b609-d8d5-4d47-8ce5-59e25518e7ef,2025-06-18,27.525253379715174,ParkingLot Inc #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-d5ed06da-243d-4bae-b188-c8d017626647,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-06-19,68.16483584937919,RideShareCo #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-ddb90366-44d0-494f-91c5-fbb2b802944d,acct-3dc3b609-d8d5-4d47-8ce5-59e25518e7ef,2025-06-19,135.05999056080162,CityTransit #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-4ae6ed8f-60e3-4750-b758-aeae67f093a8,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-06-24,210.9366821530655,PayUtilities #3,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-5a277606-a0c3-4201-bf2d-5943cd7efb69,acct-3dc3b609-d8d5-4d47-8ce5-59e25518e7ef,2025-06-27,125.58349048394756,CityTransit #2,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-90bf0097-9e98-429f-9940-7fb60ddf59cb,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-06-28,71.07425120313255,PayUtilities #1,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-666e1309-b73c-4132-a6ae-dd8c07ac339a,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-06-28,61.467465559296045,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-81725b38-8584-4d08-bac8-912ba8263d2b,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-07-06,319.3277911674911,PayUtilities #2,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-72a4cf75-c572-40e9-983a-d1df65e7e7e9,acct-3dc3b609-d8d5-4d47-8ce5-59e25518e7ef,2025-07-07,263.95923095084595,PayUtilities #4,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-4bac1472-3278-4382-bccc-ae0724d5be2c,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-07-11,139.78602552373,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-594a519f-128b-4b74-90bc-45795bd89553,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-07-11,62.51532822512068,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-a8ad605b-bb30-4df3-858c-62d0e66a1d60,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-07-18,79.70495383162287,MobileCarrier #4,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-235bb6be-3a8d-4daa-814f-bcfdcfac3fa9,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-07-18,108.04845610134647,QuickFuel #1,,other,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-77424923-26ce-4a5f-9f05-b1fdc50e884a,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-07-26,-851.7733717469093,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-191986d6-40a0-4689-9a26-e5b0802d17b4,acct-3dc3b609-d8d5-4d47-8ce5-59e25518e7ef,2025-07-26,48.07146713686724,RideShareCo #4,,other,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-26372e83-c1e0-4337-9420-3f667e749eb7,acct-3dc3b609-d8d5-4d47-8ce5-59e25518e7ef,2025-07-31,389.0886870089005,MobileCarrier #3,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-f2e3827d-552a-4c32-a480-bae95451a635,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-08-02,109.83475536250423,CityTransit #4,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-7931593d-6673-47aa-bb82-e6a9ccaba50b,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-08-04,27.24754436077332,RideShareCo #4,,other,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-8b799dcd-1281-4263-9b8b-ea1eed62b82f,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-08-09,-2586.036144900277,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-10106a53-0629-40f8-8bfc-5e26204a65b2,acct-3dc3b609-d8d5-4d47-8ce5-59e25518e7ef,2025-08-09,143.88140620142713,ParkingLot Inc #3,,other,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-f1513229-b5be-45dd-aafd-4b219e0982bf,acct-3dc3b609-d8d5-4d47-8ce5-59e25518e7ef,2025-08-09,143.85851004616234,RideShareCo #1,,other,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-acafce7e-76b6-46f6-a85d-f5b843209e2c,acct-50292c3d-0677-4778-920a-cf5ce7c8a991,2025-08-09,71.38600060874148,QuickFuel #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
