transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-bd5f629f-ab0c-4e7f-9be4-95d2515f7985,acct-7fa7f866-33a0-4754-83a1-be74fdfba47c,2025-05-14,13.747336293040577,StreamFlix #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-724125d6-3417-432f-b43c-0590040747c8,acct-42c89aa6-ba3b-475d-96cf-9ef16a9c128a,2025-05-17,26.589421389476783,StreamingMusic #3,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-3ba6af79-e74e-4144-ab7d-6dafaa49141b,acct-7fa7f866-33a0-4754-83a1-be74fdfba47c,2025-05-22,1362.5332730234563,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-27811aa9-7677-4c9b-a735-cf3985fce653,acct-42c89aa6-ba3b-475d-96cf-9ef16a9c128a,2025-06-03,28.405965941766365,StreamFlix #1,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-bcc5200f-1d7b-4722-9b0a-16d87ed2fc13,acct-42c89aa6-ba3b-475d-96cf-9ef16a9c128a,2025-06-10,15.132419416157365,StreamingMusic #3,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-8a415aef-0247-42aa-9363-a0b950b86c2a,acct-42c89aa6-ba3b-475d-96cf-9ef16a9c128a,2025-06-12,27.165420314919984,StreamingMusic #3,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-8be65f0f-9389-4e7f-8faa-0ad2285bb3b5,acct-42c89aa6-ba3b-475d-96cf-9ef16a9c128a,2025-06-12,16.399094483613464,StreamingMusic #1,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-9a9be258-2e0c-466f-b8ce-f3ae6d28c9e9,acct-7fa7f866-33a0-4754-83a1-be74fdfba47c,2025-06-16,-4370.455957376693,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-b5172484-0983-46d5-abfe-79e36915eb2e,acct-7fa7f866-33a0-4754-83a1-be74fdfba47c,2025-06-22,15.084132130115478,StreamingMusic #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-71810d2b-0fa5-4cdb-a5d8-8f7a7884ada9,acct-7fa7f866-33a0-4754-83a1-be74fdfba47c,2025-06-30,-4994.161421515871,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-35feba74-1f1a-43ec-bfd6-374c24559044,acct-7fa7f866-33a0-4754-83a1-be74fdfba47c,2025-07-04,-5457.473928229739,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-47682d07-2cfb-406c-a183-b012ca75beb7,acct-42c89aa6-ba3b-475d-96cf-9ef16a9c128a,2025-07-07,16.021485093748066,StreamFlix #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-b9dcf97b-5d8b-4b3b-9f77-f266b6b01566,acct-7fa7f866-33a0-4754-83a1-be74fdfba47c,2025-07-07,524.219324593338,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-94e1fad0-a83b-4787-8366-6cafd4626bcd,acct-7fa7f866-33a0-4754-83a1-be74fdfba47c,2025-07-09,-5513.341261706344,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-34589576-ee8c-4f59-890e-873f6a2ffb2b,acct-7fa7f866-33a0-4754-83a1-be74fdfba47c,2025-07-14,25.226300567966376,StreamingMusic #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-d636af7e-27b0-49a1-8864-178dda121e97,acct-42c89aa6-ba3b-475d-96cf-9ef16a9c128a,2025-07-16,10.373629756226046,StreamingMusic #2,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-f2697d45-5640-4911-bf98-4d00d7d5149e,acct-42c89aa6-ba3b-475d-96cf-9ef16a9c128a,2025-07-21,29.073303731976242,StreamFlix #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-6dd2f4e5-cdf0-4953-a7c0-056f2013008b,acct-42c89aa6-ba3b-475d-96cf-9ef16a9c128a,2025-07-25,16.08708834247699,StreamingMusic #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-cc4ab813-e72e-42ca-9f70-00fede7c1b3c,acct-42c89aa6-ba3b-475d-96cf-9ef16a9c128a,2025-07-29,27.009194292201826,StreamingMusic #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-05589331-3008-485d-8e98-f32e6d38bc3c,acct-42c89aa6-ba3b-475d-96cf-9ef16a9c128a,2025-07-30,18.148178493216214,StreamingMusic #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-3d873040-4f67-4ddf-b68b-f6c5fae55e91,acct-7fa7f866-33a0-4754-83a1-be74fdfba47c,2025-07-30,692.5773272981692,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-449b4be7-ea82-4c0d-8314-abf584e34f70,acct-42c89aa6-ba3b-475d-96cf-9ef16a9c128a,2025-08-01,12.11733213729505,StreamFlix #3,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-35343839-96c1-4bbb-82fb-7ae46512456c,acct-7fa7f866-33a0-4754-83a1-be74fdfba47c,2025-08-12,-4472.559242722277,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-a9deab81-2d1f-4ef5-b662-527016565696,acct-7fa7f866-33a0-4754-83a1-be74fdfba47c,2025-08-13,-4406.442238260222,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-6fddc827-e5eb-4d13-956a-5f22a738350b,acct-7fa7f866-33a0-4754-83a1-be74fdfba47c,2025-08-21,16.176197700123222,StreamFlix #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-56c111d9-599e-4734-8f8f-d357eb89223b,acct-7fa7f866-33a0-4754-83a1-be74fdfba47c,2025-08-22,1073.0428836496403,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-8d1c65c7-0dfe-4621-a778-746c56ada6dc,acct-7fa7f866-33a0-4754-83a1-be74fdfba47c,2025-08-23,10.876619851367069,StreamFlix #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-2fb34a73-aa84-4bfe-afb8-fafa2c129b2e,acct-7fa7f866-33a0-4754-83a1-be74fdfba47c,2025-08-27,21.591102916356277,StreamingMusic #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-9bd576dc-1f28-4cf1-a6c7-c018abc8f4ba,acct-7fa7f866-33a0-4754-83a1-be74fdfba47c,2025-09-01,-4255.24442323593,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-19a5851e-c31f-4c85-ab7e-72fec30f6798,acct-7fa7f866-33a0-4754-83a1-be74fdfba47c,2025-09-05,1338.3809097531498,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
