transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-e02266e0-e61a-49f8-ab50-117c7858604e,acct-b5c50701-9403-413e-9705-7affc28bf177,2025-05-08,30.873119766617677,CinemaWorld #3,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Movie Theaters'}",False,USD
txn-e75d5e1e-7421-468a-a505-9137949bdbb4,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-05-08,36.7711982107551,CityTransit #2,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-7f57c418-e077-4e1c-989d-27b0e727727e,acct-b5c50701-9403-413e-9705-7affc28bf177,2025-05-09,54.118078962400716,StreamingMusic #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-158bdd24-1375-4252-8051-66de54ecd5b4,acct-b5c50701-9403-413e-9705-7affc28bf177,2025-05-09,116.1788841206995,CinemaWorld #3,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Movie Theaters'}",False,USD
txn-f40c3cc8-da4f-484e-b4a1-2250b34e0d25,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-05-10,-5331.7509806343005,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-f76be865-33a2-4997-a7db-b3d3805804ec,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-05-10,94.67542677606586,MovieRentals #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/On-demand Rentals'}",False,USD
txn-dc804a1c-8971-454a-bb33-d36bf24f88fd,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-05-11,-4528.422301551305,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-52a13a84-f0e1-48b9-9513-54d24d696c2c,acct-b5c50701-9403-413e-9705-7affc28bf177,2025-05-12,480.3008665349325,BookBarn #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-fcf3572c-95f7-4acf-8a2b-270f38f85fd0,acct-b5c50701-9403-413e-9705-7affc28bf177,2025-05-12,376.49868600772965,HardwarePro #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-de5ab9ce-3c59-4880-bed7-d3ab729bae57,acct-b5c50701-9403-413e-9705-7affc28bf177,2025-05-12,221.6058451126663,BookBarn #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-a74e7e1c-1693-495b-9407-51aa53212b47,acct-b5c50701-9403-413e-9705-7affc28bf177,2025-05-13,444.79859566064385,HomeGoods Store #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-3ab7c293-faf0-4789-a096-0f2f0a410303,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-05-13,8.336114431958833,QuickFuel #3,,other,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-45f9cde8-31d3-4932-ba22-79f5c5b3c336,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-05-14,-6060.263759324268,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-c24bba8a-c4d7-468c-950e-b82a57eb069e,acct-b5c50701-9403-413e-9705-7affc28bf177,2025-05-14,148.5174276871797,StreamFlix #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-691147aa-bb81-4103-b207-81bae5c29bb8,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-05-16,78.72366095424206,OfficeSupply Co #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-90949346-6970-4124-9f0f-06e7962e201d,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-05-16,6.787879062336203,CityTransit #3,,other,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-b3fa843c-d7e2-48b3-b2f6-e30d625c11ed,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-05-18,199.76060270274297,CinemaWorld #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Movie Theaters'}",False,USD
txn-c319e532-a9a9-4190-9239-fe1447d3bfdb,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-05-18,117.57575384285697,CinemaWorld #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Movie Theaters'}",False,USD
txn-55ce72eb-fdb7-4802-8ffd-72b7012cd82f,acct-b5c50701-9403-413e-9705-7affc28bf177,2025-05-18,25.434613906987046,StreamFlix #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-109e0e1a-bcf8-40cf-9614-ba0874f68109,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-05-21,-4564.471874536903,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-b686057d-1643-4062-b41f-748b6eeed133,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-05-24,124.98896027266139,CityMall Clothing #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-a4679a51-b50e-48c5-b21e-6ec9b47140ea,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-05-27,263.61308459004476,FurnitureCo #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-e9721169-6e08-450b-986d-04bd02bb80c8,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-05-30,205.63841129747314,CraftsOnline #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-95cbac8b-8baa-45f0-bfb5-014bae9fd473,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-05-30,62.78403481410244,QuickFuel #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-538d558a-de4d-4b3a-8cb0-d61a489fa1ea,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-05-31,95.30927489682854,QuickFuel #4,,other,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-07b8befa-6e31-467d-beed-e1e4e44eb6d3,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-06-01,112.09462766895312,CraftsOnline #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-c860a63d-62d4-4793-9167-bdebda7cdfa0,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-06-03,443.79514631201585,SubscriptionBox #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-82a031ff-bafd-48c1-8bdc-156642a15a29,acct-b5c50701-9403-413e-9705-7affc28bf177,2025-06-04,232.11273878918465,eBookStore #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-52cfd2a4-dfd6-4271-b704-3a60e3f33100,acct-b5c50701-9403-413e-9705-7affc28bf177,2025-06-05,320.1471277082588,HardwarePro #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-d6b47d4d-966a-4090-b67d-b4df5376ccfd,acct-b5c50701-9403-413e-9705-7affc28bf177,2025-06-06,97.42211650568449,RideShareCo #3,,online,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-e3da5365-07e2-4151-a4dd-8691a069b86c,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-06-07,132.320818404482,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-9a913784-229c-4582-985d-c904b62a1a63,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-06-08,-4939.973186039505,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-1295aa85-486a-41fc-8987-25e2f0c74487,acct-b5c50701-9403-413e-9705-7affc28bf177,2025-06-09,82.08760547681176,RideShareCo #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-a584a385-d682-4b4c-9e5a-4f3b62d0e6d7,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-06-10,40.130471430624326,CinemaWorld #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Movie Theaters'}",False,USD
txn-5a8f34e3-c8c0-41cf-8edd-66806bcfc81f,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-06-14,36.062164117324656,CityTransit #4,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-e9cf3208-7d7d-468f-a2ad-af39095d0a8b,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-06-15,185.52132658965417,StreamFlix #3,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-242a6d53-8686-40a1-a3b2-0948664b41fe,acct-b5c50701-9403-413e-9705-7affc28bf177,2025-06-16,62.78804564888192,StreamingMusic #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-a0aa00fb-168b-4f90-9602-16f5011203a0,acct-b5c50701-9403-413e-9705-7affc28bf177,2025-06-16,42.892994829950084,CityTransit #4,,other,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-ac17d988-1e35-4af9-ae7b-ab6c0b93d6fa,acct-b5c50701-9403-413e-9705-7affc28bf177,2025-06-18,46.22518713187891,ParkingLot Inc #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-04bb5762-1406-4738-b2d0-3bf4f371d35d,acct-b5c50701-9403-413e-9705-7affc28bf177,2025-06-21,36.03731557531452,CloudStorage #1,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Cloud Services'}",False,USD
txn-c185687e-2ef0-4781-a194-e8ee059d2972,acct-b5c50701-9403-413e-9705-7affc28bf177,2025-06-21,45.45933573412638,ParkingLot Inc #3,,other,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-761633d0-a554-4ac9-a494-b833de370902,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-06-21,19.091361657750404,QuickFuel #2,,other,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-b28ec569-ac68-4eb6-9410-512ac76b8538,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-06-23,420.66061441250986,HomeGoods Store #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-dc39b47b-e7a3-4cde-81b8-1b7bb63bc32c,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-06-23,493.37147941079166,FurnitureCo #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-0897fa80-e845-42ed-8a64-db83d0c44e7c,acct-b5c50701-9403-413e-9705-7affc28bf177,2025-06-23,29.731920686652394,QuickFuel #4,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-b5dfbd74-ca88-4333-866a-6a5466b62169,acct-61f45759-0fa2-4872-8dae-424c34c8f153,2025-06-24,60.73641413823197,CityTransit #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-6a64c6e0-c774-4ce2-baed-1c9323241227,acct-b5c50701-9403-413e-9705-7affc28bf177,2025-06-26,45.710252489367065,ParkingLot Inc #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-897555d2-8045-498c-bfe3-6c7cb596e310,acct-b5c50701-9403-413e-9705-7affc28bf177,2025-06-28,103.70887562586266,StreamingMusic #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
