transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-d2ff54dc-83a8-48c7-9a33-b28290eaa92a,acct-9e14c2cb-11a5-4b57-8a96-6bcaa0f9ee12,2025-05-07,91.8469684295931,RideShareCo #1,,other,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-8dd5c888-f854-4444-a6a5-a9247bc6d633,acct-148fe9bf-dd42-4eb5-a6ed-8c9c6fa4a1d3,2025-05-11,-2299.6419067443785,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-c2662c8d-a0f1-4585-8d8c-75d6b6d2f4af,acct-9e14c2cb-11a5-4b57-8a96-6bcaa0f9ee12,2025-05-13,28.121660321372417,RideShareCo #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-81ec7bb7-edb4-4056-9002-b0bba7647518,acct-148fe9bf-dd42-4eb5-a6ed-8c9c6fa4a1d3,2025-05-14,-1746.4034297053001,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-e8e8bbf3-3e91-4e87-bddd-102a01eb894e,acct-9e14c2cb-11a5-4b57-8a96-6bcaa0f9ee12,2025-05-16,90.78230198195732,CityTransit #2,,other,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-077002f0-c6ff-4e2e-a0f9-3795e2913daf,acct-9e14c2cb-11a5-4b57-8a96-6bcaa0f9ee12,2025-05-17,45.81885688653155,CityTransit #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-22076ba2-2cb5-4a16-9d30-69336a736448,acct-148fe9bf-dd42-4eb5-a6ed-8c9c6fa4a1d3,2025-05-20,213.89825563670732,PayUtilities #1,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-ad437c54-05ed-435d-9019-254d15074be1,acct-148fe9bf-dd42-4eb5-a6ed-8c9c6fa4a1d3,2025-05-24,177.9524472047593,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-0f77af96-b047-4670-b2c7-f193da26b014,acct-9e14c2cb-11a5-4b57-8a96-6bcaa0f9ee12,2025-05-26,208.0950030495027,MobileCarrier #2,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-86f494c3-80b7-4296-90da-41d09f4f567c,acct-9e14c2cb-11a5-4b57-8a96-6bcaa0f9ee12,2025-05-27,100.12370840292868,RideShareCo #3,,online,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
