transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-7f6783ad-405f-4032-b46a-87d23c68b5b3,acct-c700ab8b-dc99-4567-ad34-2317a0aa1700,2025-05-13,-5094.484729106342,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-ec4214e8-9f21-4e7b-b293-01ca4fdcb0a0,acct-c700ab8b-dc99-4567-ad34-2317a0aa1700,2025-05-14,884.6575452495456,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-d34903ba-3f71-41d6-a148-5c7a24c9dd91,acct-c700ab8b-dc99-4567-ad34-2317a0aa1700,2025-05-15,11.196377837286231,StreamingMusic #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-9fcadbf5-d396-428d-8812-a9f027011077,acct-c700ab8b-dc99-4567-ad34-2317a0aa1700,2025-06-02,20.26878996906942,StreamFlix #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-38697f40-3b50-4a2a-9d2e-69a50ba3e6ce,acct-8760aecb-95db-478d-951c-b763d4a45ff6,2025-06-02,20.782656705683596,StreamFlix #2,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-7c05d81f-00f3-415e-a845-86a413c19cd6,acct-c700ab8b-dc99-4567-ad34-2317a0aa1700,2025-06-06,-4698.474171195263,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-6e93b679-2c70-4322-8d02-30fe5dfda55a,acct-c700ab8b-dc99-4567-ad34-2317a0aa1700,2025-06-11,20.56170017552507,StreamFlix #3,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-ab7929c7-969f-46ac-a564-89af97ba8d20,acct-c700ab8b-dc99-4567-ad34-2317a0aa1700,2025-06-13,15.593799553650413,StreamingMusic #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-be83d25b-7030-472e-accc-0fafd3fe0df5,acct-c700ab8b-dc99-4567-ad34-2317a0aa1700,2025-06-15,27.828013966865125,StreamFlix #1,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-28798a73-f139-4530-944b-ff217b32f65d,acct-8760aecb-95db-478d-951c-b763d4a45ff6,2025-06-15,12.589167909832641,StreamFlix #2,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-7d3cbabb-f3d7-461b-9702-cffd31d32e8a,acct-8760aecb-95db-478d-951c-b763d4a45ff6,2025-06-15,27.082062719381298,StreamingMusic #3,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-aac49992-5bd9-4d23-9dd5-744ffc5db87b,acct-c700ab8b-dc99-4567-ad34-2317a0aa1700,2025-06-20,-5963.060072163233,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-8dcf424c-5263-446a-ae6b-1cd0b3e4e7e1,acct-c700ab8b-dc99-4567-ad34-2317a0aa1700,2025-06-21,21.69682540622923,StreamFlix #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-f841c01a-23ed-482e-bf2c-87697c28f5c5,acct-c700ab8b-dc99-4567-ad34-2317a0aa1700,2025-06-22,25.841467666978108,StreamingMusic #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-5c1c619d-1304-4b30-a00d-6c479bc29533,acct-c700ab8b-dc99-4567-ad34-2317a0aa1700,2025-06-27,-5956.791946187468,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-3fe427c5-7fe6-4a69-9637-4223fc855180,acct-c700ab8b-dc99-4567-ad34-2317a0aa1700,2025-06-29,24.579990744701224,StreamingMusic #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-8504a80f-f24d-4d0a-8eda-84c46640f288,acct-c700ab8b-dc99-4567-ad34-2317a0aa1700,2025-07-02,-4205.536096862815,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-207e5046-8cfe-420f-911f-fea2f23676e2,acct-8760aecb-95db-478d-951c-b763d4a45ff6,2025-07-20,27.936192337395916,StreamingMusic #1,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-c1a0cb0d-3408-449a-ac4b-04ac018ea34f,acct-c700ab8b-dc99-4567-ad34-2317a0aa1700,2025-07-20,815.7958377554426,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-67e11f89-c10a-4ade-97e3-c464f7438060,acct-8760aecb-95db-478d-951c-b763d4a45ff6,2025-07-29,12.580979210725276,StreamingMusic #1,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-bb63e06f-5a2b-4b19-9cb2-1f6bf042fefd,acct-c700ab8b-dc99-4567-ad34-2317a0aa1700,2025-07-30,23.875865862609817,StreamingMusic #3,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
