transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-bb18312d-6513-4a33-bbf9-81c921f7341e,acct-e6b3f06d-5c83-4f4f-85f2-66c006f2b9e2,2025-05-07,-4555.446570324018,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-30f3e98f-eca7-4ba3-abc0-0607479012d8,acct-e6b3f06d-5c83-4f4f-85f2-66c006f2b9e2,2025-05-08,118.62423636028028,StarBite Cafe #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-998380e8-7bc7-4db4-9094-dd034d0ee74e,acct-2ff88d6f-1cf5-4389-b2ae-78ad4584a270,2025-05-09,130.17689162844266,StarBite Cafe #4,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-d60946fe-443b-4faf-9164-9838a652fda4,acct-2ff88d6f-1cf5-4389-b2ae-78ad4584a270,2025-05-09,62.097488659576264,FreshBites #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-d6b52e3c-c70d-4de7-ac5f-e87f7840528b,acct-e6b3f06d-5c83-4f4f-85f2-66c006f2b9e2,2025-05-11,85.11624209410104,FineDining LLC #3,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-0f0b8853-857c-41c4-9bdf-1e9c63ed0d49,acct-2ff88d6f-1cf5-4389-b2ae-78ad4584a270,2025-05-11,13.128822595287176,BeerBarn #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-254ad18f-7146-4e21-9507-3eebfd5d367c,acct-2ff88d6f-1cf5-4389-b2ae-78ad4584a270,2025-05-12,49.88523116983241,HardwarePro #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-fabe6c57-7c70-4e77-8019-bca2ce7b2873,acct-2ff88d6f-1cf5-4389-b2ae-78ad4584a270,2025-05-13,133.60655465319348,ToyHouse #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-d4291e70-fb70-4957-8fca-955705c57bfa,acct-2ff88d6f-1cf5-4389-b2ae-78ad4584a270,2025-05-13,90.3062191653956,ToyHouse #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-0d8439cc-7f97-46ec-a322-9c9c076db796,acct-2ff88d6f-1cf5-4389-b2ae-78ad4584a270,2025-05-13,40.52238263761076,StarBite Cafe #2,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-5d52cc7b-1679-425a-92fa-0f77f00abc28,acct-2ff88d6f-1cf5-4389-b2ae-78ad4584a270,2025-05-13,12.279714209640478,LocalBakery #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-a67596ba-63c3-4292-a099-a90a03047924,acct-e6b3f06d-5c83-4f4f-85f2-66c006f2b9e2,2025-05-14,119.54019108788759,CityMall Clothing #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-054c30a5-a7f0-40d5-b491-ce24c6dc8c16,acct-e6b3f06d-5c83-4f4f-85f2-66c006f2b9e2,2025-05-14,213.5926922797553,HardwarePro #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-63cfbf85-c4d1-4c31-b046-259eea1c83ea,acct-e6b3f06d-5c83-4f4f-85f2-66c006f2b9e2,2025-05-14,79.42946967464341,LocalBakery #4,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-7189bd1f-dba6-4805-b70e-4a337103f26d,acct-2ff88d6f-1cf5-4389-b2ae-78ad4584a270,2025-05-15,135.79632408703554,OnlineMart #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-891383f8-6865-41e5-b37b-598585b0566f,acct-2ff88d6f-1cf5-4389-b2ae-78ad4584a270,2025-05-16,138.68907079767484,BeerBarn #2,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-aa013f6d-ef72-4c9f-b9a3-777cb0d870d9,acct-e6b3f06d-5c83-4f4f-85f2-66c006f2b9e2,2025-05-16,102.6453853345674,BeerBarn #2,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-1494191e-9728-42ba-b94b-c86b5e3633a9,acct-e6b3f06d-5c83-4f4f-85f2-66c006f2b9e2,2025-05-17,137.2344349495123,BeerBarn #4,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
