transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-e378ca4a-837c-413b-a7c6-5eff65fa9999,acct-10792a58-584b-43cd-abfe-5c1d4d947d40,2025-05-07,22.820798203455723,HardwarePro #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-8c955eb2-d051-4b35-88d4-15857f12c9f3,acct-10792a58-584b-43cd-abfe-5c1d4d947d40,2025-05-07,62.745498658610515,LocalBakery #1,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-97c5d14c-6784-4579-8ca2-3871182fc07a,acct-10792a58-584b-43cd-abfe-5c1d4d947d40,2025-05-07,45.59865959073118,StarBite Cafe #4,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-abfb7cae-af47-4ca8-a546-461b43f8806c,acct-10792a58-584b-43cd-abfe-5c1d4d947d40,2025-05-09,70.93102797010346,BeerBarn #1,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-c42d39bd-a1e2-45f7-83ca-8141421f6ecd,acct-c93ba6ac-8cea-40ab-a379-fb9467df607c,2025-05-11,20.50237024039939,ElectroHub #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-c5a705ec-9dee-4b96-bbc6-817d0a574800,acct-10792a58-584b-43cd-abfe-5c1d4d947d40,2025-05-12,144.22885652487352,FineDining LLC #1,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-c5bd5ff7-1959-4a26-b4f4-4c2f7f152f40,acct-10792a58-584b-43cd-abfe-5c1d4d947d40,2025-05-13,86.36139685198788,FreshBites #1,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-f338faf5-751c-4d4a-af53-17ee3e59abb3,acct-c93ba6ac-8cea-40ab-a379-fb9467df607c,2025-05-14,39.8912212507463,FreshBites #4,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-c97748c9-f675-4cc7-af5b-830927115e19,acct-10792a58-584b-43cd-abfe-5c1d4d947d40,2025-05-14,143.8401405523026,StarBite Cafe #2,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-6a49d51c-9172-46be-97a8-b09b3b055968,acct-10792a58-584b-43cd-abfe-5c1d4d947d40,2025-05-15,28.318503102874526,BeerBarn #4,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-5808eb2a-f5fb-4222-bad8-61d8441a3b3f,acct-c93ba6ac-8cea-40ab-a379-fb9467df607c,2025-05-16,58.39395283270715,PetWorld #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-47e4aaa9-2957-41f8-a566-432565152717,acct-c93ba6ac-8cea-40ab-a379-fb9467df607c,2025-05-18,250.76650069011933,FurnitureCo #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-870e2c75-4e01-434e-804b-53af2e36f9cc,acct-10792a58-584b-43cd-abfe-5c1d4d947d40,2025-05-18,41.70452831537338,StarBite Cafe #3,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-666e033b-8eec-49ce-9b45-701d513316f5,acct-10792a58-584b-43cd-abfe-5c1d4d947d40,2025-05-19,84.35220716454847,LocalBakery #4,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-1c379516-7f21-46dc-a356-4df2c4027a43,acct-c93ba6ac-8cea-40ab-a379-fb9467df607c,2025-05-20,233.00320445754068,SubscriptionBox #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-b7490335-919f-423f-a0d7-64f4b0533a04,acct-10792a58-584b-43cd-abfe-5c1d4d947d40,2025-05-21,180.8082865157578,SubscriptionBox #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-2409e233-1110-4c36-bb64-e07d9737a3de,acct-c93ba6ac-8cea-40ab-a379-fb9467df607c,2025-05-22,292.21621152668,ElectroHub #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-c6b290a2-3542-4813-904c-9cc296879a5c,acct-10792a58-584b-43cd-abfe-5c1d4d947d40,2025-05-22,45.15647612196034,StarBite Cafe #5,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-e1ecd616-a4b2-4c0b-bdfa-f2e038275f27,acct-10792a58-584b-43cd-abfe-5c1d4d947d40,2025-05-23,-4233.649438457151,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
