transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-f5d1421e-9e4a-4dd3-9a11-0c5b08a50d3e,acct-82e38c1d-916f-4623-bf1c-ea2e26291733,2025-05-10,61.08700887360922,HomeGoods Store #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-2e3c0196-b5ba-4d0c-b51a-fb2c9a755639,acct-82e38c1d-916f-4623-bf1c-ea2e26291733,2025-05-14,-7272.862032366214,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-a0b49b3f-a47d-4461-9e98-6b4de77a3e68,acct-82e38c1d-916f-4623-bf1c-ea2e26291733,2025-05-16,1228.013130592467,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-88b463b5-4c7d-4c15-a82c-3cf633dc60b1,acct-82e38c1d-916f-4623-bf1c-ea2e26291733,2025-05-16,76.20691158115466,GardenCenter #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-448a17ad-601b-45bf-94d9-58603503a635,acct-b3b4d1c2-ee17-4340-b025-17fab610958e,2025-05-19,83.41378175802933,ToyHouse #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-dd420c0a-8de2-4be8-869f-3038a27bf603,acct-82e38c1d-916f-4623-bf1c-ea2e26291733,2025-05-21,183.44408470802352,BookBarn #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-b9562e66-14ac-4a06-bb24-f0410f8150f0,acct-82e38c1d-916f-4623-bf1c-ea2e26291733,2025-05-22,1086.2916696570799,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-0d2824df-58b9-4735-a77c-d5ff4f6c9b8d,acct-82e38c1d-916f-4623-bf1c-ea2e26291733,2025-05-22,83.4729346411734,BookBarn #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-8930138a-2de0-4fbc-baa9-6437c03296e0,acct-82e38c1d-916f-4623-bf1c-ea2e26291733,2025-05-28,1071.8061739126958,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-04cde612-0416-4c1c-9d1c-aa961a5b5e19,acct-82e38c1d-916f-4623-bf1c-ea2e26291733,2025-05-28,1358.4421728394727,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
