transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-fd070a49-16b4-4600-9547-0844f3a3091b,acct-d497ab6a-61ca-47f2-ba3d-8d9ea33a29a8,2025-05-09,101.4766384908632,OnlineMart #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-5e17ca59-afe2-401d-bb0d-aee655534ee2,acct-d497ab6a-61ca-47f2-ba3d-8d9ea33a29a8,2025-05-11,63.7292382079253,GardenCenter #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-56df40af-c8b3-4aa5-9f0b-01f0a7ba2ccc,acct-d497ab6a-61ca-47f2-ba3d-8d9ea33a29a8,2025-05-11,54.47756880336704,BikeShop #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-62f700fb-b1c9-4c91-a447-1ee171cb5e0d,acct-d497ab6a-61ca-47f2-ba3d-8d9ea33a29a8,2025-05-12,107.9928274485369,BookBarn #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-cc42168c-df92-449c-875f-172b002e5590,acct-d497ab6a-61ca-47f2-ba3d-8d9ea33a29a8,2025-05-15,148.2972236700483,ElectroHub #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-23c46573-6e88-4fce-8f94-211a05e66313,acct-8a645b06-f428-4942-8c97-e6ea95dc8d2e,2025-05-15,158.5168670960351,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-e3760471-7d59-494f-9299-c8e2ffbf3214,acct-d497ab6a-61ca-47f2-ba3d-8d9ea33a29a8,2025-05-16,104.44202424883656,SubscriptionBox #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-efdb9ac7-d3f2-4cbe-8f41-05a0d6b21e2e,acct-8a645b06-f428-4942-8c97-e6ea95dc8d2e,2025-05-19,162.23348663321065,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-b0e9afc9-b6a5-4f5d-8bb0-a75348dc660b,acct-8a645b06-f428-4942-8c97-e6ea95dc8d2e,2025-05-22,585.5479998999615,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-9403fe83-0c0e-472c-bf85-1858c0881e60,acct-8a645b06-f428-4942-8c97-e6ea95dc8d2e,2025-05-28,1184.5785908307898,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-a4e78289-d66f-45be-a1ce-1da0f34e287d,acct-8a645b06-f428-4942-8c97-e6ea95dc8d2e,2025-05-28,57.24444989482291,CraftsOnline #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-6c452b99-2a23-4609-8e08-2750794468bc,acct-d497ab6a-61ca-47f2-ba3d-8d9ea33a29a8,2025-05-29,188.6705590894882,OfficeSupply Co #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-92f27e5e-0c9c-4748-a3bd-353e2345f1e8,acct-8a645b06-f428-4942-8c97-e6ea95dc8d2e,2025-05-30,1030.1074705728167,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-3fd7df05-dc27-4af3-a061-0f17a8917473,acct-d497ab6a-61ca-47f2-ba3d-8d9ea33a29a8,2025-06-01,160.68277751477063,BookBarn #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-4842e9d7-9348-4811-847e-7f414279df0b,acct-d497ab6a-61ca-47f2-ba3d-8d9ea33a29a8,2025-06-04,66.30210267662258,HardwarePro #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-fd173e97-cd9e-45fa-bdac-91652bd0bb2e,acct-8a645b06-f428-4942-8c97-e6ea95dc8d2e,2025-06-04,94.64122320825803,PetWorld #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-68540b63-4808-4a94-851d-01a4990fa33a,acct-8a645b06-f428-4942-8c97-e6ea95dc8d2e,2025-06-05,1341.281336047539,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-c65d9a01-2d1b-4210-865f-c2e4477d387e,acct-8a645b06-f428-4942-8c97-e6ea95dc8d2e,2025-06-06,88.59021094364253,BikeShop #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-be76ad84-6cbf-48dc-b38e-5729ff62fd84,acct-8a645b06-f428-4942-8c97-e6ea95dc8d2e,2025-06-06,67.26632145699236,HardwarePro #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-9c7efd36-a5d2-42cc-8bc1-3d6af2ef7762,acct-8a645b06-f428-4942-8c97-e6ea95dc8d2e,2025-06-07,114.16219740790801,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-c38aac0d-748b-4c72-bf94-74d74917dafd,acct-d497ab6a-61ca-47f2-ba3d-8d9ea33a29a8,2025-06-10,191.672599113596,CityMall Clothing #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-8b51e448-bfdb-4dc3-aa06-0717d72b808a,acct-d497ab6a-61ca-47f2-ba3d-8d9ea33a29a8,2025-06-16,51.188342605847645,ElectroHub #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-a6051d25-e582-43d8-8629-40defdaf8d8b,acct-8a645b06-f428-4942-8c97-e6ea95dc8d2e,2025-06-19,62.355244305914724,OnlineMart #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-fc614d91-6c75-4b4c-b02c-ee71688123b4,acct-8a645b06-f428-4942-8c97-e6ea95dc8d2e,2025-06-20,119.8327632937818,HomeGoods Store #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
