transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-1898b18c-a514-4b3d-ba01-940837375569,acct-0ee92bbe-932b-4cda-ad5a-895fe3fd55c3,2025-05-07,122.73327767613202,BeerBarn #2,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-41aa2ab8-d79f-4dcf-a28a-f58fe19bf17c,acct-ef6596cc-7e94-4caa-ae39-c2222d62de3a,2025-05-08,105.4698408931458,BeerBarn #2,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-f17295e4-7df7-4a0b-8b7b-c06844cea2cb,acct-ef6596cc-7e94-4caa-ae39-c2222d62de3a,2025-05-08,103.01495081215165,BeerBarn #4,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-e9ddca0c-ab62-4246-878a-95015a079914,acct-ef6596cc-7e94-4caa-ae39-c2222d62de3a,2025-05-09,60.63301851076106,LocalBakery #1,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-08728d8a-9852-4cf8-b806-4264cc900f0d,acct-ef6596cc-7e94-4caa-ae39-c2222d62de3a,2025-05-09,125.10896585187628,FineDining LLC #4,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-e5f34e48-49a2-4cdd-983f-2971f7b44f14,acct-0ee92bbe-932b-4cda-ad5a-895fe3fd55c3,2025-05-10,24.60063128098433,LocalBakery #3,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-1ee4ad05-cb78-4d92-a2b2-f26b1378d5ae,acct-ef6596cc-7e94-4caa-ae39-c2222d62de3a,2025-05-10,100.83599384234262,FineDining LLC #1,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-08231fd1-dc2c-4066-baa6-105cdae61fdf,acct-0ee92bbe-932b-4cda-ad5a-895fe3fd55c3,2025-05-11,148.51738977918,FreshBites #2,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-bc4af3a7-09dc-412a-bed5-69a39faeeb55,acct-ef6596cc-7e94-4caa-ae39-c2222d62de3a,2025-05-12,203.80491438870408,BookBarn #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-60a16a63-64f0-4405-a404-523e806e8a2c,acct-ef6596cc-7e94-4caa-ae39-c2222d62de3a,2025-05-14,85.01510341882505,OfficeSupply Co #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-14e304cf-ee5c-4507-ab1a-57fbeefbcd8a,acct-ef6596cc-7e94-4caa-ae39-c2222d62de3a,2025-05-14,120.7294525551271,StarBite Cafe #3,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-0d009136-88c0-4f99-925b-d1017ffea846,acct-0ee92bbe-932b-4cda-ad5a-895fe3fd55c3,2025-05-14,19.18934847799145,FineDining LLC #4,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-82dd5574-cc3e-4aaa-b93f-01afafae9058,acct-0ee92bbe-932b-4cda-ad5a-895fe3fd55c3,2025-05-14,24.617941644793486,StarBite Cafe #5,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-130f874c-ec49-4916-b5ff-97b6d7ca9df7,acct-ef6596cc-7e94-4caa-ae39-c2222d62de3a,2025-05-15,20.75940389360069,LocalBakery #1,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-37c49459-268d-4324-8ccf-37d341ef77d7,acct-0ee92bbe-932b-4cda-ad5a-895fe3fd55c3,2025-05-15,149.01180937218064,LocalBakery #2,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-069eb35b-1693-4984-a630-edf66fca788f,acct-0ee92bbe-932b-4cda-ad5a-895fe3fd55c3,2025-05-15,144.49527384771508,LocalBakery #1,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-6d4ced6e-f8d4-4846-bf93-1b812e54c6df,acct-0ee92bbe-932b-4cda-ad5a-895fe3fd55c3,2025-05-17,159.15827504102674,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-d3b10034-a56f-4126-9724-0d6434117e2e,acct-ef6596cc-7e94-4caa-ae39-c2222d62de3a,2025-05-18,46.86246672455064,OnlineMart #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-2e009c41-d8cd-432f-8209-c0d94e0cffec,acct-0ee92bbe-932b-4cda-ad5a-895fe3fd55c3,2025-05-18,141.6586736914799,BeerBarn #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-01e15e36-41d0-4bb2-b5ef-c11f495ea110,acct-ef6596cc-7e94-4caa-ae39-c2222d62de3a,2025-05-24,135.92407975239837,FineDining LLC #2,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-d1fac773-9b5d-4e8c-a3d6-94e90336d7a1,acct-0ee92bbe-932b-4cda-ad5a-895fe3fd55c3,2025-05-24,147.66212779954196,LocalBakery #4,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-0fd1a055-1961-4273-8b2f-591f3cdfda31,acct-0ee92bbe-932b-4cda-ad5a-895fe3fd55c3,2025-05-24,62.02806746192717,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-dad90d39-b415-43f6-b506-5a457c8a9201,acct-0ee92bbe-932b-4cda-ad5a-895fe3fd55c3,2025-05-26,135.9592701859826,FineDining LLC #3,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-ef1f1b30-c59b-454d-82bf-44c8876a0ab1,acct-0ee92bbe-932b-4cda-ad5a-895fe3fd55c3,2025-05-28,139.6101668392338,ToyHouse #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-06dd62ba-68aa-43c2-ab6e-ee9c75df0dcb,acct-ef6596cc-7e94-4caa-ae39-c2222d62de3a,2025-05-28,76.71650690072532,FreshBites #1,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-6d4f6d6f-1545-4365-b09a-2ddaac3f5829,acct-ef6596cc-7e94-4caa-ae39-c2222d62de3a,2025-05-29,40.48047513396304,LocalBakery #4,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-bc88bbb9-eed9-4b96-a2c7-f9ccfd38b377,acct-0ee92bbe-932b-4cda-ad5a-895fe3fd55c3,2025-05-31,71.76801801222895,FreshBites #1,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-254baf8e-a03a-4f94-aafc-455d495c2a34,acct-0ee92bbe-932b-4cda-ad5a-895fe3fd55c3,2025-05-31,34.32358133716721,LocalBakery #4,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-644168aa-b611-4ca9-b61f-d358d31084fc,acct-0ee92bbe-932b-4cda-ad5a-895fe3fd55c3,2025-06-01,38.03566784712385,ToyHouse #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-1f514301-38c8-44a9-a423-08281aa97b25,acct-0ee92bbe-932b-4cda-ad5a-895fe3fd55c3,2025-06-03,133.00630404756518,FineDining LLC #2,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-e042b36a-5b96-4a0d-849d-8a1b0716b79e,acct-0ee92bbe-932b-4cda-ad5a-895fe3fd55c3,2025-06-05,-3694.297776014203,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-5aa0b9d2-0706-4c86-97b1-03ef3feaddcc,acct-ef6596cc-7e94-4caa-ae39-c2222d62de3a,2025-06-06,167.77952371551288,BookBarn #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
