transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-2bc66a8d-d4b0-4aab-9b30-f7d779b16254,acct-3c6d19f1-46fe-4f05-909d-d349ec661714,2025-05-08,-6282.476838941193,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-83201c3b-4f1b-4b21-a925-b491ae255f99,acct-3c6d19f1-46fe-4f05-909d-d349ec661714,2025-05-08,1955.1394881938124,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-94987e5c-fcfd-4dba-ae55-196e90b66417,acct-7b062256-5654-4af5-9688-c3d7c797b0c4,2025-05-12,139.71588585524898,HardwarePro #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-5805e16d-0941-419c-8340-37c8a630c5a9,acct-3c6d19f1-46fe-4f05-909d-d349ec661714,2025-05-15,-5254.6910601047675,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-c57a50f8-75df-4466-96b5-424c43fc9a08,acct-7b062256-5654-4af5-9688-c3d7c797b0c4,2025-05-19,188.6600203965324,BookBarn #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-92036d2d-1c53-40f2-9da1-4e2154e720dd,acct-3c6d19f1-46fe-4f05-909d-d349ec661714,2025-05-22,-7670.322817801341,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-e04f864c-18a9-4978-bb65-c1fcae4b32f8,acct-7b062256-5654-4af5-9688-c3d7c797b0c4,2025-05-24,52.56383362166425,HomeGoods Store #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-d39fb06b-c1d0-48e3-aa43-ae92fb687fde,acct-3c6d19f1-46fe-4f05-909d-d349ec661714,2025-05-28,-6927.704173071297,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-f1feaf38-8069-4bc3-b0d0-5da12fa051f6,acct-7b062256-5654-4af5-9688-c3d7c797b0c4,2025-05-29,72.67341490733254,BikeShop #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-455647fa-0671-4841-8f61-7ef73f9c5e48,acct-3c6d19f1-46fe-4f05-909d-d349ec661714,2025-06-03,75.74594568170869,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-99206702-1780-4e02-b128-9a5b3f588e14,acct-3c6d19f1-46fe-4f05-909d-d349ec661714,2025-06-06,-5726.080317252773,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-fe0f8a5e-a4ce-467a-9886-fe0fc6f52c17,acct-3c6d19f1-46fe-4f05-909d-d349ec661714,2025-06-07,1042.878438197395,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-5cb24937-5250-4ed6-aa3d-c6cd005048aa,acct-3c6d19f1-46fe-4f05-909d-d349ec661714,2025-06-17,1605.7792212004967,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-8064d471-337f-4c70-b954-f3b595a1a35c,acct-3c6d19f1-46fe-4f05-909d-d349ec661714,2025-06-24,-6992.844988947651,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-14d4222d-34e1-4004-a80e-e3d93eb8c2ab,acct-3c6d19f1-46fe-4f05-909d-d349ec661714,2025-06-24,60.08429276886497,BookBarn #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-d605a96a-d560-40a7-a487-1139c6a91286,acct-7b062256-5654-4af5-9688-c3d7c797b0c4,2025-06-26,157.54974386861795,OnlineMart #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-41bb729d-1291-4bb6-bef5-ea094f647e27,acct-3c6d19f1-46fe-4f05-909d-d349ec661714,2025-07-06,1281.0677405980764,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-ab61ca9b-1ad9-4f8a-ae39-49e9a084dad9,acct-3c6d19f1-46fe-4f05-909d-d349ec661714,2025-07-07,53.59393347475262,HardwarePro #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-10819608-990b-4632-92f7-b97cd4994799,acct-3c6d19f1-46fe-4f05-909d-d349ec661714,2025-07-08,1651.4758804151313,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-9973495c-0dc9-40fc-ba2d-01f3ac430577,acct-7b062256-5654-4af5-9688-c3d7c797b0c4,2025-07-12,99.47445671218814,ToyHouse #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
