transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-88072b32-f766-4c79-a4ae-e5b5db7203be,acct-ce1664a8-87ac-4947-b788-b9443cd9877b,2025-05-07,126.05578803603397,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-fb232006-74d8-463c-a74f-28226857cf63,acct-1ab8ce7e-fa5a-4fd8-97de-0f5a7261c5ed,2025-05-08,107.86740086277682,FreshBites #3,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-00f35a65-5403-4420-8281-8cce2d224394,acct-1ab8ce7e-fa5a-4fd8-97de-0f5a7261c5ed,2025-05-08,108.29504165662334,StarBite Cafe #3,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-9303d2af-c870-4432-80d1-6a32a04682ea,acct-ce1664a8-87ac-4947-b788-b9443cd9877b,2025-05-09,24.366471697911045,FreshBites #2,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-2ca77735-0674-4806-8c00-3298124725c9,acct-1ab8ce7e-fa5a-4fd8-97de-0f5a7261c5ed,2025-05-10,176.6661339230436,OfficeSupply Co #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-8338c3d8-a0a5-4c7a-bc6e-d835e2f00afd,acct-ce1664a8-87ac-4947-b788-b9443cd9877b,2025-05-10,127.329177154568,BeerBarn #4,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-8815493c-7b21-4deb-a78d-48e164ba40f7,acct-ce1664a8-87ac-4947-b788-b9443cd9877b,2025-05-10,110.89351880054426,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-e47a4d9a-5134-4be7-b7e6-c68bfee59d2b,acct-ce1664a8-87ac-4947-b788-b9443cd9877b,2025-05-13,162.94649039091306,FurnitureCo #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-b5f3e0d0-31ab-454d-bc2f-d8ed25e6a422,acct-ce1664a8-87ac-4947-b788-b9443cd9877b,2025-05-14,204.83149403197555,BookBarn #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-07c25841-5724-41a7-9a72-4ed92fb2dfe7,acct-ce1664a8-87ac-4947-b788-b9443cd9877b,2025-05-16,117.20519740580856,BikeShop #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-61acce35-62ec-4217-a6b5-c8fdaabd58c5,acct-ce1664a8-87ac-4947-b788-b9443cd9877b,2025-05-16,149.3557266413862,BeerBarn #4,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-4a68243e-2545-45aa-98bc-7b9649dde44a,acct-1ab8ce7e-fa5a-4fd8-97de-0f5a7261c5ed,2025-05-18,190.4541699464781,BikeShop #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-96410ebe-351f-4001-8e7f-0ccc96ba9b1a,acct-ce1664a8-87ac-4947-b788-b9443cd9877b,2025-05-18,128.9777656385458,LuxuryBoutique #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-f2619f7c-9beb-4250-b705-7906dd96b8aa,acct-1ab8ce7e-fa5a-4fd8-97de-0f5a7261c5ed,2025-05-18,147.32872209874392,FreshBites #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-b3ebfef9-c2b6-4e57-81d1-996361e8fa7b,acct-1ab8ce7e-fa5a-4fd8-97de-0f5a7261c5ed,2025-05-18,55.65701148873805,FineDining LLC #1,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-cf7040bb-aea6-44c6-a86f-0b3372eeaf1d,acct-ce1664a8-87ac-4947-b788-b9443cd9877b,2025-05-19,284.05047344634255,ElectroHub #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-598f77e5-af05-4e10-9b83-5fc50a929172,acct-ce1664a8-87ac-4947-b788-b9443cd9877b,2025-05-19,78.8785609066421,BeerBarn #2,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-a1431dbb-1a5a-4df2-929d-b92b8069e2d6,acct-1ab8ce7e-fa5a-4fd8-97de-0f5a7261c5ed,2025-05-21,44.91253336199069,HardwarePro #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
