transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-17cb5d34-7695-41b8-a04f-ef21e473806e,acct-52d22cab-042f-4505-abf4-8e5a8c8a8c06,2025-05-07,140.8912277412268,BikeShop #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-331f4487-fe54-4b2b-abbe-799dc1be0693,acct-ba67f1b2-b833-4889-8caa-c0ba1d6d6195,2025-05-07,29.220742536391093,RideShareCo #2,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-e1250a3f-7a2a-4e33-b9bd-0defc3623256,acct-52d22cab-042f-4505-abf4-8e5a8c8a8c06,2025-05-08,36.06301637922206,StreamingMusic #2,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-ebe510a2-77df-4e2e-9cfb-047bc77cfa46,acct-52d22cab-042f-4505-abf4-8e5a8c8a8c06,2025-05-09,14.483662444458961,HomeGoods Store #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-d2a14478-bebb-4119-95bc-131e366c1d3d,acct-52d22cab-042f-4505-abf4-8e5a8c8a8c06,2025-05-09,27.46926169749663,RideShareCo #2,,online,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-b0e2d2cc-e02f-4125-a864-05da25e5fb16,acct-ba67f1b2-b833-4889-8caa-c0ba1d6d6195,2025-05-11,88.89630754801364,CityTransit #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-576e904a-abf0-4cb9-84ee-730fe29d3cd9,acct-ba67f1b2-b833-4889-8caa-c0ba1d6d6195,2025-05-12,198.36189999800877,BookBarn #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-8374c056-c635-4da0-9381-014d8c1800d6,acct-52d22cab-042f-4505-abf4-8e5a8c8a8c06,2025-05-13,-6834.311114676475,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-74b41eee-70bf-4e23-871f-3311ae5f052e,acct-ba67f1b2-b833-4889-8caa-c0ba1d6d6195,2025-05-14,79.17461619772311,MovieRentals #1,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/On-demand Rentals'}",False,USD
txn-c7534dce-b363-480f-8731-af6760a9da68,acct-ba67f1b2-b833-4889-8caa-c0ba1d6d6195,2025-05-15,183.33352481943768,SubscriptionBox #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-7f1f87fa-79b9-493c-8a85-a39c4359be81,acct-ba67f1b2-b833-4889-8caa-c0ba1d6d6195,2025-05-16,422.02775362657695,HardwarePro #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-6841f425-abe5-4935-90c4-6710a833e151,acct-52d22cab-042f-4505-abf4-8e5a8c8a8c06,2025-05-18,52.403516919574685,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-c6a81656-aa42-4787-89ec-9a32d8c60292,acct-52d22cab-042f-4505-abf4-8e5a8c8a8c06,2025-05-19,24.895903907540482,CityTransit #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-abcc450f-ac1c-4a90-a100-4dfa28def250,acct-ba67f1b2-b833-4889-8caa-c0ba1d6d6195,2025-05-21,192.9094030687334,MovieRentals #3,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/On-demand Rentals'}",False,USD
txn-2b1a2765-27cf-4423-8f73-028ac66e50d1,acct-ba67f1b2-b833-4889-8caa-c0ba1d6d6195,2025-05-21,55.015765781930135,RideShareCo #2,,other,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-0b0d8011-c365-4865-ac87-e0c397862f53,acct-ba67f1b2-b833-4889-8caa-c0ba1d6d6195,2025-05-22,62.414607349665204,RideShareCo #1,,other,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-61430e53-13ff-4dbc-8dd8-25978b7bd407,acct-ba67f1b2-b833-4889-8caa-c0ba1d6d6195,2025-05-23,35.71849270721549,CloudStorage #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Cloud Services'}",False,USD
txn-99d2f7b2-ee62-44e6-b1e9-fc8905e8a41a,acct-ba67f1b2-b833-4889-8caa-c0ba1d6d6195,2025-05-24,310.9295872621959,DiscountOutlets #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-090132ca-8ffb-46db-8c3a-c87101dcb629,acct-52d22cab-042f-4505-abf4-8e5a8c8a8c06,2025-05-24,308.2471998193736,ToyHouse #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-c0c190b0-6a20-442e-a8dc-210ded39164f,acct-ba67f1b2-b833-4889-8caa-c0ba1d6d6195,2025-05-24,59.978479438681966,ParkingLot Inc #2,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-7ac9a13c-6220-4ca7-821c-2537683f7831,acct-ba67f1b2-b833-4889-8caa-c0ba1d6d6195,2025-05-25,50.54272333520751,QuickFuel #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
