transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-4ed474f5-af0e-4881-9ec6-4b5f28bdeac1,acct-321b12ee-7df1-4970-acbd-9c3e716a6c2d,2025-05-08,241.84320937089498,SubscriptionBox #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-44e67425-2f8e-40cd-95f0-22de543a6b89,acct-321b12ee-7df1-4970-acbd-9c3e716a6c2d,2025-05-08,102.37388727079565,StarBite Cafe #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-229d72e1-4535-4b18-b5fe-91e54e37e654,acct-321b12ee-7df1-4970-acbd-9c3e716a6c2d,2025-05-10,180.83958012008048,LuxuryBoutique #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-0dbddf33-797c-4abe-9186-19f69b3e9e09,acct-321b12ee-7df1-4970-acbd-9c3e716a6c2d,2025-05-11,149.0262468432594,HomeGoods Store #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-3a34e8ac-4319-47c7-86cc-16d7a89eebc7,acct-d03935e0-6fab-472a-b303-8ed6696a3ad4,2025-05-12,159.86423661743197,PetWorld #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-20cee044-be9b-4175-ab72-3330d4a49767,acct-321b12ee-7df1-4970-acbd-9c3e716a6c2d,2025-05-12,34.07083064326256,LocalBakery #4,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-30c8f76e-fba1-4973-a1af-fc216b5985de,acct-321b12ee-7df1-4970-acbd-9c3e716a6c2d,2025-05-13,93.13209137834829,HomeGoods Store #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-32630963-9310-46ca-8822-06e62acd7a22,acct-321b12ee-7df1-4970-acbd-9c3e716a6c2d,2025-05-17,32.034738331574,CraftsOnline #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-80e22dfb-5466-4a36-ae86-d911fab36765,acct-d03935e0-6fab-472a-b303-8ed6696a3ad4,2025-05-17,34.940814719106314,FineDining LLC #3,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-092795e3-9c04-4d91-9c68-bb5ac51eef79,acct-d03935e0-6fab-472a-b303-8ed6696a3ad4,2025-05-17,199.79109915121745,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-0acde2e3-2766-44a2-bcb3-f2c3a52332c8,acct-d03935e0-6fab-472a-b303-8ed6696a3ad4,2025-05-18,148.2935043567885,GardenCenter #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-adebbcd7-e39e-420b-9294-4c3e48c79853,acct-d03935e0-6fab-472a-b303-8ed6696a3ad4,2025-05-18,-3923.917812018889,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-017b1fcd-818b-4bf7-a21e-d45c32dc06cf,acct-d03935e0-6fab-472a-b303-8ed6696a3ad4,2025-05-20,22.997236739973605,FreshBites #4,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-19eaab58-380b-4f0a-9676-e30b5cabdb55,acct-d03935e0-6fab-472a-b303-8ed6696a3ad4,2025-05-23,11.495942725423788,StarBite Cafe #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-d236e6a0-15fc-4d70-bb33-1998146882e4,acct-d03935e0-6fab-472a-b303-8ed6696a3ad4,2025-05-24,71.75845856678643,CraftsOnline #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-980b050a-32fb-4a0c-978b-983435177b61,acct-321b12ee-7df1-4970-acbd-9c3e716a6c2d,2025-05-25,40.6492317707959,FineDining LLC #3,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
