transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-274b168e-b3c2-4d2f-9fdc-5e54365bac7b,acct-aef5f2f8-bb57-424d-98f1-3a21c9e04a20,2025-05-07,304.0882609195032,PayUtilities #4,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-02b6a957-0071-41a4-9313-c3bc44e4dba6,acct-aef5f2f8-bb57-424d-98f1-3a21c9e04a20,2025-05-07,258.2791940426216,PayUtilities #2,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-7203909e-b246-4ece-b113-793f8e2ac051,acct-355694db-d31c-4452-b62d-9cda165ba3b0,2025-05-07,101.15330081697647,MobileCarrier #4,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-8dc5025e-2c6a-4047-92c7-f7a6ffbadce0,acct-355694db-d31c-4452-b62d-9cda165ba3b0,2025-05-09,304.5822919251044,PayUtilities #3,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-d73166a7-9fb4-428b-8877-45da969a1df8,acct-aef5f2f8-bb57-424d-98f1-3a21c9e04a20,2025-05-10,-1984.758800199211,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-0b324764-1990-41cf-b26c-8a2042f75bf0,acct-aef5f2f8-bb57-424d-98f1-3a21c9e04a20,2025-05-11,132.21372528337662,CityTransit #2,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-18b5bd07-b5f6-4039-b81a-dba065d69a86,acct-aef5f2f8-bb57-424d-98f1-3a21c9e04a20,2025-05-14,28.487785701304162,CityTransit #4,,other,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-7930f725-d3a2-465f-99d8-b38d145759b1,acct-aef5f2f8-bb57-424d-98f1-3a21c9e04a20,2025-05-14,140.70545313836232,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-3eb5cdd9-f284-44ce-90d5-af67a5690060,acct-355694db-d31c-4452-b62d-9cda165ba3b0,2025-05-18,23.586161412655617,ParkingLot Inc #3,,online,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-0afa95d6-b9e9-479e-865d-4e8c715a6a12,acct-355694db-d31c-4452-b62d-9cda165ba3b0,2025-05-19,120.58109918625027,CityTransit #4,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
