transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-f0ac76d8-d5f2-431a-9f1c-476381dd5637,acct-34ab8239-99b0-4eae-a9a6-abaa67cb05d0,2025-05-12,581.4524138593165,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-1d0243b1-26f7-49c7-a401-958c50392358,acct-34ab8239-99b0-4eae-a9a6-abaa67cb05d0,2025-05-27,-5184.799197603999,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-49601a15-7032-4d31-a76b-11fb8df13161,acct-34ab8239-99b0-4eae-a9a6-abaa67cb05d0,2025-06-01,-5685.917697830806,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-7c87e23c-afd8-49ee-a274-9d098e316712,acct-e9e3fd23-6535-40c7-b9d0-91c1e0945331,2025-06-10,19.675505814635525,StreamFlix #2,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-964f5116-6910-419c-9921-3da728f3fd78,acct-34ab8239-99b0-4eae-a9a6-abaa67cb05d0,2025-06-11,18.171737020986253,StreamFlix #2,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-8bd58baa-2dda-442b-a584-b4509d12bd9c,acct-e9e3fd23-6535-40c7-b9d0-91c1e0945331,2025-06-11,26.284098526341218,StreamFlix #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-10f5da60-9bd2-44aa-889b-c68b3fb52b9b,acct-34ab8239-99b0-4eae-a9a6-abaa67cb05d0,2025-06-15,-5426.739323849756,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-f8e8aac4-45f6-44bc-9fea-c285b1cb94ae,acct-e9e3fd23-6535-40c7-b9d0-91c1e0945331,2025-06-23,25.372626824771874,StreamingMusic #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-b2d5a36a-03af-41ce-ac5e-eeec389946a1,acct-e9e3fd23-6535-40c7-b9d0-91c1e0945331,2025-07-05,15.249640663147805,StreamFlix #3,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-ef413fe7-35fa-4fe6-a51c-e4d7e590d3de,acct-34ab8239-99b0-4eae-a9a6-abaa67cb05d0,2025-07-13,-5362.196438043264,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-b3984ae5-7821-47e2-bd85-fe46fe3c642c,acct-34ab8239-99b0-4eae-a9a6-abaa67cb05d0,2025-07-28,1495.917093611081,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-11c4a8bb-ca16-4892-9970-d150cf371005,acct-34ab8239-99b0-4eae-a9a6-abaa67cb05d0,2025-07-31,21.17878400300107,StreamingMusic #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-0163a3d4-54b4-4732-b547-49ae7a06fa18,acct-34ab8239-99b0-4eae-a9a6-abaa67cb05d0,2025-08-11,14.78306856245734,StreamFlix #3,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
