transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-ee0d76a5-0938-4f11-be58-e027a85657cc,acct-f275c7a3-35ce-47fd-b2d2-380990ddd7f0,2025-05-08,170.10581797381076,OnlineMart #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-2e758683-aa8c-427c-9dfd-8e5d624ce6dd,acct-e2b1b2fe-3640-45cf-8c08-b12ac819d974,2025-05-09,-6635.127158720987,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-fa93f799-ada1-4e31-be7d-b27fb62392f5,acct-e2b1b2fe-3640-45cf-8c08-b12ac819d974,2025-05-13,575.7865482328796,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-659dfd81-6a11-41fd-bb7d-ed25fb110dc1,acct-f275c7a3-35ce-47fd-b2d2-380990ddd7f0,2025-05-13,163.42918717601162,GardenCenter #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-41c58749-7de7-418e-a38f-52cac99dd16e,acct-e2b1b2fe-3640-45cf-8c08-b12ac819d974,2025-05-21,-6704.579749988857,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-da40498b-4852-44e9-a74c-3a910b210f0f,acct-e2b1b2fe-3640-45cf-8c08-b12ac819d974,2025-05-23,72.99556330439971,ToyHouse #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-5f658fb6-ea76-4777-b0fe-d54232124ab5,acct-f275c7a3-35ce-47fd-b2d2-380990ddd7f0,2025-05-24,73.98115048411545,HardwarePro #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-5bb35043-0b02-4176-95c5-e8aede0d9ce4,acct-f275c7a3-35ce-47fd-b2d2-380990ddd7f0,2025-05-27,195.11391724733963,FurnitureCo #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-6eaecb7a-7057-4dcd-b758-0950d327c102,acct-e2b1b2fe-3640-45cf-8c08-b12ac819d974,2025-05-29,110.69770809973886,FurnitureCo #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-5175abba-4f2e-4dc9-93e3-a0dcbb6b767a,acct-e2b1b2fe-3640-45cf-8c08-b12ac819d974,2025-06-02,-7030.290225526777,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-22353f02-26e7-4007-842b-92a7e434b952,acct-e2b1b2fe-3640-45cf-8c08-b12ac819d974,2025-06-02,113.08199426096829,SubscriptionBox #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-f88c36f9-a9f9-4542-8f4c-47059e4d647e,acct-f275c7a3-35ce-47fd-b2d2-380990ddd7f0,2025-06-03,172.72793778498124,CraftsOnline #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-9829e16b-9e65-485e-827b-f57d2996fff9,acct-e2b1b2fe-3640-45cf-8c08-b12ac819d974,2025-06-08,63.15952641691474,PetWorld #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-b5be5741-746d-45b9-a1dc-1edc2da94783,acct-f275c7a3-35ce-47fd-b2d2-380990ddd7f0,2025-06-09,178.06542049164702,BikeShop #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-c564aec9-f602-4e49-9527-f6467f962553,acct-e2b1b2fe-3640-45cf-8c08-b12ac819d974,2025-06-15,176.2058191799651,BikeShop #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-f100c6e9-eac2-4434-818b-fabfa9a50193,acct-f275c7a3-35ce-47fd-b2d2-380990ddd7f0,2025-06-17,105.02767332969852,HomeGoods Store #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-e40762ed-e910-41ee-a06d-6c45bdbbaef1,acct-e2b1b2fe-3640-45cf-8c08-b12ac819d974,2025-06-22,58.87823049812897,OnlineMart #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-0b32b198-3550-48a8-8f7a-3b544638ef05,acct-e2b1b2fe-3640-45cf-8c08-b12ac819d974,2025-06-24,1869.4113428625137,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-b32974fd-27d4-423e-8a67-70e2fa1ce99b,acct-e2b1b2fe-3640-45cf-8c08-b12ac819d974,2025-06-25,90.73275541557561,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-33f7bcdf-2b16-482f-9a68-86be8b890cf6,acct-e2b1b2fe-3640-45cf-8c08-b12ac819d974,2025-06-26,185.4900896746641,BookBarn #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-17d7be27-a71b-4fa2-9897-dbf3b4bd2af2,acct-e2b1b2fe-3640-45cf-8c08-b12ac819d974,2025-06-27,161.70882940337503,eBookStore #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-9640ca6c-60db-46fb-8d05-63e32fe8d405,acct-f275c7a3-35ce-47fd-b2d2-380990ddd7f0,2025-06-30,89.03465659366105,SubscriptionBox #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
