transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-71e533cf-48b0-4c46-bf1e-64a69dde8630,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-05-09,55.464786164790794,CraftsOnline #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-5b80e736-116c-4f48-ba0e-210fa2399524,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-05-09,107.20403944719641,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-e984a042-4090-4c81-be1c-525178e66c73,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-05-09,456.3542554475329,Student Loan Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-ecff9ba2-4562-431c-aaf4-0eaa4958b518,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-05-14,-5138.713278789017,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-09bab77f-9e83-4330-81e0-362b3519d401,acct-8b1e1bd7-8dd9-4518-9931-b904ee395c59,2025-05-14,64.15344360322439,CityTransit #3,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-9e1bf35a-a562-40fd-b6e3-db65cecd5c7c,acct-8b1e1bd7-8dd9-4518-9931-b904ee395c59,2025-05-17,104.66431367859094,MovieRentals #3,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/On-demand Rentals'}",False,USD
txn-7e42592b-c1c7-49f1-bfca-7fe124fcf83a,acct-8b1e1bd7-8dd9-4518-9931-b904ee395c59,2025-05-18,24.148422450044826,RideShareCo #3,,other,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-93421836-0054-4d8f-a4ee-5326f93871ac,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-05-19,303.80787054987286,HomeGoods Store #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-1dc5d7dd-2ef4-4428-9b80-6699cafe4963,acct-8b1e1bd7-8dd9-4518-9931-b904ee395c59,2025-05-20,188.85312105099462,PetWorld #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-2cf36b6d-a58c-459b-b882-b3f08eb2a882,acct-8b1e1bd7-8dd9-4518-9931-b904ee395c59,2025-05-20,254.92467964782836,BookBarn #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-b03a8890-e0be-4477-8e80-2353aa8c5ef7,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-05-22,344.94333321977115,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-fb820b8c-a3d9-4931-bcab-cb6dba534392,acct-8b1e1bd7-8dd9-4518-9931-b904ee395c59,2025-05-23,493.64737267650526,ToyHouse #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-0a5fb92a-6722-405b-a3aa-cc42fa869254,acct-8b1e1bd7-8dd9-4518-9931-b904ee395c59,2025-05-23,79.3005964358019,CityTransit #2,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-1fd54627-7e53-4a44-9bb7-f2fe3b7db845,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-05-24,42.72377546014231,ConcertHall #2,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Live Events'}",False,USD
txn-72d5784e-a6b1-44cb-b6c5-cb3001a95685,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-05-25,-6895.266077267352,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-9eb6efc9-19a6-41c5-82f3-64ec87701e55,acct-8b1e1bd7-8dd9-4518-9931-b904ee395c59,2025-05-27,205.55415892237292,eBookStore #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-b5a89ad4-50ff-4a82-80cb-e1bca64288bc,acct-8b1e1bd7-8dd9-4518-9931-b904ee395c59,2025-05-27,8.520440031409981,CityTransit #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-4fefa1e5-d361-401a-8947-aeee79c2358c,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-05-28,888.2264156602516,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-2bec778d-d073-4f42-a229-26933af755f5,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-05-30,114.08059469857662,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-fe7f852c-0f0f-4e75-a3e1-4d58fd0d9e55,acct-8b1e1bd7-8dd9-4518-9931-b904ee395c59,2025-05-31,172.44679178317708,MovieRentals #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/On-demand Rentals'}",False,USD
txn-0bab1df8-5d86-4aed-a27f-5356a07189da,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-06-01,28.68409973183472,QuickFuel #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-c526f7b8-733e-4f1e-8dbc-6158de82f5eb,acct-8b1e1bd7-8dd9-4518-9931-b904ee395c59,2025-06-04,50.19152895925274,ParkingLot Inc #3,,online,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-7a6d2c8f-7fcd-4afa-99fb-3a9eafa6314d,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-06-05,324.4954279198994,CraftsOnline #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-0755259b-6060-4b54-a552-14e9592354e1,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-06-07,264.6635759110035,DiscountOutlets #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-00b409f5-9be2-4cf3-93dc-f8d8c56570d5,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-06-07,133.56774994473983,MovieRentals #2,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/On-demand Rentals'}",False,USD
txn-1b701e77-fa17-42ad-8942-1836c03b3ed7,acct-8b1e1bd7-8dd9-4518-9931-b904ee395c59,2025-06-07,122.23598654088433,CinemaWorld #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Movie Theaters'}",False,USD
txn-18a73c74-cfca-4f00-9bd7-e80adc958db6,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-06-08,179.49463074635855,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-4a5a7cad-6849-4ded-ae97-4e5ab435d7db,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-06-12,10.639057053051962,ParkingLot Inc #4,,online,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-71ca9eea-7c73-40b9-b2fe-6fececa6b445,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-06-12,60.42891514059733,RideShareCo #4,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-5e931fd4-022c-4d82-a7cc-e15114bfda8c,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-06-13,210.60430503332793,DiscountOutlets #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-6d3ae572-721d-4fcc-b9a2-cd93fb731147,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-06-13,83.79595793049307,StreamingMusic #3,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-c997e209-9f3b-45bb-b76c-d802aae0782d,acct-8b1e1bd7-8dd9-4518-9931-b904ee395c59,2025-06-15,189.11970875381795,OfficeSupply Co #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-9a435199-7538-4ccf-80b4-f10fce901d82,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-06-15,6.034325974973523,ParkingLot Inc #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-e1542f04-937f-4404-81f1-e4d5739e2a1e,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-06-16,280.959288321892,HardwarePro #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-ce2fcdb2-4e10-4855-a067-0ba786cd156b,acct-8b1e1bd7-8dd9-4518-9931-b904ee395c59,2025-06-18,128.51060378700163,CraftsOnline #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-12e585e2-6333-44b9-9bf7-bdde9a43da4c,acct-8b1e1bd7-8dd9-4518-9931-b904ee395c59,2025-06-18,99.98983106209369,CityTransit #4,,other,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-59aa8a3e-a9a1-4610-bc05-dfbfb5891214,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-06-20,221.1986962408016,BookBarn #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-160be103-4225-4ee6-b04e-be9e6bcfe02e,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-06-21,379.25011732556334,Student Loan Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-70dc8e68-df14-43ca-8c65-4bc001359131,acct-8b1e1bd7-8dd9-4518-9931-b904ee395c59,2025-06-22,70.91188263268114,BikeShop #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-10e98f0d-3481-4ef0-b0ac-b85b6d19ceeb,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-06-24,77.52475014904758,ParkingLot Inc #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-0521fb3f-47ff-4f41-91d9-ca43bec1155b,acct-8b1e1bd7-8dd9-4518-9931-b904ee395c59,2025-06-28,141.66426224055223,BookBarn #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-b2c18a49-0c3d-4570-8f52-6aad69ca730f,acct-8b1e1bd7-8dd9-4518-9931-b904ee395c59,2025-06-30,41.33962113125058,BikeShop #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-c5c598ec-5a8b-4160-86d0-b4fe4051e3ee,acct-8b1e1bd7-8dd9-4518-9931-b904ee395c59,2025-07-02,48.93503225964345,CityTransit #4,,other,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-0fd47ab4-a4e7-4993-96d5-f2879af3c17c,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-07-04,330.9160766487957,ElectroHub #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-eb7e19d5-06b2-41b9-b4ea-08140a0b08bf,acct-8b1e1bd7-8dd9-4518-9931-b904ee395c59,2025-07-05,97.38279202513517,CloudStorage #2,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Cloud Services'}",False,USD
txn-12509c0b-8c54-4836-8133-80cc9a9c58c9,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-07-05,58.84090831958689,StreamingMusic #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-65ed4921-f390-46c9-81a4-3d01be62b321,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-07-05,81.44364300837647,CityTransit #3,,other,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-519073f4-d860-4bc6-9746-8e9d14a36a75,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-07-08,-4277.954224001189,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-f233865c-041c-48e2-9da9-1025462f5ec8,acct-8b1e1bd7-8dd9-4518-9931-b904ee395c59,2025-07-10,25.922122210206773,RideShareCo #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-8f44a259-ab9e-40c0-b6c4-601a55d3d1a8,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-07-10,162.21902571352433,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-ab4d4d69-0c83-4772-963a-b16edb96bfb5,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-07-16,111.09523825958942,BookBarn #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-72bf629c-8f76-4d51-956c-f2875aad7769,acct-a06b69e3-dda9-45a2-b306-235460daa2de,2025-07-17,92.84077683013595,QuickFuel #1,,other,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
