transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-4e082091-87dd-4551-a0ab-cccc0e7f3ab8,acct-bccfadd3-edbb-417a-9877-03b1497f735e,2025-05-07,83.764842885958,ParkingLot Inc #4,,online,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-2c2b22cd-9f93-4476-b792-04b9601889a1,acct-bccfadd3-edbb-417a-9877-03b1497f735e,2025-05-08,23.422182521555243,CityTransit #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-63886380-d61d-4ef0-9803-97d56bf9c9b0,acct-bccfadd3-edbb-417a-9877-03b1497f735e,2025-05-08,106.52488188226903,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-cacb0473-217b-48ab-a7a7-a15ab35bfec5,acct-f0b05500-9c02-471f-a9f3-64bb4dcb3949,2025-05-10,278.2361196747206,CraftsOnline #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-b2006a2b-d611-43f1-a393-4153175a3aef,acct-f0b05500-9c02-471f-a9f3-64bb4dcb3949,2025-05-10,24.591745882461627,ParkingLot Inc #1,,other,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-377e318e-f9d2-408c-8536-78cc0893159c,acct-bccfadd3-edbb-417a-9877-03b1497f735e,2025-05-11,-5186.969513850204,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-fcf3b5cd-3bcc-492c-a6ca-fadb4f8949a9,acct-f0b05500-9c02-471f-a9f3-64bb4dcb3949,2025-05-11,92.6137783420305,RideShareCo #2,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-d3857fc7-7cce-43c1-8043-b2501811546d,acct-bccfadd3-edbb-417a-9877-03b1497f735e,2025-05-13,54.589766700405306,FurnitureCo #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-66b912d2-cf5d-4e3d-8a9b-763a7136da84,acct-bccfadd3-edbb-417a-9877-03b1497f735e,2025-05-13,56.14245678952715,QuickFuel #2,,other,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-0e8fd3c9-c26e-4899-9896-b1bd1d084af4,acct-f0b05500-9c02-471f-a9f3-64bb4dcb3949,2025-05-13,24.403319367655396,QuickFuel #4,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-9d13042a-6552-44f8-916f-8e654333328a,acct-f0b05500-9c02-471f-a9f3-64bb4dcb3949,2025-05-13,55.635894767983736,QuickFuel #1,,other,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-3f2e393f-3cf9-4b4d-9566-1e5c2cd21a8c,acct-bccfadd3-edbb-417a-9877-03b1497f735e,2025-05-14,141.91009229208146,StreamingMusic #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
