transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-8c7f8993-b793-4aed-9fcd-85719cb5b5d7,acct-9eb2b8c5-90b7-45d5-8534-dbc25130134f,2025-05-08,368.27036374080495,OfficeSupply Co #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-dbdbaded-bfd4-4958-98bd-b90335ca2311,acct-fe3b33e4-b3f0-4c87-b9a8-77d2fbf0e372,2025-05-08,166.91791925742032,MovieRentals #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/On-demand Rentals'}",False,USD
txn-aedeab7a-a122-4a20-b5bb-57126c039c59,acct-9eb2b8c5-90b7-45d5-8534-dbc25130134f,2025-05-09,-5676.786417298974,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-661a4523-56fa-4950-8c0a-5d46b9e9b1fd,acct-9eb2b8c5-90b7-45d5-8534-dbc25130134f,2025-05-09,92.6597359371638,MovieRentals #1,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/On-demand Rentals'}",False,USD
txn-fdbdd9ff-5310-4a2a-8e03-206d18d7d634,acct-9eb2b8c5-90b7-45d5-8534-dbc25130134f,2025-05-09,89.65767383443355,RideShareCo #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-67d3ad7e-8343-41d1-9b6f-58fc9342ad8d,acct-fe3b33e4-b3f0-4c87-b9a8-77d2fbf0e372,2025-05-10,79.64704731206122,QuickFuel #3,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-46a6951c-5746-40ed-b198-29885ce34362,acct-fe3b33e4-b3f0-4c87-b9a8-77d2fbf0e372,2025-05-11,142.8410311647475,LuxuryBoutique #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-788a3783-77da-46b0-bd9e-a557a6379dc0,acct-fe3b33e4-b3f0-4c87-b9a8-77d2fbf0e372,2025-05-13,94.60265885784322,CityTransit #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-4f459035-6510-4594-89a9-6b044ec67862,acct-9eb2b8c5-90b7-45d5-8534-dbc25130134f,2025-05-14,256.1829049152116,OfficeSupply Co #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-e85641af-8b44-4fa5-8b3c-f58c495dd8b7,acct-9eb2b8c5-90b7-45d5-8534-dbc25130134f,2025-05-16,151.00690937261288,CloudStorage #3,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Cloud Services'}",False,USD
