transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-4e30c0a3-d9ad-4ce9-947a-ea691daabba3,acct-33c290de-d4cb-42b7-b063-c30f9dc9ce62,2025-05-07,833.6985150421774,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-1172835f-dba1-4252-9bdc-f108525f28b7,acct-a7613dde-787b-4767-a6df-a964d66e8012,2025-05-11,124.02470505378163,HardwarePro #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-1bab11aa-6fea-4898-8800-15cc534274a7,acct-33c290de-d4cb-42b7-b063-c30f9dc9ce62,2025-05-13,130.2373425752208,BookBarn #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-36c52f4b-564d-4525-b7f5-f402fc940f57,acct-a7613dde-787b-4767-a6df-a964d66e8012,2025-05-20,57.61034487633408,ElectroHub #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-34c9706b-0417-4d0d-a724-d35020c7701a,acct-33c290de-d4cb-42b7-b063-c30f9dc9ce62,2025-05-21,135.2308814050972,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-d333f289-ce4f-4917-8343-031add084bc0,acct-a7613dde-787b-4767-a6df-a964d66e8012,2025-05-25,185.04979646588654,DiscountOutlets #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-496c3045-5d8e-4bae-9ef9-7ff32aea7119,acct-33c290de-d4cb-42b7-b063-c30f9dc9ce62,2025-05-25,189.00585996707736,BookBarn #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-ad96edf6-1993-43f8-b657-e2d0e172d8eb,acct-a7613dde-787b-4767-a6df-a964d66e8012,2025-05-27,52.46702360202957,HardwarePro #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-07a96c74-c0c3-40c9-be49-8e10fe6ad46b,acct-a7613dde-787b-4767-a6df-a964d66e8012,2025-05-30,186.19204666105261,BikeShop #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-5ddd1f01-cace-4dbd-89d3-eced13916b5f,acct-a7613dde-787b-4767-a6df-a964d66e8012,2025-05-31,181.6654738040389,BikeShop #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-bd18fb77-b6f9-4d78-a7a0-37b039d50e36,acct-a7613dde-787b-4767-a6df-a964d66e8012,2025-06-03,137.60712243338247,OnlineMart #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-c7136c29-c10c-4b5b-a0df-e10433ce8529,acct-33c290de-d4cb-42b7-b063-c30f9dc9ce62,2025-06-04,73.53353897568014,LuxuryBoutique #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-e065e8c9-8fba-483a-a4e2-437f486cd9cb,acct-33c290de-d4cb-42b7-b063-c30f9dc9ce62,2025-06-06,67.72467543224923,GardenCenter #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-db7eb4b1-1c78-4622-9348-ac9522f60ec9,acct-33c290de-d4cb-42b7-b063-c30f9dc9ce62,2025-06-06,99.7295747517541,FurnitureCo #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-0f008e4b-462d-4291-8491-1246ab741451,acct-33c290de-d4cb-42b7-b063-c30f9dc9ce62,2025-06-07,1397.4956150671424,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-173ca27f-122e-499c-9901-c85e1d661a47,acct-33c290de-d4cb-42b7-b063-c30f9dc9ce62,2025-06-15,1114.4723077389904,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-74e695e0-c292-4603-a67c-194c060089f7,acct-33c290de-d4cb-42b7-b063-c30f9dc9ce62,2025-06-19,-5559.028278678664,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-738c4d42-8b98-4801-a0a0-353d1b4bc833,acct-a7613dde-787b-4767-a6df-a964d66e8012,2025-06-20,59.47892132435029,GardenCenter #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-dfb051ea-deed-4841-8dbc-d6548d8457dc,acct-33c290de-d4cb-42b7-b063-c30f9dc9ce62,2025-06-22,50.45695353420262,BikeShop #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-6000551e-43c9-49cb-a0d3-3fdf40a860b6,acct-33c290de-d4cb-42b7-b063-c30f9dc9ce62,2025-06-26,-5858.394440170086,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-752cb92f-6c1c-42d9-a10c-0a916c9207c7,acct-33c290de-d4cb-42b7-b063-c30f9dc9ce62,2025-06-28,127.779212619688,FurnitureCo #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-3d474ae5-5288-44ca-959e-b70437f1d087,acct-33c290de-d4cb-42b7-b063-c30f9dc9ce62,2025-06-30,197.40807395181267,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-66a8773b-fca4-469a-9eab-8807112ffc0c,acct-33c290de-d4cb-42b7-b063-c30f9dc9ce62,2025-07-04,59.71214631168831,FurnitureCo #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-e8322ce7-e5df-4785-86c8-263071c4c8a6,acct-a7613dde-787b-4767-a6df-a964d66e8012,2025-07-04,103.96343308912346,GardenCenter #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-5bb7cd27-ba37-4f94-9c49-fd27727c14c3,acct-a7613dde-787b-4767-a6df-a964d66e8012,2025-07-07,139.14663289322897,SubscriptionBox #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-7e81dcb0-8c68-4ed4-a3c0-fba5fedefb26,acct-33c290de-d4cb-42b7-b063-c30f9dc9ce62,2025-07-08,82.00211053820087,BookBarn #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-4ac51d00-75b8-40ac-aa34-6ee8b511a242,acct-a7613dde-787b-4767-a6df-a964d66e8012,2025-07-09,189.86820466409512,BookBarn #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-96717586-ad4a-4b8f-9cf8-2b43116f9450,acct-a7613dde-787b-4767-a6df-a964d66e8012,2025-07-11,111.89379319312076,CraftsOnline #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
