transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-c8b2ec84-3417-4dc9-b467-ce8f173d2189,acct-5cd8aa3c-886a-4bed-822c-00bfee9ec522,2025-05-08,33.92552172489982,FurnitureCo #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-b64d761c-6533-4640-9ab9-82dab7662368,acct-5cd8aa3c-886a-4bed-822c-00bfee9ec522,2025-05-10,-4508.168698619641,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-4d5e8bbf-e632-4dba-bc5b-532f9af0d657,acct-5cd8aa3c-886a-4bed-822c-00bfee9ec522,2025-05-10,-3481.0986577359376,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-2be5a2a7-dcd6-4a14-a3aa-3e7b706407f0,acct-18fc605e-7760-4f4b-877b-c56d124124e0,2025-05-12,185.18827921590065,GardenCenter #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-34fcb798-01b0-4ffd-97ff-65898398b561,acct-18fc605e-7760-4f4b-877b-c56d124124e0,2025-05-12,180.7824510995302,ElectroHub #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-f823b45d-782f-49ab-a7c7-3d21d016a64b,acct-18fc605e-7760-4f4b-877b-c56d124124e0,2025-05-14,251.22815407216902,DiscountOutlets #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-c828ee01-1ddf-4c8a-97bd-00f0c3cf9096,acct-5cd8aa3c-886a-4bed-822c-00bfee9ec522,2025-05-14,129.43836597261264,LocalBakery #2,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-3ca9c653-c86e-41c5-96ab-5fcab1af0e71,acct-5cd8aa3c-886a-4bed-822c-00bfee9ec522,2025-05-15,187.51087645203737,HomeGoods Store #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-370a4c9d-9129-4307-938f-301ccadc8ca6,acct-5cd8aa3c-886a-4bed-822c-00bfee9ec522,2025-05-19,27.594664471547784,OfficeSupply Co #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-b394e355-e19d-4463-912c-f0b6db7fdfa7,acct-18fc605e-7760-4f4b-877b-c56d124124e0,2025-05-19,115.69800767688291,StarBite Cafe #3,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-131f87e4-9c44-4677-ac21-9f7d21e9b6cd,acct-5cd8aa3c-886a-4bed-822c-00bfee9ec522,2025-05-21,285.17020511242816,BookBarn #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-400ef9be-238f-41a0-bf14-ce7806763cd9,acct-18fc605e-7760-4f4b-877b-c56d124124e0,2025-05-21,27.705666258469197,StarBite Cafe #3,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-b45b6f0b-3f4d-473e-9cd8-fd981726f542,acct-5cd8aa3c-886a-4bed-822c-00bfee9ec522,2025-05-21,173.4605495974661,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-142a65e3-5fa2-4a8e-ad20-d153e7ff17c8,acct-18fc605e-7760-4f4b-877b-c56d124124e0,2025-05-23,112.20792825636184,BeerBarn #4,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
