transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-187654d7-8634-40e4-a2c4-55c28f6085a8,acct-f763ef81-ce1d-4bee-8ccb-52049cb4d78c,2025-05-07,154.69991497343526,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-bf296462-4e07-4dde-a3a7-8c90df9e3062,acct-a9c585e6-f1d1-4243-b36e-f11b9edbe255,2025-05-08,118.36374044005743,QuickFuel #4,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-592be0bf-abf3-4b10-aa94-8f57e36de0ae,acct-f763ef81-ce1d-4bee-8ccb-52049cb4d78c,2025-05-10,84.66256763148724,QuickFuel #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-7b6e3223-4f87-4fa8-aa01-c570d55dbfa0,acct-a9c585e6-f1d1-4243-b36e-f11b9edbe255,2025-05-15,301.9577460513108,MobileCarrier #2,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-c6738173-baa2-4b69-a157-528489f91f1c,acct-f763ef81-ce1d-4bee-8ccb-52049cb4d78c,2025-05-15,236.2474112361495,MobileCarrier #1,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-6560e386-3c71-4c16-8938-0f8bb197231b,acct-a9c585e6-f1d1-4243-b36e-f11b9edbe255,2025-05-21,27.951975055903667,RideShareCo #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-01594198-2d58-4c40-bf7f-58f999d3a85a,acct-f763ef81-ce1d-4bee-8ccb-52049cb4d78c,2025-05-23,56.25241020299611,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-c9ca2a2d-35d3-495f-9851-62a02fb9f522,acct-f763ef81-ce1d-4bee-8ccb-52049cb4d78c,2025-05-24,226.15229327972915,PayUtilities #4,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-164bc404-431e-4add-99dd-bbb5877e6452,acct-a9c585e6-f1d1-4243-b36e-f11b9edbe255,2025-05-24,124.88129819108993,CityTransit #2,,other,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-9ae22b76-df77-4e76-829d-af26cbe1cad9,acct-f763ef81-ce1d-4bee-8ccb-52049cb4d78c,2025-05-27,384.8825020477046,PayUtilities #3,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
