transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-d40dab06-36f1-4674-ac24-a6c03dd01364,acct-dc515c37-4b48-49b4-b574-0e30d35045f8,2025-05-07,-620.3135150372206,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-3685d3e4-26ef-41c4-a4ed-865514173d7d,acct-dc515c37-4b48-49b4-b574-0e30d35045f8,2025-05-11,-723.687605891362,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-ab7b4279-b066-4c3d-9ea0-f632e1f63385,acct-e332aa65-01e7-4c21-b66b-1d7beb0bc652,2025-05-11,262.1069213347855,PayUtilities #1,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-4b4f4349-c3f0-4f50-860e-7070689a0640,acct-dc515c37-4b48-49b4-b574-0e30d35045f8,2025-05-17,-1316.1246608042034,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-77562ef5-9dc1-4e5d-8374-ed8ba355f34d,acct-e332aa65-01e7-4c21-b66b-1d7beb0bc652,2025-05-17,212.76864480661888,MobileCarrier #1,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-bc127095-c1a4-449b-a5bc-30633b1e7f61,acct-e332aa65-01e7-4c21-b66b-1d7beb0bc652,2025-05-25,251.7210266696514,PayUtilities #3,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-b5fb5562-6d51-422a-a0c2-f64af221ca10,acct-dc515c37-4b48-49b4-b574-0e30d35045f8,2025-05-25,62.428669156207064,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-c45b749a-4bb4-497e-950d-9d4fe6239561,acct-e332aa65-01e7-4c21-b66b-1d7beb0bc652,2025-05-29,94.05665036353618,ParkingLot Inc #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-d05e10d5-04d9-4a2c-803e-cb9cf5a3d72b,acct-e332aa65-01e7-4c21-b66b-1d7beb0bc652,2025-06-05,113.76635361582655,PayUtilities #2,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-98daaaa3-b968-4b0a-b5da-7c4c901ad259,acct-dc515c37-4b48-49b4-b574-0e30d35045f8,2025-06-06,29.491135865416716,CityTransit #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-62238dff-7e04-4bcb-a5a3-20e549156f86,acct-dc515c37-4b48-49b4-b574-0e30d35045f8,2025-06-06,186.89197149511602,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-4147d04f-1872-488b-95f0-8a8fdd5b0205,acct-dc515c37-4b48-49b4-b574-0e30d35045f8,2025-06-07,127.24848961500317,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-ad69e23f-627c-4f9e-80e8-db57bccb3c92,acct-dc515c37-4b48-49b4-b574-0e30d35045f8,2025-06-08,-2670.2821435408955,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
