transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-3568368e-646e-4d87-9ace-ea5ca1f72177,acct-92addd09-cf36-4a1a-a4ac-9ea6daf2dcde,2025-05-07,115.95470175582214,ConcertHall #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Live Events'}",False,USD
txn-9a3e31f2-40e7-4668-9a7e-c6dce23b8167,acct-3cccc820-a2b3-4c93-a922-df089290d19e,2025-05-07,48.19731613236259,CityTransit #2,,other,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-f6cca144-bd0c-42c5-ae87-7b70b1141778,acct-3cccc820-a2b3-4c93-a922-df089290d19e,2025-05-10,76.49165385173386,ParkingLot Inc #3,,online,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-b698efee-5daf-4feb-804b-53bff0ea1457,acct-3cccc820-a2b3-4c93-a922-df089290d19e,2025-05-10,49.76298228824394,QuickFuel #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-e52c0181-0898-44c0-b7a0-d5264b614054,acct-3cccc820-a2b3-4c93-a922-df089290d19e,2025-05-13,454.5777476938615,OnlineMart #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-2595ab52-7794-4530-ac04-d94f78272cc4,acct-92addd09-cf36-4a1a-a4ac-9ea6daf2dcde,2025-05-14,94.52117811910736,QuickFuel #1,,other,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-0485da15-51f4-478b-84df-f16d7cb8ab79,acct-3cccc820-a2b3-4c93-a922-df089290d19e,2025-05-15,34.18847347073053,RideShareCo #4,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-b858245f-f60f-43c2-9a76-9853ed558a8a,acct-92addd09-cf36-4a1a-a4ac-9ea6daf2dcde,2025-05-16,62.50737265498813,QuickFuel #2,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-67d8018f-a474-4af4-89e3-b2a29985ef5d,acct-3cccc820-a2b3-4c93-a922-df089290d19e,2025-05-16,24.35529387429877,ParkingLot Inc #3,,online,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-606b8aef-e542-47d2-acee-d0655933dc1a,acct-3cccc820-a2b3-4c93-a922-df089290d19e,2025-05-19,-6471.718614646976,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
