transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-b78d6091-28f1-4fd8-94b6-dbe0ca26751b,acct-6d7adcc5-4c15-4c41-86fc-a7340b7ae1e6,2025-05-11,256.5388350678884,DiscountOutlets #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-3dbb8beb-6a21-4321-8e7f-b6721365ddc5,acct-6d69a34f-a009-4406-ba48-00ecbd89e2d7,2025-05-15,101.86835655677311,MovieRentals #3,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/On-demand Rentals'}",False,USD
txn-6455b3fd-deca-474d-a5e9-3d3b4d5dfb84,acct-6d69a34f-a009-4406-ba48-00ecbd89e2d7,2025-05-15,51.871549737841555,RideShareCo #4,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-add55749-373c-413b-bcd5-cd93bc060704,acct-6d69a34f-a009-4406-ba48-00ecbd89e2d7,2025-05-15,46.361807297456004,CityTransit #4,,other,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-e96f9a10-7352-4e2e-9fae-4b51f9246677,acct-6d7adcc5-4c15-4c41-86fc-a7340b7ae1e6,2025-05-17,470.27402277594507,PetWorld #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-397976e7-2f7f-44b1-a396-5f38747541d1,acct-6d69a34f-a009-4406-ba48-00ecbd89e2d7,2025-05-18,252.6885304079032,ElectroHub #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-a728d665-dcd0-4b9a-85f3-6ffd89d0a3df,acct-6d7adcc5-4c15-4c41-86fc-a7340b7ae1e6,2025-05-19,213.94833906677573,OfficeSupply Co #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-bd542cea-d34f-4544-a3f4-da3152eedeae,acct-6d69a34f-a009-4406-ba48-00ecbd89e2d7,2025-05-20,-4790.315608933755,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-cdd4e1dd-7994-4e75-991e-280f983402f6,acct-6d69a34f-a009-4406-ba48-00ecbd89e2d7,2025-05-20,339.18704546406593,HomeGoods Store #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-60ad11d2-0d5e-4b06-be5e-e3412bcf09fc,acct-6d7adcc5-4c15-4c41-86fc-a7340b7ae1e6,2025-05-20,51.400309674753096,RideShareCo #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
