transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-5ee11ac6-9af3-49d8-92c4-6de019f6bcea,acct-746a790d-142a-4313-b36b-135deacc347b,2025-05-08,147.8788781682425,StarBite Cafe #5,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-99ece165-90df-4cba-9b31-e9000ba12c32,acct-9f43d190-fa2c-4887-b533-4322a88fe22b,2025-05-08,80.19660607087977,FreshBites #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-c59c3472-d975-46a8-b0a4-9e8d5ab5478e,acct-9f43d190-fa2c-4887-b533-4322a88fe22b,2025-05-09,91.12993000074698,BeerBarn #2,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-74e6551e-fcfd-458c-8d63-3553db974015,acct-746a790d-142a-4313-b36b-135deacc347b,2025-05-09,100.11067953806155,StarBite Cafe #3,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-12845571-bfb1-49e7-936b-09a5a6c1a6d3,acct-9f43d190-fa2c-4887-b533-4322a88fe22b,2025-05-11,72.53812410181459,BeerBarn #1,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-ede5f97c-d15c-4628-8566-6a85bfa2df39,acct-746a790d-142a-4313-b36b-135deacc347b,2025-05-13,48.17367086940102,BikeShop #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-60ee6754-475d-4cdb-9acc-2b6e74dd9df3,acct-746a790d-142a-4313-b36b-135deacc347b,2025-05-13,74.70643259128471,FineDining LLC #4,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-89ab15c1-f1e6-4fba-b4f5-204343b86d74,acct-9f43d190-fa2c-4887-b533-4322a88fe22b,2025-05-13,53.22815213150302,FineDining LLC #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-33fd1538-8fd8-499b-959a-22484a8fb015,acct-9f43d190-fa2c-4887-b533-4322a88fe22b,2025-05-17,156.65413251853104,LuxuryBoutique #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-e4993173-f3f2-42de-8ad4-a34bb4c78cf9,acct-746a790d-142a-4313-b36b-135deacc347b,2025-05-17,58.49242557080421,BeerBarn #1,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
