transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-dc721865-31bf-4e2f-b513-70f438388569,acct-260f8fa0-36ff-4ea4-ab29-c6ec342ccf86,2025-05-08,16.26315390839695,StreamingMusic #3,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-d2d4f425-5d7b-453a-8b31-a8a7eb7d8d50,acct-37363c21-305a-4c83-948d-12851b493f24,2025-05-14,21.80535586897436,StreamFlix #3,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-d5af007d-d35d-4a82-9ecc-5e3aa9e23bd4,acct-37363c21-305a-4c83-948d-12851b493f24,2025-05-15,17.22390179652163,StreamFlix #2,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-58be0f9c-a58f-4d04-870d-0b255dde6c0f,acct-37363c21-305a-4c83-948d-12851b493f24,2025-05-20,26.305755998363495,StreamFlix #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-1dcdbe83-64eb-4f63-90a7-7a71737db9da,acct-37363c21-305a-4c83-948d-12851b493f24,2025-05-29,-4146.775781066944,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-2a281e60-2b1e-487f-ad61-bc59241c5c10,acct-37363c21-305a-4c83-948d-12851b493f24,2025-05-31,-5556.7944696989325,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-da9333a5-863a-4aa9-9f31-ed794c34572b,acct-260f8fa0-36ff-4ea4-ab29-c6ec342ccf86,2025-06-10,20.990769917327043,StreamingMusic #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-e8fb0dae-2850-43af-b0d0-0e0c7419e217,acct-37363c21-305a-4c83-948d-12851b493f24,2025-06-14,-5199.3959849754865,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-dac5bf45-82eb-410d-a43e-95a33b73852c,acct-37363c21-305a-4c83-948d-12851b493f24,2025-06-16,18.214777290780322,StreamingMusic #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-2cb8b87f-1859-4840-b8c4-aea06b059624,acct-37363c21-305a-4c83-948d-12851b493f24,2025-06-16,1430.7692458686574,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-0c41db09-0b42-4708-8d7b-b7bf0ba86397,acct-37363c21-305a-4c83-948d-12851b493f24,2025-06-25,1343.614533768836,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-bfc67cdb-b2ab-4e52-8625-6dbde4868b45,acct-37363c21-305a-4c83-948d-12851b493f24,2025-06-26,18.253481336398956,StreamFlix #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-1afaca99-072c-445a-99d8-d13d78396d67,acct-37363c21-305a-4c83-948d-12851b493f24,2025-06-28,-4866.3508272455,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-2edee433-ece8-419e-aac7-b0ba2f1ff46d,acct-37363c21-305a-4c83-948d-12851b493f24,2025-07-06,1045.668677667673,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-76d3c509-fdfe-4051-824c-96e6b640ce7d,acct-37363c21-305a-4c83-948d-12851b493f24,2025-07-10,-4641.093972361465,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-dd3c32ee-84a8-49d7-a825-8c8f6a462df5,acct-37363c21-305a-4c83-948d-12851b493f24,2025-07-25,20.033038851947513,StreamFlix #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-c82bc1ee-1ce9-4ea9-864e-229c7979a17a,acct-37363c21-305a-4c83-948d-12851b493f24,2025-07-28,29.755683398755743,StreamFlix #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-2f52ebd9-2d4d-4e89-b0fc-16dc0b4239d6,acct-37363c21-305a-4c83-948d-12851b493f24,2025-07-31,15.290832475365399,StreamFlix #1,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-72975f97-01d8-4e11-a9c3-c4ff455b7695,acct-37363c21-305a-4c83-948d-12851b493f24,2025-07-31,727.4046030082446,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-a062f324-3279-4d6b-9f69-5fc892246b45,acct-37363c21-305a-4c83-948d-12851b493f24,2025-08-01,14.725238565045654,StreamFlix #2,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-b66317bc-bb48-4041-9c81-ff145d61d44e,acct-260f8fa0-36ff-4ea4-ab29-c6ec342ccf86,2025-08-04,21.03373134294646,StreamFlix #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-71623d19-85be-462d-b683-1a261bf871ee,acct-37363c21-305a-4c83-948d-12851b493f24,2025-08-09,-5167.95480157884,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-629a3201-c496-4663-a58b-689254750f07,acct-37363c21-305a-4c83-948d-12851b493f24,2025-08-23,992.0707176901801,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
