transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-18908257-7c77-4d8e-8eb3-dc42dcf6c0ba,acct-2ab26238-8ab9-46e2-b090-e2a206be0e58,2025-05-10,53.55816872394266,StarBite Cafe #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-08ed55ad-1214-4488-ae6b-0580be966610,acct-6025db9d-dc21-4f23-aa10-536eff9cf1e0,2025-05-12,93.47969538992461,FineDining LLC #4,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-f37897a5-efe2-4357-9d30-b80af815970d,acct-2ab26238-8ab9-46e2-b090-e2a206be0e58,2025-05-16,108.6216032547794,PetWorld #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-f72e548f-fcd6-4fb9-964e-30b81679224f,acct-6025db9d-dc21-4f23-aa10-536eff9cf1e0,2025-05-16,-3281.5224208721293,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-ab7cba67-7dfa-4316-ad18-871f765896c6,acct-2ab26238-8ab9-46e2-b090-e2a206be0e58,2025-05-17,12.975002399723346,StarBite Cafe #2,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-0acce011-d985-43c0-af65-c932a637233a,acct-2ab26238-8ab9-46e2-b090-e2a206be0e58,2025-05-18,96.2214178466759,StarBite Cafe #5,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-dea18953-75c4-4d6b-ab69-2ef22c1e7d89,acct-2ab26238-8ab9-46e2-b090-e2a206be0e58,2025-05-19,121.19115247007855,FreshBites #1,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-7ffc2b70-ce2b-45cd-93d4-6d99ae57d1b1,acct-6025db9d-dc21-4f23-aa10-536eff9cf1e0,2025-05-21,33.19528420634735,OnlineMart #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-ba03c2a6-36ce-430f-9a12-95a016d4fad1,acct-6025db9d-dc21-4f23-aa10-536eff9cf1e0,2025-05-21,266.1273720393666,GardenCenter #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-6ba8e1bc-aa01-4172-9e46-957959951de5,acct-2ab26238-8ab9-46e2-b090-e2a206be0e58,2025-05-22,130.1829346215955,FreshBites #4,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-66df2bbb-6ef6-4dae-bd49-2d4b4c55a785,acct-6025db9d-dc21-4f23-aa10-536eff9cf1e0,2025-05-22,96.3667553054513,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
