transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-137589ba-1a39-4cf7-a3bd-256437302f91,acct-74925096-e895-43d9-9ea0-1640613c4596,2025-05-07,138.756776484772,PayUtilities #3,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-53a63bbd-d22b-4e35-b250-2f023fa288a9,acct-eeb1eddf-4858-4ebc-a051-a629b4b6b89b,2025-05-07,56.69213485082014,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-9f33851b-4844-43c6-8b31-b3fad0043d6c,acct-eeb1eddf-4858-4ebc-a051-a629b4b6b89b,2025-05-08,180.04546592127156,PayUtilities #1,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-ee622d9f-8d30-4224-87c1-d0fc623a5508,acct-eeb1eddf-4858-4ebc-a051-a629b4b6b89b,2025-05-10,-1058.4094262472556,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-651b61f9-2749-4f9c-8afc-4a00c6304e9b,acct-74925096-e895-43d9-9ea0-1640613c4596,2025-05-10,265.4723431609923,MobileCarrier #1,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-1e17a4a6-627e-4e1b-8a1b-1ae03bf3365d,acct-eeb1eddf-4858-4ebc-a051-a629b4b6b89b,2025-05-20,54.81131031495551,ParkingLot Inc #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-52e89325-f6ef-440f-9370-4a97a14a494e,acct-eeb1eddf-4858-4ebc-a051-a629b4b6b89b,2025-05-20,58.31400773176441,RideShareCo #2,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-2429a6b9-bced-4cf1-ac8c-9aee61fcae7b,acct-eeb1eddf-4858-4ebc-a051-a629b4b6b89b,2025-05-21,-3505.859274337301,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-7dfd971f-83d9-4f0d-b0c7-2fdf86afdbdc,acct-eeb1eddf-4858-4ebc-a051-a629b4b6b89b,2025-05-21,123.5930481503717,RideShareCo #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-27ed404b-5764-4cc7-8bee-b80e1cf1daf6,acct-eeb1eddf-4858-4ebc-a051-a629b4b6b89b,2025-05-22,-2231.473840802051,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-12251ee8-d32a-45f8-987a-a3905f6f0df3,acct-eeb1eddf-4858-4ebc-a051-a629b4b6b89b,2025-05-23,157.66543141797166,MobileCarrier #1,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-db1b29c2-8005-45b4-ad25-2eabefde0b87,acct-74925096-e895-43d9-9ea0-1640613c4596,2025-05-27,246.75654251163868,MobileCarrier #2,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-80e69797-1e10-4dc4-88f7-6c460c7af6b7,acct-eeb1eddf-4858-4ebc-a051-a629b4b6b89b,2025-06-03,208.85020637855052,PayUtilities #1,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-3451b22d-fb78-4643-987c-3971eb126c6d,acct-74925096-e895-43d9-9ea0-1640613c4596,2025-06-03,46.889305440039394,QuickFuel #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-3a55b8ce-3d19-458a-b18e-347ae7a8ce2f,acct-eeb1eddf-4858-4ebc-a051-a629b4b6b89b,2025-06-04,-3461.461718609581,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
