transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-4ff59230-406f-406a-8b3e-6ac100585669,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-05-08,-1987.2286559398963,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-dfd5ab60-55df-4e79-9cc5-a4258bfd26cd,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-05-09,306.94089962029886,PayUtilities #4,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-180e9a0d-8a91-4e6a-99a1-2875624bf454,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-05-11,-1645.1971812127117,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-55e74d17-1b4a-4f03-b0ad-a559535600a1,acct-c058dc1c-9786-4a04-ab32-f0da294a57b0,2025-05-12,184.95043106310843,PayUtilities #1,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-0dac4bf7-e364-4630-a825-f118bdb5925b,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-05-15,83.61702074186115,MobileCarrier #3,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-c1895e5b-64c4-4ba8-8cab-4bd6e864dbec,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-05-20,-3820.219584239775,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-182c5885-540a-4c5f-b99b-922506bc10de,acct-c058dc1c-9786-4a04-ab32-f0da294a57b0,2025-05-20,41.590207968998286,CityTransit #4,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-43df2f0c-1a6f-43a2-a80a-65676591cf5b,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-05-21,99.75740226109968,QuickFuel #4,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-e0cb7a00-7712-4eb5-ab4e-8cd59bcbf846,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-05-22,73.299371221115,CityTransit #4,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-508db70f-e261-484c-bed5-b341a1303245,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-05-30,93.55119122949657,PayUtilities #2,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-2e2139df-156b-4485-a0c5-86b3a44fb734,acct-c058dc1c-9786-4a04-ab32-f0da294a57b0,2025-05-30,71.02553024517528,RideShareCo #2,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-ce77177d-0656-4dcb-90ce-ab7c45fad99c,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-06-02,102.9264816306349,CityTransit #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-9501cc06-f747-48bc-b462-6576d297309e,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-06-08,51.91851602176439,PayUtilities #1,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-9a4f3a79-28f4-4688-a1f0-b2e6b4792b91,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-06-10,194.4304849483595,PayUtilities #2,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-4013657a-f6d5-4bd4-a64b-a31273a7e9fb,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-06-12,-1175.439042094662,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-b0506b41-df72-4fea-aee1-79aac8bd1825,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-06-12,196.2787812236737,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-615f673e-76fd-4fb7-827b-a668a7875f55,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-06-13,-3593.612748365909,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-46260b9f-1ca5-4e07-a233-2ec3dcb43a25,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-06-13,-1487.0113648777942,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-6d54f368-70ea-4e0f-96c0-de5a38b75001,acct-c058dc1c-9786-4a04-ab32-f0da294a57b0,2025-06-15,325.7530534297765,MobileCarrier #4,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-d0c16287-da33-44a4-a7fe-5e6342a4a28a,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-06-16,43.84895562623847,QuickFuel #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-b5f16c24-0ce8-4a81-b8c6-528db886aa39,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-06-17,-3811.7846858801,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-d11432d2-fdf7-45e1-9709-6592538054dd,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-06-19,-3857.3114992200053,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-818b9193-1ddb-4a5a-aaea-5201ac2a9a8e,acct-c058dc1c-9786-4a04-ab32-f0da294a57b0,2025-06-19,386.0545203320261,PayUtilities #1,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-66219f91-c9d6-495f-a829-45cf1bd659bb,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-06-21,110.37179227823201,MobileCarrier #2,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-bb78d85c-d2ec-4fab-bb92-698bc5f6e02e,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-06-21,61.25048246641134,ParkingLot Inc #3,,other,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-600e56f7-8ed0-4de1-829c-24dded478289,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-06-22,175.21701967666894,PayUtilities #3,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-a1bad852-8c03-4c74-b0ca-da1bea322f00,acct-c058dc1c-9786-4a04-ab32-f0da294a57b0,2025-06-22,142.4831658755125,PayUtilities #1,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-dd6a5870-3455-48f3-974d-2919934b59ec,acct-c058dc1c-9786-4a04-ab32-f0da294a57b0,2025-06-23,148.92121409252346,ParkingLot Inc #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-cbfc5de5-fd5c-406b-a0e7-65679e93ecf5,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-06-24,98.02031403672835,ParkingLot Inc #2,,online,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-67905317-c9bd-47e6-ac06-9e12c5b527d9,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-06-27,159.5342629271422,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-1f004f42-076c-4074-acf0-dea51e0406bf,acct-c058dc1c-9786-4a04-ab32-f0da294a57b0,2025-06-30,39.38265757253496,ParkingLot Inc #4,,other,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-d9b7ef28-491b-4bf8-b929-edd77439a048,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-07-01,161.70991116579654,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-8022adf8-cd45-4ea3-9336-8665cb096dd8,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-07-02,26.754786422139368,RideShareCo #2,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-02e21849-0b6b-4e7b-86db-b4af62aa53b0,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-07-03,-941.9736535342729,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-30a3fa03-d973-4242-9186-bcc360e983c6,acct-c058dc1c-9786-4a04-ab32-f0da294a57b0,2025-07-03,244.22487365288828,PayUtilities #3,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-1bbf8bfa-f432-4ce4-a277-299a1e9619bb,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-07-04,-1553.071900098996,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-d70752d1-849f-42ac-9abe-6cd8c3f5d451,acct-4cd830f4-cd10-43b3-bce8-85d4f2df62ae,2025-07-05,-1895.378458588323,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
