transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-aea03752-b5be-4d47-9c15-4b0a03cc2b77,acct-d055be43-0b84-4604-b842-ab6a905ca4d1,2025-05-07,68.32814224157795,BeerBarn #3,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-050beafc-efe7-4191-a4e8-262c5854fcda,acct-d055be43-0b84-4604-b842-ab6a905ca4d1,2025-05-08,61.62215770524149,StarBite Cafe #4,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-7a5f6767-b3b5-4183-b975-7a5bb13eca24,acct-ff4c94aa-c1b5-4a2c-ae98-8828197cc97a,2025-05-09,50.2093739517036,StarBite Cafe #2,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-795ad62b-4055-4c77-a605-a94140206ea9,acct-ff4c94aa-c1b5-4a2c-ae98-8828197cc97a,2025-05-10,159.14512561937207,BookBarn #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-323358f5-b513-4e26-a4e4-92b715b7ca1d,acct-ff4c94aa-c1b5-4a2c-ae98-8828197cc97a,2025-05-10,103.65155122406964,BeerBarn #4,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-8d81c0b2-51a2-48bb-8135-da9736980dbf,acct-d055be43-0b84-4604-b842-ab6a905ca4d1,2025-05-11,201.83616456748038,GardenCenter #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-d13292b1-4873-48fe-8bc3-67f36e2ab980,acct-ff4c94aa-c1b5-4a2c-ae98-8828197cc97a,2025-05-11,243.54047237155402,DiscountOutlets #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-0de637a3-bf94-456e-ba0c-37c3522b045b,acct-ff4c94aa-c1b5-4a2c-ae98-8828197cc97a,2025-05-13,127.99561338776583,LocalBakery #1,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-5baef152-3bda-4d50-800b-d35dcdcb3950,acct-ff4c94aa-c1b5-4a2c-ae98-8828197cc97a,2025-05-14,84.84041136064289,OfficeSupply Co #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-1051e033-9f1a-4e87-88d3-01e2ab2312e7,acct-d055be43-0b84-4604-b842-ab6a905ca4d1,2025-05-15,47.962336079637936,ToyHouse #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-d10901c6-0ebe-4214-9e85-c3fa79396df6,acct-ff4c94aa-c1b5-4a2c-ae98-8828197cc97a,2025-05-18,115.82142905093704,HomeGoods Store #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-44b7efc4-df5d-4116-9b8b-cefceda84049,acct-ff4c94aa-c1b5-4a2c-ae98-8828197cc97a,2025-05-18,25.31460575143631,StarBite Cafe #3,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
