transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-97c534c0-a69b-4169-8f41-e7429cfbe059,acct-26a27ec3-c22c-4989-b088-8f82713f43c1,2025-05-10,1273.9411314930423,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-c2c89018-50c0-4df3-ad7e-09f79f4ae65e,acct-26a27ec3-c22c-4989-b088-8f82713f43c1,2025-05-11,14.931112893701446,StreamFlix #3,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-12a009c8-ceb6-48f9-8293-0d144daa1e77,acct-26a27ec3-c22c-4989-b088-8f82713f43c1,2025-05-15,14.824167811672053,StreamFlix #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-9e45a18c-7ef7-4e10-85c0-dfac2787bfd5,acct-26a27ec3-c22c-4989-b088-8f82713f43c1,2025-05-16,-5930.264083650322,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-be690f01-88cd-4b5c-873d-d66216f2f16a,acct-c1fe7091-bb3a-4ef8-9327-6e6767d5a42d,2025-06-04,20.65142810192266,StreamingMusic #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-52005450-a64a-41b7-97f7-27cab4fcde24,acct-26a27ec3-c22c-4989-b088-8f82713f43c1,2025-06-08,-4758.776297418289,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-f7833fd4-44f0-46db-800d-8048af2865af,acct-26a27ec3-c22c-4989-b088-8f82713f43c1,2025-06-09,-5946.452561947126,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-722aa3a2-edf4-437f-a21d-affde619ac3a,acct-26a27ec3-c22c-4989-b088-8f82713f43c1,2025-06-15,-5867.171405929817,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-da8a950f-6066-4c0d-8967-b9d7c4804ae0,acct-26a27ec3-c22c-4989-b088-8f82713f43c1,2025-06-21,24.9596676647528,StreamingMusic #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-ce24c7b1-6cf2-4d11-8651-4e4bd1d202df,acct-26a27ec3-c22c-4989-b088-8f82713f43c1,2025-07-07,1014.9551929583095,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-a1125f01-b1c9-47e2-a1d1-4e6f42acc646,acct-c1fe7091-bb3a-4ef8-9327-6e6767d5a42d,2025-07-16,24.561808779550773,StreamingMusic #3,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-8e52cede-e791-4553-825c-6861bc44e9fd,acct-26a27ec3-c22c-4989-b088-8f82713f43c1,2025-07-23,17.49199986671414,StreamingMusic #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-47049eed-27e4-47a1-b20c-b215eb2661ab,acct-26a27ec3-c22c-4989-b088-8f82713f43c1,2025-07-24,11.980126612292691,StreamFlix #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
