transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-9f042577-f393-4522-a542-9364dc1ba339,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-05-17,1649.1192271872817,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-d533639f-34dc-4ae6-b994-38d14ff82778,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-05-22,1140.9804579827996,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-292ebcb4-e063-4882-be91-5b96d5e8f25b,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-05-29,84.24056481026369,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-584943f0-8d3e-4b53-b339-da3ba7d368ac,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-06-04,1340.8224046206415,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-bb8fb8e2-074c-47b0-b36c-d6a1898f6c1a,acct-0525735b-4ce5-4acf-a5ef-a72d519a1119,2025-06-04,135.8406216272756,ToyHouse #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-70ada72f-5e33-4986-80c0-923b36f1be87,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-06-05,568.972565542093,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-d66e4397-05e0-44b3-a615-4ded17655749,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-06-10,188.45282530354808,BikeShop #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-60e691ca-0652-43c8-8764-6bb4b8760f7e,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-06-16,-7409.572362744608,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-844c74f1-dac4-463c-ac3d-4713dad88a34,acct-0525735b-4ce5-4acf-a5ef-a72d519a1119,2025-06-18,131.2939360434645,PetWorld #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-ea4c8862-9358-474d-96b7-0d4b60db0e8b,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-06-19,105.16447748608628,FurnitureCo #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-73058df9-a4df-4b4c-b778-01cd06f6be48,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-06-20,133.82632420070155,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-9fe3cf1c-2420-4f15-9c29-472347f75353,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-06-21,-6803.208634374563,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-ad570531-c4d1-4de3-82b7-115f480c0471,acct-0525735b-4ce5-4acf-a5ef-a72d519a1119,2025-06-21,191.78984106003807,SubscriptionBox #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-eefbb8e0-3822-41d9-8ef7-70b303867499,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-06-24,195.82503310698988,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-6c69f121-e3e5-4098-9bdb-1e37e7da2355,acct-0525735b-4ce5-4acf-a5ef-a72d519a1119,2025-06-29,181.5647094584322,CityMall Clothing #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-472f4770-8697-47d4-ba84-5d0940f23d36,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-07-04,162.28703685559492,PetWorld #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-3b444c51-78d7-4bff-8830-b706721ee5ff,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-07-05,500.2221475113673,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-6756b023-57f9-4a1b-91d9-001f5701cc5d,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-07-12,1963.6491267136855,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-effd03fe-f962-4639-8020-2c606f2c3592,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-07-18,-7681.079771591092,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-a17ab0c4-82d0-4942-a7aa-6e3404d4a207,acct-0525735b-4ce5-4acf-a5ef-a72d519a1119,2025-07-22,195.99170243576137,PetWorld #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-7d4d110a-e9f1-41a7-bbb2-75ef28b8dd4f,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-07-26,-7292.822944436734,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-e7db634e-e96a-402c-a649-ea07f8652454,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-07-26,743.3884039053496,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-6edc178c-9a4e-4b3a-9ad7-74fb940e9ba3,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-07-28,114.2031882645991,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-2f22e10f-4b11-4cd1-807f-e2299253e518,acct-0525735b-4ce5-4acf-a5ef-a72d519a1119,2025-07-29,105.0583745443729,LuxuryBoutique #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-1157e3c0-246a-4814-a06d-d174f08abb74,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-07-30,144.85199754671723,HomeGoods Store #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-15531d0a-128b-48d0-ae89-2d566e6069ae,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-08-06,-6645.7197668391545,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-564e5613-99e8-4548-8155-a5199a5a0751,acct-0525735b-4ce5-4acf-a5ef-a72d519a1119,2025-08-06,137.66332146515305,BikeShop #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-a41948f5-8dcd-48ba-8673-a95b123e0abd,acct-0525735b-4ce5-4acf-a5ef-a72d519a1119,2025-08-16,171.78999296632725,LuxuryBoutique #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-19f256bd-0f80-4040-8d88-06aaeb520884,acct-0525735b-4ce5-4acf-a5ef-a72d519a1119,2025-08-18,152.74833442462207,HomeGoods Store #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-1b8a1cf7-7ddf-4e3c-990a-a47992b84753,acct-0525735b-4ce5-4acf-a5ef-a72d519a1119,2025-08-19,193.69539208999254,ElectroHub #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-8a65f270-0eb0-49dd-aeae-878cab690fab,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-08-29,-5097.209523836271,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-c8a3d305-08a2-40b7-bc78-6f1316e17d23,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-08-29,1276.2590340796855,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-f847135c-340e-4ee0-bb3f-c3bbc0e76d1e,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-08-29,193.75385284624977,SubscriptionBox #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-b9b54422-1ea1-4376-b3c5-01f816e67b0a,acct-0525735b-4ce5-4acf-a5ef-a72d519a1119,2025-08-29,167.38175897870468,OnlineMart #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-00325639-c884-4313-aa84-d23051e366d0,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-09-01,138.23681354649113,BookBarn #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-a777768c-4161-46ae-a7c0-e87c716b7cbe,acct-0525735b-4ce5-4acf-a5ef-a72d519a1119,2025-09-05,191.1207126591995,GardenCenter #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-c79e0479-7822-4090-8151-b9d8e03aae43,acct-93200553-43aa-4826-9b2a-6da6b36e44a7,2025-09-17,1920.5735146535962,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
