transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-aad8e779-1b95-4579-abd2-a7ba20f7694b,acct-2ce53305-f2e4-4e79-9a60-6e719a8a1cb6,2025-05-07,32.791696915056875,ParkingLot Inc #1,,other,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-b9b111d3-c7a7-4b6f-8000-a5a4b7dc307b,acct-3b400142-9250-41fc-b811-3b2f7ad715bd,2025-05-08,359.3143083013325,LuxuryBoutique #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-399beeb7-7e24-41a2-88ee-43cf19492b9c,acct-2ce53305-f2e4-4e79-9a60-6e719a8a1cb6,2025-05-08,75.75903385815315,ToyHouse #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-364f8a9b-0485-4d56-bb67-7575ae698e32,acct-2ce53305-f2e4-4e79-9a60-6e719a8a1cb6,2025-05-08,95.71194980815325,CinemaWorld #3,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Movie Theaters'}",False,USD
txn-4f61fa76-b38b-4beb-8b50-4d83433ec419,acct-2ce53305-f2e4-4e79-9a60-6e719a8a1cb6,2025-05-09,162.2114836230395,CityMall Clothing #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-94d52d20-c6a8-4939-a36a-1fa61f72c684,acct-3b400142-9250-41fc-b811-3b2f7ad715bd,2025-05-10,41.753665940289814,QuickFuel #4,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-26c1dcb2-5875-4217-887b-aa1d2f8efeb7,acct-2ce53305-f2e4-4e79-9a60-6e719a8a1cb6,2025-05-10,362.8869921750618,Student Loan Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-e72c3adb-a9b5-461b-a65e-cb098c7d6783,acct-3b400142-9250-41fc-b811-3b2f7ad715bd,2025-05-11,57.005444619932504,StreamFlix #3,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-c8340c34-6706-4ced-95cd-fb337c4a033b,acct-2ce53305-f2e4-4e79-9a60-6e719a8a1cb6,2025-05-15,-3883.7063187491012,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-8bf3b70f-8c24-4454-a261-86899256e03a,acct-2ce53305-f2e4-4e79-9a60-6e719a8a1cb6,2025-05-15,58.25996624804452,CinemaWorld #2,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Movie Theaters'}",False,USD
txn-37f866e1-9dc1-4d34-8256-b9162fac2baa,acct-3b400142-9250-41fc-b811-3b2f7ad715bd,2025-05-16,59.29544060424399,PetWorld #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-e489c8f6-6b0a-44c3-ae2d-fd595699b79e,acct-2ce53305-f2e4-4e79-9a60-6e719a8a1cb6,2025-05-16,16.834829973651985,RideShareCo #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
