transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-c7f28b63-1264-4a49-a184-68d9f0906196,acct-4471d707-5f69-4332-bb3e-0afca16b1006,2025-05-07,116.97615432144214,LocalBakery #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-5ea29565-8cc4-4ea6-a21f-bd8ede4ad199,acct-4471d707-5f69-4332-bb3e-0afca16b1006,2025-05-08,251.6264321405948,HardwarePro #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-d81b913a-3980-4387-85b8-4fefd53ee0ef,acct-880612b1-4231-420d-ac8b-32b31bd724cb,2025-05-08,75.85002205384849,FineDining LLC #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-acc3d9cc-4af8-40a5-83c5-7c7ffd458d2b,acct-880612b1-4231-420d-ac8b-32b31bd724cb,2025-05-09,213.67244825803874,GardenCenter #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-8982db2b-cdff-49bf-93e0-b0d1625a32a7,acct-4471d707-5f69-4332-bb3e-0afca16b1006,2025-05-09,177.89761873674215,HomeGoods Store #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-271af302-6030-434a-8d66-0b05ac259de7,acct-880612b1-4231-420d-ac8b-32b31bd724cb,2025-05-09,61.13898015349646,FreshBites #3,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-2cd84816-8baf-4fdb-a5c4-75657cf412f0,acct-880612b1-4231-420d-ac8b-32b31bd724cb,2025-05-13,24.107676420537878,StarBite Cafe #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-54e1a0f3-2644-41fc-b9b9-9013c3bc4514,acct-880612b1-4231-420d-ac8b-32b31bd724cb,2025-05-15,75.26922631043513,LocalBakery #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-c1650eb8-ccb2-412a-b2c6-332135f24072,acct-880612b1-4231-420d-ac8b-32b31bd724cb,2025-05-15,87.93028720825038,LocalBakery #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-855efc05-9fd6-4caa-bacc-e2f6b04cdc79,acct-4471d707-5f69-4332-bb3e-0afca16b1006,2025-05-15,75.77740462779227,StarBite Cafe #4,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-d70cf31b-599a-4019-8f34-254dda42b526,acct-880612b1-4231-420d-ac8b-32b31bd724cb,2025-05-16,250.68714585480788,OfficeSupply Co #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-30e4a0f5-fd9d-4757-891c-204d05b8b246,acct-880612b1-4231-420d-ac8b-32b31bd724cb,2025-05-17,106.20843619508784,BeerBarn #1,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-5d1d7ab0-a16d-433c-86b8-088fd1d5f039,acct-4471d707-5f69-4332-bb3e-0afca16b1006,2025-05-20,217.2693306857664,ToyHouse #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-d543eb42-abee-475e-a254-100cc4eacde3,acct-880612b1-4231-420d-ac8b-32b31bd724cb,2025-05-21,63.006675697369324,FreshBites #4,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-70804e24-1ac2-46b6-b59a-d81e49f15cd7,acct-880612b1-4231-420d-ac8b-32b31bd724cb,2025-05-22,165.03129964335346,ElectroHub #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-53405979-9f3b-4635-a1c0-b4c5a1ab5990,acct-4471d707-5f69-4332-bb3e-0afca16b1006,2025-05-26,89.70363744102335,LocalBakery #2,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-86a3d718-0d6a-4621-8837-7978e953dd4c,acct-4471d707-5f69-4332-bb3e-0afca16b1006,2025-05-27,48.237586946603706,BeerBarn #4,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-d25511e3-36fd-47a6-9ed3-7ee299af2323,acct-4471d707-5f69-4332-bb3e-0afca16b1006,2025-05-29,47.04053291293227,StarBite Cafe #2,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-d18f8df1-5455-4ea4-b958-ab0b692c366b,acct-4471d707-5f69-4332-bb3e-0afca16b1006,2025-05-30,103.63512635912413,LocalBakery #4,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-78f0b9af-1671-441a-a50a-435178bcfb32,acct-4471d707-5f69-4332-bb3e-0afca16b1006,2025-06-01,19.042162124116857,FineDining LLC #4,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-9758452f-1a32-473b-b2a8-49d43bceffb6,acct-880612b1-4231-420d-ac8b-32b31bd724cb,2025-06-01,11.425363339154671,FineDining LLC #2,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-b104e010-6ee3-4c28-9aef-7357178b6bb3,acct-4471d707-5f69-4332-bb3e-0afca16b1006,2025-06-03,110.6291006469845,LocalBakery #2,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-075c2da9-499e-4cee-a0fc-c66716aab7a5,acct-880612b1-4231-420d-ac8b-32b31bd724cb,2025-06-05,179.82893849366084,ElectroHub #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-97b0b5cd-dcc2-4eec-a69c-d1bf0dab8c28,acct-4471d707-5f69-4332-bb3e-0afca16b1006,2025-06-06,62.07008362921886,FreshBites #4,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
