transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-e165563c-36fb-4c51-ab37-74caa0419b08,acct-073cb6d5-426f-4470-b614-ee2e76373502,2025-05-07,75.74156942857017,RideShareCo #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-09916fba-efba-4721-b4c5-06bfb138c5ac,acct-a7d4ee86-593b-4f84-a2a5-7b57595b650b,2025-05-08,81.9219217325701,RideShareCo #4,,other,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-152af1c8-11af-437c-8ffb-48cfc722b458,acct-073cb6d5-426f-4470-b614-ee2e76373502,2025-05-09,327.93011203180765,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-37d672b6-119f-4b16-bd19-4fab3ade344c,acct-a7d4ee86-593b-4f84-a2a5-7b57595b650b,2025-05-10,280.53156655239576,GardenCenter #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-06bf348c-b612-4db2-b175-f533f91d8d7d,acct-073cb6d5-426f-4470-b614-ee2e76373502,2025-05-14,40.4376713245764,DiscountOutlets #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-6403ce27-e517-4974-9d89-1e323e38f54d,acct-073cb6d5-426f-4470-b614-ee2e76373502,2025-05-15,418.3103728413923,BikeShop #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-ef471199-f1f6-44e2-8356-7bd0e7c5421d,acct-073cb6d5-426f-4470-b614-ee2e76373502,2025-05-17,200.09464648925396,DiscountOutlets #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-1b2dd835-9138-4a2d-8695-1073c0efc677,acct-073cb6d5-426f-4470-b614-ee2e76373502,2025-05-17,140.71363536308348,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-1eb7fcf1-8da6-47c9-bdeb-75d4aed0202a,acct-073cb6d5-426f-4470-b614-ee2e76373502,2025-05-17,103.54752044168023,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-c14f582c-2c8f-4466-af29-f4dc17adbafe,acct-073cb6d5-426f-4470-b614-ee2e76373502,2025-05-19,-3765.794101996779,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-8583ac40-777d-4c74-8345-bdb155a2a38f,acct-a7d4ee86-593b-4f84-a2a5-7b57595b650b,2025-05-19,408.53707008601646,HomeGoods Store #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-8c1a506b-3289-41fa-8283-cda86ccf04cb,acct-a7d4ee86-593b-4f84-a2a5-7b57595b650b,2025-05-20,163.97958261041848,MovieRentals #3,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/On-demand Rentals'}",False,USD
