transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-492460de-b8dc-4af5-a84b-70b29eff3b45,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-05-09,28.632830236719688,StreamingMusic #3,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-ef67ef54-3217-4429-95e9-6c6d4dc4f5a7,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-05-18,21.56090168570231,StreamFlix #2,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-c201f805-e404-4c4a-9ed3-239378643748,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-05-18,12.989925335309067,StreamFlix #3,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-32299801-5a70-4656-b95f-91bcea999423,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-05-22,19.341068419596873,StreamFlix #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-3045c538-2a17-4669-a749-d7f61ffebc04,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-06-02,18.192268451764704,StreamFlix #3,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-d5c8c5f0-7c4f-401a-b146-89681b0beaf1,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-06-05,-5084.985744772381,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-158451ed-edea-4568-997a-0b76955d9a8d,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-06-07,-4856.5057672288485,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-32227719-27e8-451c-9dcf-514e3b003a75,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-06-11,12.522531204585114,StreamingMusic #3,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-4d542339-4e74-4e88-96c8-81fbb6a18bad,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-06-18,10.093177803360149,StreamingMusic #1,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-8bdf8e3b-fdab-4ae6-b9b3-dcd0975079e6,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-06-19,19.642761255520004,StreamingMusic #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-7f38456f-5445-44df-9639-27bd4ff59482,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-06-24,-5604.626912156321,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-0b3c3436-2d64-4066-a9f3-a5c15e68f912,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-06-29,-5362.024313501232,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-6ed59d46-ea58-4913-950d-c77f8a877e63,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-07-02,-4373.179265795634,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-c1e37318-94cd-4309-8bf8-20452b80845a,acct-5efac7b8-66b7-4c96-8ef3-7eb3351f5ea3,2025-07-11,18.980903075990312,StreamingMusic #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-c482f8cc-9212-4930-bd13-6f47bce5b1f8,acct-5efac7b8-66b7-4c96-8ef3-7eb3351f5ea3,2025-07-13,29.541364528479008,StreamingMusic #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-7e85d575-00da-46ff-9c1f-9f4267c0ef1b,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-07-17,-5529.231997086341,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-225f5fb2-43a9-42aa-b48f-3bf41a94d1bf,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-07-19,25.809196398970066,StreamFlix #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-cbf9927f-0324-4c51-8a77-eca8f8050fd9,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-07-21,25.02859647940018,StreamFlix #2,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-b97f672b-95d9-48ff-bbad-2e357066d853,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-07-22,570.0690194751289,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-bfdffd84-5693-44c5-8744-37ced31e0f64,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-07-23,25.657841162609756,StreamFlix #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-d424691a-f572-4aef-88e1-33544f968978,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-07-26,876.8687411332066,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-ac87754c-03b0-4c09-8528-b5a61e012089,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-07-28,12.207588959807739,StreamFlix #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-34078add-753e-4788-b1d6-ddb42e598b87,acct-5efac7b8-66b7-4c96-8ef3-7eb3351f5ea3,2025-07-28,23.753815231210584,StreamFlix #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-d637ae35-ade1-484d-90a1-6a456b4b691f,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-08-04,-5582.426688353957,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-efa4ec63-56c8-46ab-88db-8f49be2fd196,acct-5efac7b8-66b7-4c96-8ef3-7eb3351f5ea3,2025-08-05,24.574290638456603,StreamingMusic #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-b18e8e5a-7644-4ae7-9d77-f15886aac2eb,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-08-12,29.117414001861178,StreamFlix #1,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-27d3a245-1815-4876-8969-6bd14ec2fb47,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-08-16,10.409550776885808,StreamingMusic #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-2474abb6-11a4-4be3-8581-ade87f85f9e9,acct-601ce818-a2b1-4e64-9781-fe8cfb317b02,2025-08-17,11.156671595519349,StreamFlix #3,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
