transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-008147fc-f4c6-4773-ae46-a504ae0a5e67,acct-b1381025-0dad-4a2d-bec2-8cb8a9246664,2025-05-07,60.95689813219093,FineDining LLC #2,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-a73b4499-81ec-48ec-933b-6f2542f7e14d,acct-b1381025-0dad-4a2d-bec2-8cb8a9246664,2025-05-08,175.39931630648806,LuxuryBoutique #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-7a296a07-5ab4-48ac-9520-98ef3705740c,acct-b1381025-0dad-4a2d-bec2-8cb8a9246664,2025-05-09,200.31130724872415,ToyHouse #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-08babdde-6136-437d-90ab-285cd6f001a6,acct-b1381025-0dad-4a2d-bec2-8cb8a9246664,2025-05-10,12.971155813883172,StarBite Cafe #2,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-89c477dd-f53e-4b24-97a0-3edbbfbc477c,acct-fac91278-16e2-4eb3-a171-e3cacfb4a9c4,2025-05-11,115.6534400657225,BeerBarn #3,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-c188cfd6-4492-407a-9b94-448f644fb472,acct-b1381025-0dad-4a2d-bec2-8cb8a9246664,2025-05-12,65.43859050752206,StarBite Cafe #2,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-793a1414-5103-4b95-a8e0-e4232c9a3b92,acct-b1381025-0dad-4a2d-bec2-8cb8a9246664,2025-05-13,86.37087806293931,FineDining LLC #2,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-68849379-c201-4aa0-8c22-b0ffbda50f9a,acct-fac91278-16e2-4eb3-a171-e3cacfb4a9c4,2025-05-13,-4399.0441628496565,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-a1869df1-6adc-42c7-ba2e-216340461b24,acct-b1381025-0dad-4a2d-bec2-8cb8a9246664,2025-05-14,121.04177290442607,LuxuryBoutique #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-a1cc3f54-275d-438e-b600-32abcb8be9e8,acct-fac91278-16e2-4eb3-a171-e3cacfb4a9c4,2025-05-14,77.13460450269744,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-68d95417-e5fe-4fed-8253-2219c5dfd0a2,acct-b1381025-0dad-4a2d-bec2-8cb8a9246664,2025-05-16,65.8630796815946,CityMall Clothing #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-7a633984-15f8-4600-a5bb-b77cde90408b,acct-fac91278-16e2-4eb3-a171-e3cacfb4a9c4,2025-05-17,26.898643585528667,ToyHouse #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-86eeffe5-f04f-48ce-89fb-db45c4275b79,acct-fac91278-16e2-4eb3-a171-e3cacfb4a9c4,2025-05-17,58.441339292868605,FreshBites #3,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
