transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-eb3d2fe9-b957-4c01-a19a-c2722655019f,acct-74afd416-9df1-4e66-bd87-22a0283456ca,2025-05-07,24.648948597495618,StreamFlix #1,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-acc2dc91-940f-485c-b972-60faa34bbafe,acct-74afd416-9df1-4e66-bd87-22a0283456ca,2025-05-15,29.121402178415178,StreamingMusic #1,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-4def9c23-d94a-4bee-8d26-5ef5fdbae434,acct-74afd416-9df1-4e66-bd87-22a0283456ca,2025-05-17,757.0868394172346,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-61c719e8-c458-4a0e-bd3c-c3039cf67ca6,acct-74afd416-9df1-4e66-bd87-22a0283456ca,2025-05-18,-4948.367696175832,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-b0b06890-7116-45ff-91da-d52ae7d73ebf,acct-74afd416-9df1-4e66-bd87-22a0283456ca,2025-05-24,16.324709908210615,StreamFlix #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-df9a2053-e5d6-43f1-8c14-2c06ef744aca,acct-102c1a02-015e-4b47-90de-62fbf2000d82,2025-05-27,11.830485854443236,StreamFlix #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-3375ff28-c964-4a85-af5d-667ac3d7d587,acct-74afd416-9df1-4e66-bd87-22a0283456ca,2025-06-05,14.041223525974187,StreamingMusic #2,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-e839bac6-9197-4b28-9bdb-b1c453742c97,acct-102c1a02-015e-4b47-90de-62fbf2000d82,2025-06-06,18.564474296148866,StreamingMusic #3,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-06b1f622-9e1f-4d9a-b7c5-3a96ffdece1a,acct-74afd416-9df1-4e66-bd87-22a0283456ca,2025-06-22,-5222.711309607636,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-af3e97a4-b061-4dfa-bf5c-42309dcea3be,acct-74afd416-9df1-4e66-bd87-22a0283456ca,2025-06-23,-4607.512951923872,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-400a3dbe-a84c-4a5e-bd87-22a14083f921,acct-74afd416-9df1-4e66-bd87-22a0283456ca,2025-06-24,23.14179192811899,StreamingMusic #1,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-68a779e6-366c-4438-a811-6a8cf81840eb,acct-102c1a02-015e-4b47-90de-62fbf2000d82,2025-06-26,17.897539011141934,StreamingMusic #2,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-7fa1410d-5225-4520-bee7-e4a006d84cc5,acct-74afd416-9df1-4e66-bd87-22a0283456ca,2025-06-28,1339.9937098541284,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-2f5854df-ea3d-4ea5-960a-46db8623f273,acct-74afd416-9df1-4e66-bd87-22a0283456ca,2025-06-29,-4441.54758121365,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-8bfd6cd0-5dfd-4d19-b2d9-3e42a9829835,acct-74afd416-9df1-4e66-bd87-22a0283456ca,2025-06-30,-5769.50328765102,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-6d807e7a-f814-406e-88b9-2646468e7bb2,acct-102c1a02-015e-4b47-90de-62fbf2000d82,2025-07-05,27.5618071581387,StreamingMusic #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-fb99f5b2-1789-478d-b967-a601407ffe0e,acct-74afd416-9df1-4e66-bd87-22a0283456ca,2025-07-12,-5305.199183043506,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-48e53695-8f57-4fec-b69b-5e323e9be15a,acct-74afd416-9df1-4e66-bd87-22a0283456ca,2025-07-12,1472.6498275061326,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-21382c00-724c-4edc-a2c7-22ceda1eabb3,acct-74afd416-9df1-4e66-bd87-22a0283456ca,2025-07-13,17.461851145330463,StreamingMusic #3,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-9c62bd9b-7b9f-4cd6-b5e8-b76ec623186e,acct-74afd416-9df1-4e66-bd87-22a0283456ca,2025-07-13,1095.6218065034568,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-2a921b84-4ccd-4015-807f-f5b700461a6c,acct-74afd416-9df1-4e66-bd87-22a0283456ca,2025-07-19,24.696476055310523,StreamingMusic #3,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-160c5d9f-2fb2-4820-953c-72fd1f3526ba,acct-74afd416-9df1-4e66-bd87-22a0283456ca,2025-07-29,10.938598107213258,StreamFlix #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
