transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-ee4c0cfc-2bf3-492b-b377-926d7c5aa580,acct-10b4ffbe-d6b2-4fc0-96a8-1ffc7b2aeccb,2025-05-09,18.715649831138453,StreamingMusic #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-f45af62e-697e-44eb-9018-ee384c4cc0ae,acct-d1d31945-4b46-44c1-bb57-2abd91782b1e,2025-05-11,12.41906450395416,StreamFlix #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-0f6363dc-6d5f-4170-b797-4fe40592325a,acct-d1d31945-4b46-44c1-bb57-2abd91782b1e,2025-05-18,21.254141103832943,StreamingMusic #2,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-727d02b7-6956-4507-ba3a-10b781107488,acct-d1d31945-4b46-44c1-bb57-2abd91782b1e,2025-05-20,1478.3266950385587,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-5e8dd20e-6ee1-454a-af76-55b1e411aec2,acct-10b4ffbe-d6b2-4fc0-96a8-1ffc7b2aeccb,2025-05-22,25.16732113674491,StreamingMusic #3,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-5f5040bf-2980-451d-b275-92db54ed42e9,acct-d1d31945-4b46-44c1-bb57-2abd91782b1e,2025-05-23,11.758840802096959,StreamingMusic #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-9ee0bd30-8e77-4d87-bf9a-fa5cf964bae9,acct-d1d31945-4b46-44c1-bb57-2abd91782b1e,2025-05-25,1433.6072753962421,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-d6d6c508-fe4c-40c6-b061-b4855753297a,acct-d1d31945-4b46-44c1-bb57-2abd91782b1e,2025-05-28,-4346.605801350364,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-3b017c51-c1c4-4192-9e7d-91d940a10a46,acct-d1d31945-4b46-44c1-bb57-2abd91782b1e,2025-05-31,-4226.924050371683,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-582df5cd-5292-43c6-b4f8-0b60f975c7f0,acct-d1d31945-4b46-44c1-bb57-2abd91782b1e,2025-06-01,-5842.644424022079,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-e7beb3bd-c317-4f95-b629-5a0a27d1a9d9,acct-d1d31945-4b46-44c1-bb57-2abd91782b1e,2025-06-02,-5456.882477228557,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-661ffdb2-9d15-443e-bc40-aa74f44f4527,acct-d1d31945-4b46-44c1-bb57-2abd91782b1e,2025-06-02,18.360698408127014,StreamingMusic #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-37039ecb-05e2-4730-bdbf-0fe5e3cedec3,acct-d1d31945-4b46-44c1-bb57-2abd91782b1e,2025-06-11,740.7892124007242,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-d86f7dec-ad6b-4410-984f-3c0ddb67d1a2,acct-d1d31945-4b46-44c1-bb57-2abd91782b1e,2025-06-11,667.7600080768194,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-479c61e1-2681-4cf8-8d9a-d05441ead01b,acct-10b4ffbe-d6b2-4fc0-96a8-1ffc7b2aeccb,2025-06-17,17.937904478245823,StreamFlix #3,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-baf44ed8-9495-4ceb-84bd-8a1899c08256,acct-10b4ffbe-d6b2-4fc0-96a8-1ffc7b2aeccb,2025-06-26,12.12619680709215,StreamingMusic #2,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-0f86a578-b811-4225-b93e-e8b6ee7f8499,acct-d1d31945-4b46-44c1-bb57-2abd91782b1e,2025-07-02,-5874.675857227343,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-8aa0ec34-d1c7-4977-b5d4-c646957ffdb5,acct-d1d31945-4b46-44c1-bb57-2abd91782b1e,2025-07-16,28.049683754212182,StreamingMusic #3,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
