transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-52613b08-675e-4820-a4b2-1dd3054f6702,acct-ca288ea9-68f5-4e14-b1e3-1ae8ae9643f9,2025-05-13,11.752910296315171,StreamFlix #1,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-f3051de3-1318-4500-939f-466f14db4355,acct-ca288ea9-68f5-4e14-b1e3-1ae8ae9643f9,2025-05-13,13.50735132543912,StreamFlix #2,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-619ee56a-698f-4354-837e-7fc2bd6481de,acct-3cd8697f-76cb-4d77-9ad3-8b07f0d46fef,2025-05-20,12.42293582765532,StreamingMusic #2,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-69c7b0b9-6384-46a1-9d9b-26d021254870,acct-ca288ea9-68f5-4e14-b1e3-1ae8ae9643f9,2025-05-25,-4364.631062042964,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-5abccacb-cdee-4cfd-a88a-4e9fe54fb1be,acct-ca288ea9-68f5-4e14-b1e3-1ae8ae9643f9,2025-05-25,18.10914079497529,StreamingMusic #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-f2484e95-77dd-46f3-8551-b01c801fcd0d,acct-ca288ea9-68f5-4e14-b1e3-1ae8ae9643f9,2025-05-27,24.957622516784962,StreamFlix #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-86e511ca-113b-4261-9322-bea496370ed9,acct-ca288ea9-68f5-4e14-b1e3-1ae8ae9643f9,2025-06-02,22.65829467024874,StreamFlix #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-205567f1-2b07-41b4-ab3d-b0a5ee254602,acct-ca288ea9-68f5-4e14-b1e3-1ae8ae9643f9,2025-06-10,-5748.6596148775025,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-7752d198-36b1-4415-9a3d-5e124b4108d7,acct-ca288ea9-68f5-4e14-b1e3-1ae8ae9643f9,2025-06-13,1375.0092818009327,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-63effbed-3b02-4e4e-b7ff-7c6db7359fbc,acct-3cd8697f-76cb-4d77-9ad3-8b07f0d46fef,2025-06-19,19.799466823777795,StreamFlix #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-30f835de-28f8-49d7-a794-8e16258baf6d,acct-3cd8697f-76cb-4d77-9ad3-8b07f0d46fef,2025-06-20,21.697647300577934,StreamingMusic #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
