transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-aac42015-a01a-4650-89d9-26aab3f5bf27,acct-6cf68d89-4a76-48fc-9622-24e6e7a67549,2025-05-07,122.85162407601699,OnlineMart #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-bb99024e-83a6-46a2-942f-d7c85cd36cd5,acct-6cf68d89-4a76-48fc-9622-24e6e7a67549,2025-05-11,1239.670269536463,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-cc8ca080-ff3f-4f13-ba03-4409447471c6,acct-6cf68d89-4a76-48fc-9622-24e6e7a67549,2025-05-19,806.3343819963623,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-57dc8dbd-e3de-4be6-a941-8375f929e2d5,acct-6cf68d89-4a76-48fc-9622-24e6e7a67549,2025-05-23,187.75360164421483,HomeGoods Store #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-e8c41dbd-4651-419a-9f16-52c6a91c6c9d,acct-86770204-5ba4-4595-a25c-a73c5480b26a,2025-05-23,160.6406753014358,HomeGoods Store #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-b39e9153-0a5f-43a0-8bea-e15c9e37b370,acct-6cf68d89-4a76-48fc-9622-24e6e7a67549,2025-05-25,1584.516126570677,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-66276c3b-2172-4a2c-869d-395a0f022ee0,acct-6cf68d89-4a76-48fc-9622-24e6e7a67549,2025-05-27,1805.7540479627828,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-f59a22bc-cc7b-45b9-b3f2-6c9a705ed6df,acct-6cf68d89-4a76-48fc-9622-24e6e7a67549,2025-05-30,78.68161118387464,ElectroHub #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-7db214f2-80a0-423b-bde0-06deeb4e3b0a,acct-6cf68d89-4a76-48fc-9622-24e6e7a67549,2025-06-08,-6527.257059594208,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-5da93939-3d82-4a28-bc9c-7a7d2745faaa,acct-6cf68d89-4a76-48fc-9622-24e6e7a67549,2025-06-09,504.40993707392556,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-f89147b1-fada-4a77-9c5a-fd825a852e35,acct-6cf68d89-4a76-48fc-9622-24e6e7a67549,2025-06-11,128.27470554956878,ElectroHub #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-1dfb38fc-bbc7-46f7-a7d3-b702b3b94ebc,acct-86770204-5ba4-4595-a25c-a73c5480b26a,2025-06-13,60.28309501359833,HomeGoods Store #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-abff237a-dd39-4638-8126-12dedc3eccce,acct-6cf68d89-4a76-48fc-9622-24e6e7a67549,2025-06-18,190.4512833799881,SubscriptionBox #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-461b1ce7-78a2-4f14-a853-5449488a2917,acct-86770204-5ba4-4595-a25c-a73c5480b26a,2025-06-18,184.39078770374124,PetWorld #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-dd1dc17a-cc3f-431b-8dc0-7d0aa3658310,acct-6cf68d89-4a76-48fc-9622-24e6e7a67549,2025-06-20,183.1382093129296,OnlineMart #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-07b85dd9-ea28-4f12-bbc2-8801b6efce7d,acct-6cf68d89-4a76-48fc-9622-24e6e7a67549,2025-06-22,-5730.784926211579,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-7ec2d920-7571-48af-8fd6-61d779ea6079,acct-6cf68d89-4a76-48fc-9622-24e6e7a67549,2025-07-01,124.66539019324154,OfficeSupply Co #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
