transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-bf4519d3-1f90-4837-83c8-a5c3fd5672af,acct-1eff62b5-4263-455f-b6a7-ad93de65760a,2025-05-09,15.855333051268744,FreshBites #3,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-8e4d8c57-a314-49e7-a3e5-fd53c1533d3c,acct-1eff62b5-4263-455f-b6a7-ad93de65760a,2025-05-11,-4327.801840454393,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-4d934fb4-d67e-42e7-8639-77c99132f995,acct-147a2ceb-11c6-4153-bee1-08a6a2c6e64e,2025-05-13,107.2637058069295,StarBite Cafe #2,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-2cd495af-4d91-4e4a-acf4-05074bf10a24,acct-1eff62b5-4263-455f-b6a7-ad93de65760a,2025-05-15,111.52146660564867,LocalBakery #1,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-996febb3-e4ff-4cdf-ba8c-622fbad7d40e,acct-147a2ceb-11c6-4153-bee1-08a6a2c6e64e,2025-05-19,147.97493744568504,OnlineMart #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-070b833c-ddc5-4fcb-8053-cea125ea72bf,acct-147a2ceb-11c6-4153-bee1-08a6a2c6e64e,2025-05-19,271.9496974567114,BookBarn #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-caf64e6c-4dba-4ce5-bc5e-ec93e973d646,acct-1eff62b5-4263-455f-b6a7-ad93de65760a,2025-05-20,100.87766250257746,ToyHouse #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-9280d5b0-3990-4ff1-8f9c-e798430bd583,acct-147a2ceb-11c6-4153-bee1-08a6a2c6e64e,2025-05-20,119.60825879846445,BeerBarn #1,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-ba624f7e-ebbe-46b3-998d-f613ebc42ecc,acct-1eff62b5-4263-455f-b6a7-ad93de65760a,2025-05-22,104.48651233525588,ElectroHub #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-a349af97-60b7-43da-85d4-d609842b30ba,acct-147a2ceb-11c6-4153-bee1-08a6a2c6e64e,2025-05-25,29.560640971246542,eBookStore #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-b74e1a95-673e-4495-a84c-7781484b45ef,acct-147a2ceb-11c6-4153-bee1-08a6a2c6e64e,2025-05-25,137.9733639606253,BeerBarn #4,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-9eedf7af-097c-4159-b832-4d0883f2d82f,acct-1eff62b5-4263-455f-b6a7-ad93de65760a,2025-05-25,150.65451633833328,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-ef13a28e-4608-4c63-ae29-3121162935d2,acct-1eff62b5-4263-455f-b6a7-ad93de65760a,2025-05-27,265.21336957508504,HomeGoods Store #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-baf4c1f2-5973-4a3a-9b0b-f1c75b2242c3,acct-1eff62b5-4263-455f-b6a7-ad93de65760a,2025-05-29,55.27870067384785,BeerBarn #1,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-d95abc51-c12c-463f-9332-2d0df130d8f9,acct-1eff62b5-4263-455f-b6a7-ad93de65760a,2025-05-31,121.6553654391708,BikeShop #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-7b16c6ce-7f7c-489c-8b57-65f42bb1a748,acct-147a2ceb-11c6-4153-bee1-08a6a2c6e64e,2025-06-03,155.86076690462812,OnlineMart #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-0ce81d7c-eef0-4a70-8bb4-01bbbd86b119,acct-1eff62b5-4263-455f-b6a7-ad93de65760a,2025-06-03,51.26826717466257,eBookStore #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-f5a6bc10-1983-4a4e-a2e0-fc0de349c31d,acct-147a2ceb-11c6-4153-bee1-08a6a2c6e64e,2025-06-05,16.905413283623126,LocalBakery #1,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
