transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-ace391f5-71bb-4671-8c3e-e58f5deeaf10,acct-95cf8a00-355a-4530-8253-5616f20b7abc,2025-05-09,146.55373841690025,ParkingLot Inc #3,,online,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-ac4f8598-68da-41d8-bf7a-4c0d0e8facc4,acct-82ca571b-5c46-48fb-8772-b7fa4943956e,2025-05-19,103.43174733527563,QuickFuel #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-65cc35c3-0070-4958-90fc-366da998ee55,acct-95cf8a00-355a-4530-8253-5616f20b7abc,2025-05-19,143.40828058797493,ParkingLot Inc #1,,other,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-b23f0412-4e09-4b87-953d-d9937ac1dad8,acct-82ca571b-5c46-48fb-8772-b7fa4943956e,2025-05-20,105.81844889236379,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-94b194ee-1d38-45a2-92ee-cbb67f5703fc,acct-82ca571b-5c46-48fb-8772-b7fa4943956e,2025-05-24,234.25892513108246,PayUtilities #3,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-c167f4fc-b7cb-40b4-9c90-faf238a9b43d,acct-95cf8a00-355a-4530-8253-5616f20b7abc,2025-05-27,195.67235048475106,MobileCarrier #2,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-ef994f24-bce9-452d-97b7-ab55c56dea61,acct-82ca571b-5c46-48fb-8772-b7fa4943956e,2025-05-30,76.7255731924347,CityTransit #2,,other,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-0a89da72-9b4f-45b6-8098-192050cf1018,acct-82ca571b-5c46-48fb-8772-b7fa4943956e,2025-06-03,-921.3863750333794,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-4ef7b16b-3e19-4bcf-bed6-2dac78036e00,acct-95cf8a00-355a-4530-8253-5616f20b7abc,2025-06-03,113.04869703439226,QuickFuel #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-deeeb488-b00d-4d4e-9fca-1e01f6480166,acct-95cf8a00-355a-4530-8253-5616f20b7abc,2025-06-07,146.39431820614922,CityTransit #2,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-fd141676-0eb4-4229-b86d-85d8585500b4,acct-82ca571b-5c46-48fb-8772-b7fa4943956e,2025-06-10,-3749.5149211389976,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-6a367752-de14-48b8-9aa9-30381643102e,acct-82ca571b-5c46-48fb-8772-b7fa4943956e,2025-06-13,295.6756727633025,PayUtilities #4,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-c86a6f94-2a71-4ade-8afb-d79f718fc8ba,acct-82ca571b-5c46-48fb-8772-b7fa4943956e,2025-06-19,268.8863994690173,MobileCarrier #1,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-e6cf4b10-35a9-4aae-bd95-962513acab0e,acct-95cf8a00-355a-4530-8253-5616f20b7abc,2025-06-19,320.58725776208473,MobileCarrier #4,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-7ed488b5-4c3b-4571-aa4a-53b27d8c7c87,acct-82ca571b-5c46-48fb-8772-b7fa4943956e,2025-06-19,61.69785483364498,RideShareCo #2,,online,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-289ca466-caa5-424d-8611-3a3e4b4f2b0b,acct-95cf8a00-355a-4530-8253-5616f20b7abc,2025-06-25,95.86814160839447,MobileCarrier #1,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-88c71008-a387-49c6-9366-e4758728e49d,acct-82ca571b-5c46-48fb-8772-b7fa4943956e,2025-06-26,-739.2424138540857,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-740927de-82a6-47eb-9d63-87db04a6f4bc,acct-95cf8a00-355a-4530-8253-5616f20b7abc,2025-06-26,108.22252011777353,ParkingLot Inc #2,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-60b8d7a4-6089-4593-bfde-6468a1edfc4e,acct-95cf8a00-355a-4530-8253-5616f20b7abc,2025-06-27,396.41958719552326,PayUtilities #1,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
