transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-40b6ebac-2a61-4cbf-9fb7-bee90c5b13fb,acct-a213854a-8a7f-4380-a9ef-4340f0e59842,2025-05-09,37.76767515214095,CityTransit #4,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-2c5f6a13-b3ac-4174-a24c-c90c09235af1,acct-44aa9cb0-4269-4a6d-8a25-59c4bf5586d7,2025-05-09,60.39036341805562,RideShareCo #3,,other,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-471727d9-3854-4eed-93fb-7240bd925b47,acct-a213854a-8a7f-4380-a9ef-4340f0e59842,2025-05-10,34.89678013891221,QuickFuel #1,,other,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-bdaba923-eac3-48ac-bc5a-fd16592e369b,acct-44aa9cb0-4269-4a6d-8a25-59c4bf5586d7,2025-05-14,-4301.289860556194,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-4be09bb2-01c7-4005-b3a7-f7b8d4f815fa,acct-a213854a-8a7f-4380-a9ef-4340f0e59842,2025-05-14,225.3772769765744,eBookStore #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-049ba738-0aa5-4619-9755-6e2bdac39b6c,acct-44aa9cb0-4269-4a6d-8a25-59c4bf5586d7,2025-05-14,93.4315996665375,ParkingLot Inc #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-bc4c0d7e-d1b7-425a-afef-2748283aa2f7,acct-44aa9cb0-4269-4a6d-8a25-59c4bf5586d7,2025-05-15,280.2465334734906,eBookStore #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-bfcced66-3a72-4a13-8747-d1ab1fc89135,acct-a213854a-8a7f-4380-a9ef-4340f0e59842,2025-05-15,126.16776591543176,DiscountOutlets #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-9a46dd60-ad2f-46c9-9882-deac5e5172dd,acct-a213854a-8a7f-4380-a9ef-4340f0e59842,2025-05-15,60.605662496100145,ParkingLot Inc #4,,online,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-fe50fdec-a434-45b9-aef5-cc05e0edbc3b,acct-44aa9cb0-4269-4a6d-8a25-59c4bf5586d7,2025-05-16,95.18272141931038,ToyHouse #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-2283a3de-da00-471c-afe0-b73cb008ab22,acct-a213854a-8a7f-4380-a9ef-4340f0e59842,2025-05-16,65.59181554851382,CloudStorage #2,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Cloud Services'}",False,USD
txn-06a1752e-a2c0-430a-a4c8-5258cc8a9fb4,acct-a213854a-8a7f-4380-a9ef-4340f0e59842,2025-05-16,53.994736275360495,QuickFuel #4,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
