transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-f064ad12-6c59-47b0-ab86-d8e21fe21eed,acct-cb1bfc2c-bda9-4bbf-a1f7-5a65302c11e6,2025-05-11,21.453867624724126,StreamingMusic #2,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-a088f4a2-8c67-4e54-ae2a-898dcd852acf,acct-cb1bfc2c-bda9-4bbf-a1f7-5a65302c11e6,2025-05-12,24.785986699039814,StreamFlix #2,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-07560c17-7ac4-435e-b079-1bb93f55f859,acct-bd977cbd-752e-43bb-8656-1a8e9b7ef78e,2025-05-12,27.300356183756108,StreamFlix #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-c67688d3-04f0-43b5-86f4-615f0e740c31,acct-bd977cbd-752e-43bb-8656-1a8e9b7ef78e,2025-05-15,23.538786189346162,StreamingMusic #3,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-ad2a8b83-fe3a-4147-9474-64b28283d0d4,acct-cb1bfc2c-bda9-4bbf-a1f7-5a65302c11e6,2025-05-19,-4882.698114452358,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-32f7ac05-fa3b-4a34-962d-09d16559893f,acct-cb1bfc2c-bda9-4bbf-a1f7-5a65302c11e6,2025-05-29,20.796827896059252,StreamFlix #3,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-8a1fc60a-7347-4176-867a-fdcd668cf74b,acct-cb1bfc2c-bda9-4bbf-a1f7-5a65302c11e6,2025-06-09,-4108.064895037802,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-4be04e81-6f1f-4c19-8109-966f92e9d886,acct-bd977cbd-752e-43bb-8656-1a8e9b7ef78e,2025-06-10,12.367448271450034,StreamFlix #3,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-62db38b7-f9c3-4ff3-9d74-43c74a4f81a6,acct-cb1bfc2c-bda9-4bbf-a1f7-5a65302c11e6,2025-06-11,1346.9824042987739,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-20b37359-fb1e-44ed-a8dc-6d9671435a65,acct-cb1bfc2c-bda9-4bbf-a1f7-5a65302c11e6,2025-06-25,-4385.94077292447,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
