transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-efb902b0-c8b8-46ad-876c-4a6875f6729e,acct-f5b455f3-acfb-4593-b8c9-718ce326dae1,2025-05-07,-6981.573370689729,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-3dc6b07e-6d95-4c47-afb8-6e49b6a1267c,acct-f5b455f3-acfb-4593-b8c9-718ce326dae1,2025-05-07,122.06620384120819,OnlineMart #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-8d8db6c8-2780-44c9-8f60-8641816f22dc,acct-bb990089-b753-495d-aed1-1943a6756c7f,2025-05-08,63.52086606254226,CinemaWorld #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Movie Theaters'}",False,USD
txn-2796bc57-9751-48f0-b099-2e95b8a68371,acct-bb990089-b753-495d-aed1-1943a6756c7f,2025-05-08,23.866191780851704,ParkingLot Inc #4,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-c41e696d-3fa0-4ad7-93c6-4aae7407fc25,acct-f5b455f3-acfb-4593-b8c9-718ce326dae1,2025-05-09,70.77516594325587,FurnitureCo #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-24fcbc03-44c4-45c7-90a2-59f4965dec53,acct-f5b455f3-acfb-4593-b8c9-718ce326dae1,2025-05-09,129.50682870642223,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-bd8383f9-e39a-470c-88b4-affae26e8021,acct-f5b455f3-acfb-4593-b8c9-718ce326dae1,2025-05-10,-3665.048804103699,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-ba590812-2cfc-42c1-977b-2427a831005a,acct-bb990089-b753-495d-aed1-1943a6756c7f,2025-05-12,72.4057710569929,ConcertHall #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Live Events'}",False,USD
txn-f7b5e8e5-189d-4aac-801e-9ccd03a332d8,acct-f5b455f3-acfb-4593-b8c9-718ce326dae1,2025-05-12,75.60902538498672,ConcertHall #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Live Events'}",False,USD
txn-1fb1a01f-67c2-49a8-82ed-ebeffdaa711f,acct-bb990089-b753-495d-aed1-1943a6756c7f,2025-05-12,90.0878367051127,RideShareCo #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-24f17f4f-45cc-4d41-9a8d-2b17a684ae9f,acct-f5b455f3-acfb-4593-b8c9-718ce326dae1,2025-05-13,103.73376183051819,DiscountOutlets #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-7e9d975d-7fc0-45fe-a314-9d4b35938dc1,acct-f5b455f3-acfb-4593-b8c9-718ce326dae1,2025-05-14,-3556.262389829724,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-85ad113a-deda-46bb-a891-933a18a3a33c,acct-bb990089-b753-495d-aed1-1943a6756c7f,2025-05-15,345.1285824165906,eBookStore #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-7bbdcd1d-fe84-47cc-94e0-09545b1df214,acct-bb990089-b753-495d-aed1-1943a6756c7f,2025-05-15,108.27598894378913,StreamingMusic #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-1a2ff02a-3e98-4b97-8ef0-6785515beeac,acct-bb990089-b753-495d-aed1-1943a6756c7f,2025-05-15,89.30500900407753,RideShareCo #4,,online,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-111114ca-6456-444a-9641-e1c22ad65e5c,acct-bb990089-b753-495d-aed1-1943a6756c7f,2025-05-15,38.849205416370346,CityTransit #1,,other,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-f882651d-3a3e-4720-9901-99fa30cbe781,acct-f5b455f3-acfb-4593-b8c9-718ce326dae1,2025-05-17,50.51215926412192,ParkingLot Inc #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-9bc0d80c-de4e-40f8-a363-08207cbf15ac,acct-f5b455f3-acfb-4593-b8c9-718ce326dae1,2025-05-18,133.3509011893932,ElectroHub #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-0d3329e4-b0aa-4041-ba4e-cc9a9c299b0c,acct-bb990089-b753-495d-aed1-1943a6756c7f,2025-05-19,38.00210519028212,CityTransit #4,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-7877fde4-6e4d-4f50-ac10-d59328633b99,acct-f5b455f3-acfb-4593-b8c9-718ce326dae1,2025-05-21,38.81495949435851,RideShareCo #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-3a31da6f-8013-4517-8585-1efd41e27822,acct-f5b455f3-acfb-4593-b8c9-718ce326dae1,2025-05-23,172.0248558543079,StreamingMusic #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-ddd8bfe7-388b-4bcf-b12f-425f47a683b6,acct-f5b455f3-acfb-4593-b8c9-718ce326dae1,2025-05-23,94.39383760300203,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-67bbe5a0-f17e-490d-ab0b-349624c23579,acct-bb990089-b753-495d-aed1-1943a6756c7f,2025-05-24,53.29338515947495,CityTransit #2,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-34618685-4577-45bf-82d7-85dd8b7f5034,acct-f5b455f3-acfb-4593-b8c9-718ce326dae1,2025-05-24,784.6859493695625,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-ab3faeaf-fbd9-45e1-90de-585cd0ccc67f,acct-bb990089-b753-495d-aed1-1943a6756c7f,2025-05-26,58.804859455825074,CityTransit #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-29c39747-fc7e-4657-ad09-220d42c73e5e,acct-f5b455f3-acfb-4593-b8c9-718ce326dae1,2025-05-26,13.73177816759944,RideShareCo #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-36d4f442-7bf2-4ccb-a1e1-e6b272463904,acct-f5b455f3-acfb-4593-b8c9-718ce326dae1,2025-05-27,89.78925646222523,PetWorld #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-3bc4a709-c35a-4a4e-84af-1b3a420420e0,acct-bb990089-b753-495d-aed1-1943a6756c7f,2025-05-27,134.3428067451126,MovieRentals #1,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/On-demand Rentals'}",False,USD
txn-ef479411-42f7-433e-a0e0-a98ae3870498,acct-bb990089-b753-495d-aed1-1943a6756c7f,2025-05-27,80.00272972988026,RideShareCo #3,,online,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-8485d39d-d3fa-4df8-ba6a-4308c44ec225,acct-f5b455f3-acfb-4593-b8c9-718ce326dae1,2025-05-28,472.25604049048326,BikeShop #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-22acb19f-35ad-4aaf-b09b-02dc81c67110,acct-f5b455f3-acfb-4593-b8c9-718ce326dae1,2025-05-28,261.0368962005046,ElectroHub #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
