transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-0e4e6171-4e7a-4abe-afe5-e21c4f70e28a,acct-599af23a-1a02-4eee-a2b1-aac85fc56bcd,2025-05-07,161.42693296065664,BookBarn #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-78ce5f1f-9fd9-4d5d-8b15-3ac2117fdc98,acct-599af23a-1a02-4eee-a2b1-aac85fc56bcd,2025-05-07,22.69790616567071,FineDining LLC #2,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-095502b5-1d9a-4d54-86db-618d57f2db26,acct-e55aee20-3ef6-4d07-bd30-b0491a3c03c0,2025-05-07,74.51763206920891,LocalBakery #3,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-b97c6442-0b35-41d3-bc41-fec16b0f65bd,acct-e55aee20-3ef6-4d07-bd30-b0491a3c03c0,2025-05-08,33.44205673781217,FurnitureCo #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-137db3e3-9110-4499-bc12-702d464051e3,acct-e55aee20-3ef6-4d07-bd30-b0491a3c03c0,2025-05-08,51.37253711623785,FineDining LLC #4,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-588a6817-ffd9-4d32-a625-7a3b94fddeeb,acct-e55aee20-3ef6-4d07-bd30-b0491a3c03c0,2025-05-09,186.418799939588,DiscountOutlets #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-8228ec54-b8f5-4b12-b0fc-020fc5c0393a,acct-e55aee20-3ef6-4d07-bd30-b0491a3c03c0,2025-05-09,178.62043021905606,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-7269e6e7-623c-48c5-86c4-8b29492b4e69,acct-599af23a-1a02-4eee-a2b1-aac85fc56bcd,2025-05-10,99.76739214827491,FreshBites #2,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-685bce23-efed-48ad-a0a2-f1ce29d48c2c,acct-599af23a-1a02-4eee-a2b1-aac85fc56bcd,2025-05-10,66.48778757971994,FineDining LLC #4,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-e601cca1-8c15-4e69-9883-781f2189b17f,acct-e55aee20-3ef6-4d07-bd30-b0491a3c03c0,2025-05-13,81.77346977325075,StarBite Cafe #3,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-c92d54b7-c644-4fa7-a554-6e9f4f17887f,acct-599af23a-1a02-4eee-a2b1-aac85fc56bcd,2025-05-13,95.6877882722263,LocalBakery #2,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-686b5e8d-e3c0-4db6-8895-ea06d7adc505,acct-599af23a-1a02-4eee-a2b1-aac85fc56bcd,2025-05-14,87.93068110560273,StarBite Cafe #4,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-a434ef46-841f-4c06-acab-f04f8320a94c,acct-599af23a-1a02-4eee-a2b1-aac85fc56bcd,2025-05-16,41.71244931070569,DiscountOutlets #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-e92cf789-7c81-487f-9d0d-3bd3e37452ac,acct-e55aee20-3ef6-4d07-bd30-b0491a3c03c0,2025-05-17,58.95711926971807,BeerBarn #2,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-97bf0f84-6888-47c3-a31b-7a19558efa90,acct-e55aee20-3ef6-4d07-bd30-b0491a3c03c0,2025-05-18,49.1502337686583,StarBite Cafe #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-5c60470f-e9f3-4e8b-8dac-2848059e6ac0,acct-e55aee20-3ef6-4d07-bd30-b0491a3c03c0,2025-05-18,-3324.6278901118962,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-6c21b894-1488-4b14-8757-c291180dcd7a,acct-e55aee20-3ef6-4d07-bd30-b0491a3c03c0,2025-05-21,52.37467468487322,LocalBakery #3,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-aae30592-e753-4f4f-b1cf-b7b3ae32953c,acct-e55aee20-3ef6-4d07-bd30-b0491a3c03c0,2025-05-21,-4544.947473386017,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-004a9b16-f24f-4a68-9de1-43b1a48b893d,acct-599af23a-1a02-4eee-a2b1-aac85fc56bcd,2025-05-22,72.6168596106349,BeerBarn #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-5d157a07-9c67-40df-9248-50b5434949d6,acct-599af23a-1a02-4eee-a2b1-aac85fc56bcd,2025-05-23,18.372595782660373,BeerBarn #1,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-06d3eedc-2035-408c-b335-43e8d69c293d,acct-599af23a-1a02-4eee-a2b1-aac85fc56bcd,2025-05-25,48.358598806688875,SubscriptionBox #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-88346fe1-8ed2-49e4-ade2-a4d9bc093e84,acct-e55aee20-3ef6-4d07-bd30-b0491a3c03c0,2025-05-25,97.06763741499383,BeerBarn #2,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-b4e83ae2-7bae-4901-99e9-df67794353f1,acct-599af23a-1a02-4eee-a2b1-aac85fc56bcd,2025-05-26,101.88834803441236,FineDining LLC #4,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-d805d70a-829c-4d28-b06a-a7ab38dea047,acct-599af23a-1a02-4eee-a2b1-aac85fc56bcd,2025-05-27,260.69720700747973,HomeGoods Store #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-e55861f8-3d5f-4cee-9437-de14517fddaa,acct-599af23a-1a02-4eee-a2b1-aac85fc56bcd,2025-05-29,243.34873894635095,CraftsOnline #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-4c410d1a-7508-48c6-8171-862d61435ffe,acct-e55aee20-3ef6-4d07-bd30-b0491a3c03c0,2025-05-30,148.97160869842412,StarBite Cafe #2,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-58bd28f5-33eb-4a59-bb86-54d6e548d21d,acct-599af23a-1a02-4eee-a2b1-aac85fc56bcd,2025-06-02,230.25349600372638,OnlineMart #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
