transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-d3c6eb9c-385a-40ec-b214-fb1f8307d311,acct-27f9494c-8ba0-41c2-add0-64b88a166c6c,2025-05-07,26.587314381671856,RideShareCo #4,,online,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-2191ef00-7640-4e13-94e0-eb8243a228f9,acct-f9629b15-afda-4b43-b5a6-1b2e685dd018,2025-05-09,148.86955953152514,CityTransit #1,,other,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-ceb05731-0f15-4869-bcf4-f5ad40388a76,acct-f9629b15-afda-4b43-b5a6-1b2e685dd018,2025-05-13,181.39468178242225,MobileCarrier #2,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-c785d868-47bf-46b0-b0ea-f0530eabc01d,acct-f9629b15-afda-4b43-b5a6-1b2e685dd018,2025-05-14,-2784.489312760665,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-86e954f4-2c6f-4c87-b055-03bb4764effb,acct-27f9494c-8ba0-41c2-add0-64b88a166c6c,2025-05-15,54.207546918302896,ParkingLot Inc #1,,online,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-4fda60d9-5611-406c-af8a-1dae209eb01e,acct-f9629b15-afda-4b43-b5a6-1b2e685dd018,2025-05-16,94.92962724052607,QuickFuel #3,,other,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-a71a5571-d6f9-4a3c-b7e3-03fadcf49265,acct-f9629b15-afda-4b43-b5a6-1b2e685dd018,2025-05-18,93.39809671604075,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-c0a28639-f4f7-435e-be3f-d1efd158f986,acct-f9629b15-afda-4b43-b5a6-1b2e685dd018,2025-05-26,107.55082779863706,QuickFuel #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-08be0959-77b3-4584-9f07-c3d2075093d1,acct-f9629b15-afda-4b43-b5a6-1b2e685dd018,2025-05-31,49.96032114114955,CityTransit #3,,other,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-3a8c8a4c-d29f-4492-8862-0d4688ef3e59,acct-f9629b15-afda-4b43-b5a6-1b2e685dd018,2025-06-01,-1059.4550011944434,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-7c00df84-43da-471a-a852-260b711e092b,acct-f9629b15-afda-4b43-b5a6-1b2e685dd018,2025-06-01,-3573.0282750195192,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-d861d7bd-704d-4275-9639-90063ef933f3,acct-f9629b15-afda-4b43-b5a6-1b2e685dd018,2025-06-02,-2451.814180049148,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-12c84d6f-ca7e-4a22-82e2-596937dc2c86,acct-f9629b15-afda-4b43-b5a6-1b2e685dd018,2025-06-02,241.16089095885926,PayUtilities #4,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Utilities'}",False,USD
txn-e3440197-29a6-4755-82a4-59109eda0df9,acct-27f9494c-8ba0-41c2-add0-64b88a166c6c,2025-06-03,361.5778753581421,MobileCarrier #2,,other,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-16e5746d-f82d-491a-acae-1024fde7b429,acct-f9629b15-afda-4b43-b5a6-1b2e685dd018,2025-06-03,100.98643028394754,QuickFuel #3,,other,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-f1a50c31-9491-46dc-97cd-d45750670711,acct-f9629b15-afda-4b43-b5a6-1b2e685dd018,2025-06-06,-1802.1158601498714,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-4ffadc20-4133-4693-8a4f-b5b9a854714c,acct-f9629b15-afda-4b43-b5a6-1b2e685dd018,2025-06-07,-3467.2347701299964,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-87f8c902-7f6f-4a50-9342-a0382c8857a9,acct-27f9494c-8ba0-41c2-add0-64b88a166c6c,2025-06-07,322.25384591705995,MobileCarrier #2,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-3a4e25d4-c130-4c84-849e-d911b4ef57de,acct-f9629b15-afda-4b43-b5a6-1b2e685dd018,2025-06-10,142.88504750043649,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-ed0f69fa-d672-46b2-8189-154fda3c8857,acct-f9629b15-afda-4b43-b5a6-1b2e685dd018,2025-06-14,45.13172951156383,QuickFuel #1,,other,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-3d273e9e-5db4-4634-b4bb-17af70eb2d61,acct-f9629b15-afda-4b43-b5a6-1b2e685dd018,2025-06-20,259.1652748853169,MobileCarrier #4,,in_store,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-1c7e72a2-9a1e-45a0-98e6-d3bd0585e7b4,acct-f9629b15-afda-4b43-b5a6-1b2e685dd018,2025-06-20,130.76429773242,CityTransit #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-6a35ee94-68ab-46eb-ab1f-28e938905a7d,acct-f9629b15-afda-4b43-b5a6-1b2e685dd018,2025-06-25,-1152.850529270595,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
