transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-400e931a-bbf3-473d-b6bd-4e49f86bf5cd,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-05-07,162.42466449589608,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-766da327-4524-401e-baf3-6e2395cdc607,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-05-08,-5015.336631787936,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-7861518c-d638-41c8-abb6-324874096929,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-05-08,97.18237698047946,StreamingMusic #3,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-a99a3935-c1a5-4b6e-8222-eb300bf43d69,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-05-09,470.82270971412254,Student Loan Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-f3576f40-aba9-4055-ae6d-859ed9ea3588,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-05-11,67.08928251807293,MovieRentals #3,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/On-demand Rentals'}",False,USD
txn-ad3a6942-f7b4-4ada-8c6b-aadb47b56e4f,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-05-11,119.73798352602073,MovieRentals #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/On-demand Rentals'}",False,USD
txn-71bd0c90-d7ab-4431-91dc-c88357c2141a,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-05-12,-4114.9337539577755,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-4829c53c-6969-47c8-9446-0b5e1753660e,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-05-12,297.4842829113112,BookBarn #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-bb312986-8cbe-449f-84b9-3838b241facd,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-05-12,174.94103959765155,MovieRentals #3,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/On-demand Rentals'}",False,USD
txn-829711d1-6fa2-4ed3-8548-e1e020ca5019,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-05-12,175.86310791022552,CinemaWorld #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Movie Theaters'}",False,USD
txn-8cce7199-c7a0-46c3-bb00-f66a04c4ea8d,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-05-13,-4728.293047786767,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-57fe76aa-571b-45c8-8cc5-f39fd15eb951,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-05-13,88.84159951701946,RideShareCo #4,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-02b0137c-2a64-413b-abc0-13f52e66c8ca,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-05-14,97.27677874377464,ConcertHall #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Live Events'}",False,USD
txn-98f24e22-e741-47b4-8e1c-9bf34c2cc121,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-05-16,190.26232412071647,HardwarePro #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-f131b655-e97d-49bf-8898-37770400b9ad,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-05-17,67.18765987395787,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-1d4b14dd-5e0e-42f7-b16e-e93392f3f1d6,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-05-19,457.80307333022773,LuxuryBoutique #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-18e84159-79e3-46ce-a9da-015aa3a514de,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-05-19,73.22189881533718,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-5e914b0f-40fc-4333-85b2-f74650e3abc5,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-05-21,86.72119994953012,ParkingLot Inc #4,,other,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-67e9b352-cce7-4a66-b161-a22625b19a33,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-05-27,83.96824582397052,BookBarn #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-2aa64606-5ff5-4c5a-a40c-58032a54f48a,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-05-27,96.30270755221478,MovieRentals #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/On-demand Rentals'}",False,USD
txn-a4652ef9-d7a1-4226-9a52-89a77b407ab8,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-05-28,173.24804107627278,ConcertHall #2,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Live Events'}",False,USD
txn-eed54a6a-de80-41d2-9c19-9b0a23df8056,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-05-28,148.86040595502982,MovieRentals #1,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/On-demand Rentals'}",False,USD
txn-445ca8d9-7a98-47de-a4c0-0c630093587a,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-05-29,91.78649026764164,QuickFuel #4,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-dd3d82be-bef1-44fb-8f4e-e2c5bdf17ac8,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-06-01,36.11886154901412,ConcertHall #1,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Live Events'}",False,USD
txn-f9527c16-6c73-4ae4-9703-69652d8ca3d4,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-06-03,60.006332486946306,RideShareCo #3,,online,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-dfffff7d-8022-48f8-87e3-e5c3b38aaa62,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-06-04,426.5316222464095,HomeGoods Store #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-21582783-bebe-4570-898d-1cd6f629c651,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-06-07,-4959.40331168412,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-653f8808-4517-4857-97ae-81afda167e1a,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-06-07,77.30040887272045,StreamingMusic #3,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-d7515334-a0f7-4a50-bc4e-5f6345341e07,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-06-09,150.59811893519387,StreamingMusic #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-7df1c798-1ab0-493c-b970-41df209c6ace,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-06-10,370.00883608860664,HardwarePro #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-6134b563-d4c6-4dde-9ee7-8f7391aa22fb,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-06-10,193.68648889112848,CinemaWorld #2,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Movie Theaters'}",False,USD
txn-ef8a0fb9-a405-4bcb-9bc6-f86dd6a4dcac,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-06-11,140.88097948084027,PetWorld #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-ef7f282b-3896-42b6-8d98-cb9b9779bad5,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-06-12,389.36924521025014,OfficeSupply Co #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
txn-c7a71489-49c0-47a7-806a-7ec1c27168bd,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-06-14,360.3353104664936,GardenCenter #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-846bb91d-2682-4517-a2e7-67870dd6f165,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-06-15,308.9711018322736,Student Loan Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-f24b9042-b1e3-4770-b723-b88c7024cd65,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-06-16,271.3008107913364,PetWorld #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-86f6602d-c1b7-4317-9d56-02249fbcc402,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-06-16,366.01360755044306,DiscountOutlets #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-cecdd868-4d49-4c1c-afc1-7e2bd89d5bd5,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-06-18,33.808510368309214,BookBarn #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-015a15da-88b9-455c-92de-2701155cc04a,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-06-18,231.54847813856128,BikeShop #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-59f670b9-f839-4c74-8edf-3016054d5650,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-06-18,127.76148040463518,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-3f3b4b0e-d21a-4342-a55c-f51549537c83,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-06-19,30.83621350403519,DiscountOutlets #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-8536586f-9604-4c9e-8836-62cf6114b02d,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-06-19,235.31596048718507,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-85644473-4240-4945-a607-7707d1d8afa5,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-06-20,75.23168572804958,LuxuryBoutique #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-0a7f31a1-55f5-42dd-a4fc-6c6610ee8b5a,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-06-23,194.90577569025467,CloudStorage #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Cloud Services'}",False,USD
txn-cc42e583-3348-47b5-a4fc-739aa8cea931,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-06-24,-6134.323384311763,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-d96f1068-fafe-4f77-a798-2d171a25988c,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-06-24,37.974967065539914,MovieRentals #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/On-demand Rentals'}",False,USD
txn-5d752729-9b50-4647-929c-ee383b123e0d,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-06-24,330.79774597952604,Student Loan Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-8fb6dbc9-ad81-4411-961c-af08872b45b2,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-06-25,237.3799428548989,SubscriptionBox #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-18004bcf-2db7-4440-bc59-3d1f248318ab,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-06-25,104.0879649868614,StreamFlix #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-cd81d6db-5e5f-4341-bdc2-1c922bad6527,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-06-26,130.97657080217627,ConcertHall #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Live Events'}",False,USD
txn-f93cb385-0a3e-401a-839f-1107275cbacb,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-06-27,15.946281719054026,LuxuryBoutique #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-07aa392c-6da3-4575-a445-89d440ba0d61,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-06-29,-3859.4362565580454,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-40d6a58a-0a13-4078-b562-3c670698be22,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-06-29,166.33459038735126,ConcertHall #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Live Events'}",False,USD
txn-b8373805-2b42-42ff-a50a-b9280c4ce14e,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-07-01,41.27213534215164,DiscountOutlets #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-2b344857-2e37-48f4-a3ae-510697b4c2c6,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-07-03,33.54010442021996,ConcertHall #3,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Live Events'}",False,USD
txn-83fcc787-5c88-44af-ae6e-e4cd464c4685,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-07-04,495.8895764540866,ElectroHub #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-3aeaac46-7198-4ea4-ba04-67924b7a292b,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-07-07,235.2982895835143,BookBarn #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-8ea628c6-090b-45ca-809e-66e83fd419a6,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-07-08,119.42140523263645,CityMall Clothing #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-bb001853-33a3-4324-9195-86af5231f955,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-07-08,7.426081853304335,QuickFuel #1,,other,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-e9a319f8-e57b-4393-a112-1c6c0b2603c1,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-07-09,157.35294155635023,StreamFlix #1,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-b13d336d-40b4-43e0-ba48-c07a883b9982,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-07-11,76.88742193621125,QuickFuel #3,,other,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-367d140e-a824-40a5-8c28-324f1cd5713a,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-07-15,462.6542928728846,LuxuryBoutique #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-2d3f19fa-817f-4a84-b5ff-7918463ed306,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-07-18,356.3726902838612,OnlineMart #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-df7dfc2d-709b-42a2-abdf-22ebbd2804ba,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-07-20,23.84047022046128,MovieRentals #1,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/On-demand Rentals'}",False,USD
txn-19f47b0a-f13d-40b0-9455-5f96421f4ab3,acct-ca4b09d9-e2a7-411b-8b8f-e6f6d1a1d9fd,2025-07-22,169.6071553528091,ElectroHub #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-5687a2ac-fb97-4094-8a7f-d4ad3810a482,acct-12ef3a7c-6296-4320-81f8-ee13228a8e7f,2025-07-23,14.412288418464799,CityTransit #2,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
