transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-cf40d8c8-0b33-4467-9045-bb9c9c93b1e0,acct-072e393e-b0ea-433d-99ca-c825510a7362,2025-05-09,21.92463516562725,StreamingMusic #1,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-30221c43-e9ec-4968-87e7-a605e6f2b8e6,acct-072e393e-b0ea-433d-99ca-c825510a7362,2025-05-09,13.413024173872586,StreamingMusic #1,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-2b56ca66-8ded-4600-af1a-cb476b42cf39,acct-8888129e-8208-41e9-9889-a2c04e36bc40,2025-05-13,-4247.6176236524425,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-8d4b0a33-787a-471c-8a61-c138e3d7bb64,acct-8888129e-8208-41e9-9889-a2c04e36bc40,2025-05-21,11.315614674254439,StreamFlix #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-eb546d7b-a7ae-4b89-a304-a9725acf5904,acct-072e393e-b0ea-433d-99ca-c825510a7362,2025-05-24,27.596517903038865,StreamFlix #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-6157c8d8-5488-4b2c-8569-4d088196c80a,acct-8888129e-8208-41e9-9889-a2c04e36bc40,2025-05-28,572.9413944150077,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-018b3938-7616-4c21-8a79-d9f6c765a571,acct-8888129e-8208-41e9-9889-a2c04e36bc40,2025-05-28,971.8884890071274,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-91e31f52-c1fb-40f7-b6f2-77f2583ba4b7,acct-072e393e-b0ea-433d-99ca-c825510a7362,2025-06-12,17.399532690557884,StreamFlix #3,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-14f497f5-e927-43a6-92be-99395751880a,acct-072e393e-b0ea-433d-99ca-c825510a7362,2025-06-17,23.86508925165638,StreamFlix #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-eb9a67d0-d53b-42de-a48d-026bd4e12f36,acct-8888129e-8208-41e9-9889-a2c04e36bc40,2025-06-17,28.119936873369273,StreamingMusic #1,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
