transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-96ab8e95-6d6c-4e47-aa4c-4a98c792c469,acct-1808e5ec-3719-4005-b57e-36fb2af64d95,2025-05-09,46.73259848679305,LuxuryBoutique #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-ed352f67-224d-4e1a-9ca9-bdc765c1401b,acct-1808e5ec-3719-4005-b57e-36fb2af64d95,2025-05-09,41.813520744128475,CityTransit #2,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-27f4dab8-1de3-4967-95a6-918cdb7ca9da,acct-ded89aa2-b96e-4fc8-9c3f-827b96a4e7b2,2025-05-10,225.95774503081276,ElectroHub #4,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-96c1f3fd-b374-4099-bf88-2fc67f414615,acct-1808e5ec-3719-4005-b57e-36fb2af64d95,2025-05-10,79.02291343413329,CityTransit #2,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-02402665-c4d3-4a5e-92f5-66c8b1441f2c,acct-ded89aa2-b96e-4fc8-9c3f-827b96a4e7b2,2025-05-11,7.440460760400453,CityTransit #4,,online,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-c562edad-93ec-4a4b-94fa-39ead5c946f8,acct-ded89aa2-b96e-4fc8-9c3f-827b96a4e7b2,2025-05-12,87.54989586311265,OnlineMart #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-52c03bc6-8422-41ee-88b4-b221b22f3000,acct-ded89aa2-b96e-4fc8-9c3f-827b96a4e7b2,2025-05-15,173.69252431044532,StreamFlix #3,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-9dfa369e-0608-4fd8-8114-ee3fce15152c,acct-ded89aa2-b96e-4fc8-9c3f-827b96a4e7b2,2025-05-17,377.56255675279755,HomeGoods Store #2,,other,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-eb55a693-5bea-4824-8694-dc9a75a615ad,acct-ded89aa2-b96e-4fc8-9c3f-827b96a4e7b2,2025-05-20,38.68426052112258,DiscountOutlets #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-9d08fdf8-b839-44d3-a481-406312d1c0f3,acct-ded89aa2-b96e-4fc8-9c3f-827b96a4e7b2,2025-05-21,72.07158871462428,StreamingMusic #2,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-3a31d73d-3dfc-4c03-be02-315fbfc8d1d2,acct-ded89aa2-b96e-4fc8-9c3f-827b96a4e7b2,2025-05-21,357.8515986940391,Student Loan Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-5a5c0089-188e-40bb-8b98-e7504c8abfa4,acct-1808e5ec-3719-4005-b57e-36fb2af64d95,2025-05-23,129.36799138026907,MovieRentals #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/On-demand Rentals'}",False,USD
txn-933c045c-48f8-42ff-bc92-e81cf828d734,acct-ded89aa2-b96e-4fc8-9c3f-827b96a4e7b2,2025-05-23,57.005909954954866,ParkingLot Inc #2,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Parking'}",False,USD
txn-1f003db7-ca1a-4341-b227-f3249a9d57aa,acct-1808e5ec-3719-4005-b57e-36fb2af64d95,2025-05-24,280.0803445874099,GardenCenter #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-5552b220-ebb7-447d-8aaf-496d0d4bfc2a,acct-1808e5ec-3719-4005-b57e-36fb2af64d95,2025-05-24,35.451799309597405,CityTransit #4,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-7d79882a-16dd-4139-b358-4be8fce85e06,acct-1808e5ec-3719-4005-b57e-36fb2af64d95,2025-06-01,87.53120929132963,RideShareCo #4,,online,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-a14b62c3-8e89-4e13-8b2f-df346e787142,acct-ded89aa2-b96e-4fc8-9c3f-827b96a4e7b2,2025-06-03,-4245.356053224313,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-34a15f6b-4571-45a4-b0e1-c6c21e2015da,acct-ded89aa2-b96e-4fc8-9c3f-827b96a4e7b2,2025-06-04,40.54068049823177,StreamFlix #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-5f588830-af91-4840-a8bc-9c383ad8fc33,acct-1808e5ec-3719-4005-b57e-36fb2af64d95,2025-06-08,150.11456127840083,CloudStorage #3,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Cloud Services'}",False,USD
txn-4d484566-9254-4d70-9b1e-ebc8c61ab7e2,acct-1808e5ec-3719-4005-b57e-36fb2af64d95,2025-06-08,50.72687661864294,CityTransit #4,,other,"{'primary': 'Transport', 'detailed': 'Transport/Public Transit'}",False,USD
txn-f54b9762-adae-4ce0-8678-eac3b095ff3b,acct-ded89aa2-b96e-4fc8-9c3f-827b96a4e7b2,2025-06-08,85.7369562233721,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-03d8cc66-ddb7-434b-8c8a-61bac71fd0d9,acct-ded89aa2-b96e-4fc8-9c3f-827b96a4e7b2,2025-06-10,-5354.386886779123,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-78c52526-5d06-4ca9-8c62-d0eeee9f10fe,acct-ded89aa2-b96e-4fc8-9c3f-827b96a4e7b2,2025-06-13,311.5152258419039,PetWorld #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-ee2c72b5-5aff-4b55-a277-e80776a9a19d,acct-1808e5ec-3719-4005-b57e-36fb2af64d95,2025-06-13,480.9672855309187,eBookStore #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-7ad18aa8-d598-41dc-91a2-e049a12dec16,acct-1808e5ec-3719-4005-b57e-36fb2af64d95,2025-06-15,70.29700698933809,HardwarePro #2,,online,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-d2d7987f-7988-4d26-92f7-712546cc7d93,acct-ded89aa2-b96e-4fc8-9c3f-827b96a4e7b2,2025-06-15,36.193133946009155,RideShareCo #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Rideshare'}",False,USD
txn-e70726fa-62ca-48f9-b9e3-7432a1e874bf,acct-ded89aa2-b96e-4fc8-9c3f-827b96a4e7b2,2025-06-17,160.29965530271082,HardwarePro #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-957d01c2-552f-4bac-82dc-3a41f34ae0e5,acct-ded89aa2-b96e-4fc8-9c3f-827b96a4e7b2,2025-06-17,53.01777632982285,LuxuryBoutique #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-bbd4644b-400b-4808-8d83-3d03fa1724e6,acct-ded89aa2-b96e-4fc8-9c3f-827b96a4e7b2,2025-06-20,446.73901374694253,DiscountOutlets #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Discount Stores'}",False,USD
txn-ba1a5f40-e323-4fed-a664-f11c921301bb,acct-ded89aa2-b96e-4fc8-9c3f-827b96a4e7b2,2025-06-21,67.64219367122021,QuickFuel #2,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
