transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-546a6ab8-0ea1-4623-ae25-e2ce3937cb46,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-05-17,1109.978274856493,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-1e2fc2bd-0880-42b8-921f-b8dbf4e9e7ed,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-05-26,-4156.1189212809395,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-1a46a03d-c0e2-4d4d-8178-5628270acad9,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-05-27,-5369.6141636925495,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-bc3d1448-3667-434d-8f25-db64627966ef,acct-cc791e1d-1a0e-41dc-a33c-03916e5378aa,2025-05-28,26.005382424997123,StreamFlix #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-eddf7e98-e342-4a8f-b0ed-85a9d5c13eb3,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-06-04,10.640139568725404,StreamingMusic #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-2aaa7d0c-0b22-4110-b37a-3594d1cde448,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-06-07,12.995959112432256,StreamingMusic #1,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-598836c5-a986-4dbd-bec0-34808118d14b,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-06-20,1207.4693384605957,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-d536bfec-8dc6-453f-a2fa-5cce5e08bbe9,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-06-21,539.6343931515333,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-56a10d1c-7082-4975-9ecd-20da88f3a21f,acct-cc791e1d-1a0e-41dc-a33c-03916e5378aa,2025-06-28,26.091890328169754,StreamFlix #2,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-414c2c98-18b7-48ba-b3f2-47c8bbe5f610,acct-cc791e1d-1a0e-41dc-a33c-03916e5378aa,2025-07-02,21.931230864420293,StreamFlix #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-8d07cf7f-16e1-4fea-95d3-123bc56afd62,acct-cc791e1d-1a0e-41dc-a33c-03916e5378aa,2025-07-02,25.561610319810946,StreamingMusic #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-e6664996-03c8-4ca3-ad87-205f60c1a9a1,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-07-11,-4172.40875419759,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-0ebefc79-1a0b-43de-84d7-742266c3d557,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-07-21,-5039.954354194585,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-df81f6ac-4163-49c5-8b6f-237e91bd692c,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-07-25,1336.1406030558078,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-ec7599b6-cb03-47d9-857b-c95e2c18544a,acct-cc791e1d-1a0e-41dc-a33c-03916e5378aa,2025-07-27,15.225833063381502,StreamFlix #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-54b7164d-55d1-4e16-ba48-71e81e10a8f0,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-08-02,-5016.373407455734,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-3de76027-24e5-44eb-b0d1-c39e40ea8de6,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-08-06,20.26668498560171,StreamingMusic #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-904dac25-6a24-4893-bb16-e53848f8c7a1,acct-cc791e1d-1a0e-41dc-a33c-03916e5378aa,2025-08-13,26.29963992298649,StreamFlix #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-02aa48da-ffc4-41af-b020-689396a07041,acct-cc791e1d-1a0e-41dc-a33c-03916e5378aa,2025-08-13,19.919854700730795,StreamingMusic #3,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-54235480-08b9-4b5b-80c7-f8c7fcc97384,acct-cc791e1d-1a0e-41dc-a33c-03916e5378aa,2025-08-19,19.712167006059833,StreamingMusic #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-97b0503a-c474-444f-b2ac-c698c0b1b486,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-08-25,-5194.891512335743,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-7f6aa7d3-ebfa-4367-8e70-7e39b201f7a3,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-08-27,12.174775635819888,StreamFlix #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-749c5893-4c93-4423-8078-3b059374f326,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-08-29,-4111.387514595736,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-388215ca-ed79-4dad-9a49-10c0691ae426,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-09-04,10.01335714080958,StreamFlix #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-eaee65b6-f6e8-4d41-b395-03a4a93b16c5,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-09-06,595.1595492115423,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-d82a5a54-2cd8-4694-b6c4-0877065da537,acct-cc791e1d-1a0e-41dc-a33c-03916e5378aa,2025-09-08,16.82041503700278,StreamingMusic #3,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-ed088489-075c-42d3-ab07-c89adb0206dc,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-09-11,-4687.135674811078,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-23529c47-5886-4c69-a79a-33223f6d61f0,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-09-12,15.369539712906402,StreamFlix #2,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-e5620902-4971-482c-82d9-699551f9dcf9,acct-cc791e1d-1a0e-41dc-a33c-03916e5378aa,2025-09-14,12.40448940771241,StreamFlix #2,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-10429f65-74f2-4738-ace8-5363d77f0b3e,acct-cc791e1d-1a0e-41dc-a33c-03916e5378aa,2025-09-15,15.777154785305108,StreamingMusic #3,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-eabcf611-b380-4fa8-b6ab-19d4f0d7fdac,acct-cc791e1d-1a0e-41dc-a33c-03916e5378aa,2025-09-24,14.578851286710941,StreamingMusic #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-5a9363bb-b1d4-4b0b-beed-07a49d6f0b68,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-09-25,-5339.066452084746,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-f17e7834-9532-4133-b4b9-f99f0fcff2c6,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-10-03,539.9452903798884,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-c0f5b653-97c7-4c60-aa8e-bbf43b495701,acct-cc791e1d-1a0e-41dc-a33c-03916e5378aa,2025-10-04,18.793675356103996,StreamFlix #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-1116b1f8-e88f-450c-b82c-f351f9c44e96,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-10-08,29.775043686859586,StreamingMusic #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-d9b3c9a4-7dd4-441f-97c8-866c631bd026,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-10-09,-4640.33832796138,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-9b0792ba-ac25-4f2c-8fc9-2f43b53c641f,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-10-10,-5187.565455697703,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-e53e53ab-d2fa-4198-998b-63628dac7acd,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-10-21,29.310357505520294,StreamFlix #2,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-2b7004ad-efd2-4056-bd9d-fd9fbab661ea,acct-cc791e1d-1a0e-41dc-a33c-03916e5378aa,2025-10-28,16.743450263488477,StreamingMusic #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-a2905a53-9656-40b9-b2f0-ac20bb7323f8,acct-e2926f7a-0621-4b46-9016-928382f397e8,2025-10-30,10.338441072978865,StreamingMusic #3,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-4eb48b53-d6ee-4dca-8449-ce5a423d9c4a,acct-cc791e1d-1a0e-41dc-a33c-03916e5378aa,2025-10-31,24.178621301905583,StreamFlix #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
