transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-a3d42739-6882-4f00-94fe-196ecfd7e013,acct-2b982041-9918-4c83-bc3b-942034ce925c,2025-05-08,66.9563805946004,OnlineMart #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-854fb15c-c7f1-4d53-8804-a4b4d429b54a,acct-2b982041-9918-4c83-bc3b-942034ce925c,2025-05-08,56.35008315302614,StarBite Cafe #5,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-1401bbef-0c25-4759-9063-359180fc6f73,acct-f1f54e4c-8c49-467c-ae0e-9f0fad03f850,2025-05-08,145.03754274399404,StarBite Cafe #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-e1f35f1f-b049-4175-b72d-dfe8b6eb8e39,acct-2b982041-9918-4c83-bc3b-942034ce925c,2025-05-08,60.65975294282808,FineDining LLC #4,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-eea36ab4-d923-46aa-84d2-0ef9794ab5e9,acct-f1f54e4c-8c49-467c-ae0e-9f0fad03f850,2025-05-09,-4330.7894793449495,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-118e1f17-1f22-42b6-8eda-6f006485c1cf,acct-2b982041-9918-4c83-bc3b-942034ce925c,2025-05-10,64.20112498048539,BeerBarn #3,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-eb4b7305-4228-467e-87ae-456688a21948,acct-f1f54e4c-8c49-467c-ae0e-9f0fad03f850,2025-05-12,228.10008310701005,FurnitureCo #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-0b01a41c-7114-49b1-8676-27749ea1c9c8,acct-2b982041-9918-4c83-bc3b-942034ce925c,2025-05-12,238.15027843605318,HomeGoods Store #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-70c59f3d-6f93-47db-8718-a38d98d4291b,acct-f1f54e4c-8c49-467c-ae0e-9f0fad03f850,2025-05-12,90.94352543661746,FineDining LLC #4,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-0d8749e5-a8d1-4212-a96f-251d8f122d7f,acct-f1f54e4c-8c49-467c-ae0e-9f0fad03f850,2025-05-12,54.990862541741,StarBite Cafe #5,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
