transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-d45ffc75-8d1e-4341-985f-f9f60ad6f50b,acct-e446ee6e-9d9c-4a7b-a979-a33742dfac18,2025-05-07,187.12472193229206,CityMall Clothing #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Clothing'}",False,USD
txn-313bbd66-4e10-4c84-af0a-a5f50d719c7e,acct-cdf7b760-9e81-4a97-9c3c-f50f534b797c,2025-05-07,113.95864855241336,LocalBakery #3,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-279a3720-9555-429d-92ea-9a9d7778556b,acct-cdf7b760-9e81-4a97-9c3c-f50f534b797c,2025-05-08,253.06918030747983,BikeShop #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Bicycles & Accessories'}",False,USD
txn-860dc5a5-5ab2-4466-9e38-ad181ad49d35,acct-e446ee6e-9d9c-4a7b-a979-a33742dfac18,2025-05-08,113.22019940497395,PetWorld #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Pet Supplies'}",False,USD
txn-5637a899-94de-4300-ae28-91946c040ebf,acct-e446ee6e-9d9c-4a7b-a979-a33742dfac18,2025-05-08,142.41439005247577,FineDining LLC #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Restaurants'}",False,USD
txn-49d09b30-0ede-4af5-84ec-09f11d07e49d,acct-e446ee6e-9d9c-4a7b-a979-a33742dfac18,2025-05-09,210.72145172552555,HardwarePro #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Hardware'}",False,USD
txn-771ea872-3a3a-49b3-8e55-c67f23a5ce5a,acct-e446ee6e-9d9c-4a7b-a979-a33742dfac18,2025-05-09,-3955.0893526414347,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-a3958bd6-f1f6-43ce-b64e-499a30f30305,acct-cdf7b760-9e81-4a97-9c3c-f50f534b797c,2025-05-10,175.99257965975107,CraftsOnline #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Handmade Goods'}",False,USD
txn-2b8f1b4b-3929-4026-b644-44b4d5709b69,acct-cdf7b760-9e81-4a97-9c3c-f50f534b797c,2025-05-11,80.71442658079958,BeerBarn #2,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-6c31370c-385a-44dd-bf84-6c60c7200cdc,acct-e446ee6e-9d9c-4a7b-a979-a33742dfac18,2025-05-12,18.006845531193914,BeerBarn #3,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-4200b45b-2b47-4059-ad6c-396f1e835543,acct-e446ee6e-9d9c-4a7b-a979-a33742dfac18,2025-05-13,215.05200541346878,LuxuryBoutique #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-7d664844-c11e-48e9-98a7-81b216f6ed36,acct-cdf7b760-9e81-4a97-9c3c-f50f534b797c,2025-05-13,179.4601577422351,GardenCenter #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Nurseries'}",False,USD
txn-8c873f0c-7ca0-4847-ae2f-47c7df304dbd,acct-e446ee6e-9d9c-4a7b-a979-a33742dfac18,2025-05-14,79.51402860446481,HomeGoods Store #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-f504573d-8edc-482e-85b4-b88840262844,acct-e446ee6e-9d9c-4a7b-a979-a33742dfac18,2025-05-16,22.024654801454055,FurnitureCo #3,,other,"{'primary': 'Retail', 'detailed': 'Retail/Furniture'}",False,USD
txn-391ecbfc-f90c-4b41-8479-9a482a3826c6,acct-e446ee6e-9d9c-4a7b-a979-a33742dfac18,2025-05-17,36.73159446810452,LuxuryBoutique #4,,online,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-1f1371fa-1dbd-4788-b242-f42fedf20784,acct-cdf7b760-9e81-4a97-9c3c-f50f534b797c,2025-05-17,196.0200668050906,OnlineMart #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-e0ce9ef9-e06d-4adc-a9e1-ee2b3d673ed3,acct-e446ee6e-9d9c-4a7b-a979-a33742dfac18,2025-05-18,96.79406684695343,LocalBakery #1,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-be9cf17d-663d-4f8d-bba4-68552c39389b,acct-e446ee6e-9d9c-4a7b-a979-a33742dfac18,2025-05-20,127.52376157158314,FreshBites #2,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-facd98be-6aa1-4c15-ab45-f80a059662ca,acct-e446ee6e-9d9c-4a7b-a979-a33742dfac18,2025-05-20,128.36968193023176,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
