transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-c320dd33-4ccc-42bd-b762-5bce4a9e6d35,acct-9258737c-35ca-4d33-af5f-992cef2c328d,2025-05-07,24.52602619166985,QuickFuel #3,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-2e35e982-f393-4c1d-998b-709a20483999,acct-9258737c-35ca-4d33-af5f-992cef2c328d,2025-05-09,145.6803164901849,QuickFuel #2,,online,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-95ac6fbe-0a82-4d7e-958e-b9c7abf3ef3f,acct-9258737c-35ca-4d33-af5f-992cef2c328d,2025-05-12,240.55793334128472,MobileCarrier #3,,online,"{'primary': 'Bills & Utilities', 'detailed': 'Bills & Utilities/Mobile Phone'}",False,USD
txn-d7c359ac-68a8-4632-81bf-5bd8739dc83d,acct-ed5630eb-037e-4eac-9964-457894e31c4f,2025-05-12,28.70597863255899,QuickFuel #1,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-b79316a5-4d51-4005-b6ed-d46a2080b598,acct-ed5630eb-037e-4eac-9964-457894e31c4f,2025-05-13,-3855.556758430212,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-0326f20a-a8db-49b7-a4fa-9a0ed1c0ecb1,acct-ed5630eb-037e-4eac-9964-457894e31c4f,2025-05-14,171.8968891261577,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-0135bf16-5419-4ce2-83ac-ff8ada5051dd,acct-ed5630eb-037e-4eac-9964-457894e31c4f,2025-05-16,159.01151362134388,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-ba19362e-ab68-4486-97a3-53977a6bb958,acct-ed5630eb-037e-4eac-9964-457894e31c4f,2025-05-20,137.83562678321437,QuickFuel #4,,in_store,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-cf5fab39-bbb2-44b4-b6dc-679806ace60a,acct-ed5630eb-037e-4eac-9964-457894e31c4f,2025-05-21,82.28995533082067,QuickFuel #3,,other,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
txn-e22a1535-9ca6-4993-a445-a12a1b9e5190,acct-9258737c-35ca-4d33-af5f-992cef2c328d,2025-05-22,66.17351202565973,QuickFuel #3,,other,"{'primary': 'Transport', 'detailed': 'Transport/Fuel'}",False,USD
