transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-38358f45-0732-4c80-bdd1-c11a064c594f,acct-0fa0ff6f-9205-4164-b1d3-ed01691d4216,2025-05-10,22.118188296905785,StreamFlix #2,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-73201769-3c93-4c6a-8c27-6f9738de0ffc,acct-6185c40d-1378-4ef5-82fe-7686f571a930,2025-05-11,-4677.448782266076,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-39312f0c-bf4f-4f88-8cb8-2c37935c4012,acct-6185c40d-1378-4ef5-82fe-7686f571a930,2025-05-12,27.818584874834748,StreamFlix #4,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-17f3f698-18e9-49aa-9196-8b1b7877feb5,acct-6185c40d-1378-4ef5-82fe-7686f571a930,2025-05-15,15.179053929210012,StreamFlix #3,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-91c7861e-42a6-45a4-af80-859cb923f58f,acct-6185c40d-1378-4ef5-82fe-7686f571a930,2025-05-16,850.3117060242585,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-d70dda54-a5b2-4019-b2f9-419a04a21049,acct-0fa0ff6f-9205-4164-b1d3-ed01691d4216,2025-05-29,11.122631399774622,StreamFlix #1,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-6cc12471-ba0f-465a-9a32-9eb4f66f63e3,acct-6185c40d-1378-4ef5-82fe-7686f571a930,2025-06-03,27.68113812916912,StreamingMusic #3,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-d3ea2616-1a6a-41a2-b3ce-6967adf23b3c,acct-0fa0ff6f-9205-4164-b1d3-ed01691d4216,2025-06-04,14.516363920680979,StreamFlix #4,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-4a024cad-8756-4ba5-8b5c-0a0679a776ad,acct-0fa0ff6f-9205-4164-b1d3-ed01691d4216,2025-06-05,27.95646987787826,StreamFlix #3,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-659ec22e-b5b4-43ae-8670-042168ad7641,acct-6185c40d-1378-4ef5-82fe-7686f571a930,2025-06-11,1360.291540748522,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-fab4ef01-a2bd-4a69-9935-f4d365aa5ce7,acct-0fa0ff6f-9205-4164-b1d3-ed01691d4216,2025-06-14,14.543377938618393,StreamFlix #2,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-acea225b-f91d-4b20-99dc-863a0168838e,acct-0fa0ff6f-9205-4164-b1d3-ed01691d4216,2025-06-23,15.355758789233915,StreamFlix #2,,in_store,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-c5360067-a3a2-428a-a57b-156decf2e2b7,acct-6185c40d-1378-4ef5-82fe-7686f571a930,2025-07-01,-5216.257866156099,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-beaf0b8f-f38b-44e4-86a2-c7490749d397,acct-6185c40d-1378-4ef5-82fe-7686f571a930,2025-07-03,-4581.803750379412,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-ae266f55-e9e3-47c7-98d2-231d4698c023,acct-0fa0ff6f-9205-4164-b1d3-ed01691d4216,2025-07-10,25.149824753521145,StreamFlix #2,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-36bcc01e-f477-4c36-b6e5-fbf5bf8b88e8,acct-0fa0ff6f-9205-4164-b1d3-ed01691d4216,2025-07-19,21.36592860046603,StreamFlix #2,,other,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
txn-cf0268c6-8f06-4574-b5e3-0994ebf57650,acct-0fa0ff6f-9205-4164-b1d3-ed01691d4216,2025-07-28,28.27513254923757,StreamFlix #4,,online,"{'primary': 'Entertainment', 'detailed': 'Entertainment/Streaming Services'}",False,USD
