transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-9ef7ee51-96f1-44ad-96f3-df3b8edd09c0,acct-5cde316e-bf3e-4363-be38-7274ff011b49,2025-05-09,150.01580776087357,Credit Card Payment,,online,"{'primary': 'Financial', 'detailed': 'Financial/Payments'}",False,USD
txn-073ad780-bffe-4066-8130-09c3ede79228,acct-7d3cf662-e51c-4e3b-b5eb-941506630433,2025-05-14,96.42441300607317,SubscriptionBox #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Subscription Services'}",False,USD
txn-aabdb769-7234-4094-9be0-c502126dcfba,acct-5cde316e-bf3e-4363-be38-7274ff011b49,2025-05-15,90.20626823920264,LuxuryBoutique #1,,online,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-2d766025-ce6a-4fd7-aaee-498c88c5f9d9,acct-7d3cf662-e51c-4e3b-b5eb-941506630433,2025-05-22,139.1069871333238,eBookStore #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Digital Books'}",False,USD
txn-626d3647-00bf-4a91-b1a6-3f174dbb9746,acct-7d3cf662-e51c-4e3b-b5eb-941506630433,2025-06-04,76.55766289202774,HomeGoods Store #4,,other,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-47b9c213-47a3-42a4-ba06-8881dfc03481,acct-5cde316e-bf3e-4363-be38-7274ff011b49,2025-06-08,-7721.685049700296,Direct Deposit,,online,"{'primary': 'Financial', 'detailed': 'Financial/Income'}",False,USD
txn-a1bd9969-a37d-4f43-a072-20241bb91af3,acct-7d3cf662-e51c-4e3b-b5eb-941506630433,2025-06-10,56.281157469879034,HomeGoods Store #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Home & Garden'}",False,USD
txn-f971bb18-e013-4de2-97aa-e7d0bd0da0e2,acct-5cde316e-bf3e-4363-be38-7274ff011b49,2025-06-11,180.35890967400937,ToyHouse #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Toys & Games'}",False,USD
txn-b00d8dbb-cf3a-4980-8934-a4d697992b20,acct-5cde316e-bf3e-4363-be38-7274ff011b49,2025-06-14,1135.951023125102,Transfer to Savings,,online,"{'primary': 'Financial', 'detailed': 'Financial/Transfers'}",False,USD
txn-24a6db70-569a-440b-b5bc-81028c468ade,acct-5cde316e-bf3e-4363-be38-7274ff011b49,2025-06-16,66.5215953320087,OnlineMart #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
