transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category,pending,iso_currency_code
txn-ad48842d-51bc-4108-aa7b-22c5a53776a9,acct-ff86295f-c2fd-4b7e-86f0-7fd14c3f6002,2025-05-07,158.776028472964,OnlineMart #3,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Online Marketplace'}",False,USD
txn-aa1573d6-ee8e-47f1-9a07-6de12e39035f,acct-5924dbb3-6308-496a-8163-6621255b1a67,2025-05-07,102.40195375097008,FreshBites #2,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-02f7738e-b45b-4a30-b86e-089e5eae4d45,acct-5924dbb3-6308-496a-8163-6621255b1a67,2025-05-07,138.35510916587617,BeerBarn #1,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-c43faad0-82a5-4ad4-9f6c-e5774711ca72,acct-ff86295f-c2fd-4b7e-86f0-7fd14c3f6002,2025-05-08,110.1430287177891,LuxuryBoutique #1,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Luxury Goods'}",False,USD
txn-ee27e194-4f6c-4e86-9bb8-37518a811cea,acct-ff86295f-c2fd-4b7e-86f0-7fd14c3f6002,2025-05-08,127.18362313522002,FreshBites #4,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-e01ef933-7ef0-414d-8b5a-07b7ee71e6ff,acct-5924dbb3-6308-496a-8163-6621255b1a67,2025-05-08,87.26432157506815,BeerBarn #1,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bars & Pubs'}",False,USD
txn-4bdfa773-6f2f-4799-8048-f30cc7569e2c,acct-5924dbb3-6308-496a-8163-6621255b1a67,2025-05-09,38.457128029187956,ElectroHub #3,,online,"{'primary': 'Retail', 'detailed': 'Retail/Electronics'}",False,USD
txn-842e26c1-2bbb-4940-b030-c94526e95ee2,acct-ff86295f-c2fd-4b7e-86f0-7fd14c3f6002,2025-05-10,52.948969432507816,StarBite Cafe #5,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-91a14dca-ed94-43b0-aaa3-ad0d02d3a2b3,acct-5924dbb3-6308-496a-8163-6621255b1a67,2025-05-11,106.80589767502507,LocalBakery #4,,other,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Bakeries'}",False,USD
txn-b3d36af8-f1ef-44d6-be8c-6935023c7fdc,acct-5924dbb3-6308-496a-8163-6621255b1a67,2025-05-12,134.45537907226006,StarBite Cafe #3,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-da3c4b0f-5c01-4881-accd-edbd75553a5d,acct-5924dbb3-6308-496a-8163-6621255b1a67,2025-05-13,58.421399703529815,BookBarn #1,,other,"{'primary': 'Retail', 'detailed': 'Retail/Books'}",False,USD
txn-97fc0984-577b-4cae-807c-4901a0cdf007,acct-5924dbb3-6308-496a-8163-6621255b1a67,2025-05-14,99.04129095753213,StarBite Cafe #2,,online,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Coffee Shops'}",False,USD
txn-a9a76462-d975-4388-944a-e2c9a3ede5bc,acct-ff86295f-c2fd-4b7e-86f0-7fd14c3f6002,2025-05-14,144.21750180898226,FreshBites #1,,in_store,"{'primary': 'Food & Drink', 'detailed': 'Food & Drink/Fast Food'}",False,USD
txn-2d0295e2-bb14-4d50-b040-3630d7eba892,acct-5924dbb3-6308-496a-8163-6621255b1a67,2025-05-15,115.39919790974626,OfficeSupply Co #2,,in_store,"{'primary': 'Retail', 'detailed': 'Retail/Office Supplies'}",False,USD
